Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_Year,Spatial_scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry_Species,Comparison,Disturbance_Type,Disturbance_Specific,Response_Type,Response_Specific,Effect_YN,Effect_PNN,FID_Distance,Synopsis,Notes,Paper_Retained
D001,Liam,Using radio-telemetry to monitor cardiac response of free-living Tule Greater White-fronted Geese (Anser albifrons elgasi) to human disturbance,"Ackerman, JT.",2004,Wilson Bulletin,Overwinter,Site,USA,North America,single-species,Anser albifrons,Geese,No,NA,Recreational,Walking,Physiological,Heart rate,Yes,Negative,,"Heart rate increased during observer approach from 114 BPM to 154 BPM (36%) just prior to fliushing. Immediately prior to flushing, heart rate rose most rapidly, nearly tripling, continuing to increase until the birds reached flight speed.",Small sample size - 6 trials of 4 birds.,Yes
D001,Liam,Using radio-telemetry to monitor cardiac response of free-living Tule Greater White-fronted Geese (Anser albifrons elgasi) to human disturbance,"Ackerman, JT.",2004,Wilson Bulletin,Overwinter,Site,USA,North America,single-species,Anser albifrons,Geese,No,NA,Recreational,Walking,Behavioural,FID,NA,NA,,Geese flushed on average when the observer was 47m away (range 25-100m),Just a description of FID - perhaps don't include?,Yes
D002,Liam,Tunisian man-made wetlands as alternative habitats for waterbirds and their role in conservation,"Afdahl, B.",2012,Journal of African Ornithology,Overwinter,National,Tunisia,Africa,multi-species,Multiple,Multiple,Yes,NA,Wildfowling,Shooting,Site,Local abundance,Yes,Negative,,Hunting disturbance was one of several ecological variables which influenced the community composition of wintering waterbirds at man-made wetlands in Tunisia. In particular Ferruginous Ducks and White-headed Ducks were only found in undisturbed wetlands. ,Hunting categorised as presence/absence of hunters or evidence of their presence such as spent shells. Other disturbance measures were proximity to infrastructure.,Yes
D003,Liam,Wintering waterfowl community structure and the characteristics of gravel pit lakes,"Bell, MC.",1997,Wildlife Biology,Overwinter,Site,UK,Europe,multi-species,Multiple,Multiple,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Boating,Site,Comminity composition,Yes,NA,,The paper analyses wildfowl community composition of lakes at the Cotswold WP as a funciton of various habitat variables including presence/absence of various disturbance types. Lakes were clustered based on their wildfowl communities and then regression analysis was used to explore the relationship between waterfowl densities and lake characterisitcs with assemblage type included as a fixed effect. Diving waterfowl were most susceptible to the effects of water based recreation including water sports and angling.,Paper warns that correlations between habitat variables make effects difficult to construe,Yes
D003,Liam,Wintering waterfowl community structure and the characteristics of gravel pit lakes,"Bell, MC.",1997,Wildlife Biology,Overwinter,Site,UK,Europe,multi-species,Multiple,Multiple,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Angling,Site,Comminity composition,Yes,NA,,Grazing waterfowl were favoured by the use of lakes for both coarse and game fishing.,Paper warns that correlations between habitat variables make effects difficult to construe,Yes
D004,Liam,Habitat selection and waterbody-complex use by wintering Gadwall and Shoveler in south west London: implications for the designation and management of multi-site protected areas,"Briggs, BJD.",2012,Journal for Nature Conservation,Overwinter,Regional,UK,Europe,multi-species,Mareca strepera,Duck,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Index,Behavioural,Habitat selection,No,NA,,"Paper measures selection of waterbodies in SW London as a function of a range of environmental covariates. Disturbance events were recorded during surveys and categorised as land-based, water-based, noise-based and fishing. A disturbance index was created by dividing the total number of disturbance events by the time spent on site. Additionally, a weighted disturbance index was created biased towards water-based disturbance events which wildfowl are less able to habituate to. GLMMs used to model selection as a function of env variables and important parameters determined by AIC. Disturbance index not included in the best model explaining gadwall selection. ",Based on presence/absence data for a site - is this still behavioural?,Yes
D004,Liam,Habitat selection and waterbody-complex use by wintering Gadwall and Shoveler in south west London: implications for the designation and management of multi-site protected areas,"Briggs, BJD.",2012,Journal for Nature Conservation,Overwinter,Regional,UK,Europe,multi-species,Anas clypeata,Duck,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Index,Behavioural,Habitat selection,Yes,NA,,Shovelers preferred sites with low levels of disturbance,Based on presence/absence data for a site - is this still behavioural?,Yes
D005,Liam,Impacts of man-made landscape features on numbers of estuarine waterbirds at low tide,"Burton, NHK.",2002,Environmental Management,Overwinter,National,UK,Europe,multi-species,Tadorna tadorna,Duck,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Site,Local abundance,Yes,Negative,,"Count data obtained for 6 estuaries in S England from WeBS surveys. Included 9 species for which sites were considered of nationally importance (>1% of UK population). GIS used to measure proportions of count section within each 25m buffer of distance to infrastructure features - roads, footpaths, railways and towns. Also calculated distance from nearest footpath etc to the centre of the count section and proximity to an access point - car park, town or road. Modelled waterbird counts as a function of these variables along with site, month and low water mark - poisson GLMs. Presence of 6/9 species was significantly reduced by the presence of a footpath close to the count section. Shelduck showed reduced abundance in the presence of a footpath. This effect was less significant on weekdays compared to weekends.",Indirect measure of disturbance based on distance to infrastructure including footpaths - remove?,No
D005,Liam,Impacts of man-made landscape features on numbers of estuarine waterbirds at low tide,"Burton, NHK.",2002,Environmental Management,Overwinter,National,UK,Europe,multi-species,Calidris canutus,Waders,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Site,Local abundance,Yes,Negative,,Knot showed a significant reduction in abundance in the presence of a footpath.,Indirect measure of disturbance based on distance to infrastructure including footpaths - remove?,No
D005,Liam,Impacts of man-made landscape features on numbers of estuarine waterbirds at low tide,"Burton, NHK.",2002,Environmental Management,Overwinter,National,UK,Europe,multi-species,Calidris alpina,Waders,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Site,Local abundance,Yes,Negative,,Dunlin showed a significant reduction in abundance in the presence of a footpath. This effect was less significant on weekdays compared to weekends.,Indirect measure of disturbance based on distance to infrastructure including footpaths - remove?,No
