Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_Year,Spatial_scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry_Species,Comparison,Disturbance_Type,Disturbance_Specific,Response_Type,Response_Specific,Effect,FID_Distance,Synopsis,Notes,Paper_Retained
D001,Liam,Using radio-telemetry to monitor cardiac response of free-living Tule Greater White-fronted Geese (Anser albifrons elgasi) to human disturbance,"Ackerman, JT.",2004,Wilson Bulletin,Overwinter,Site,USA,North America,single-species,Anser albifrons,Geese,No,,Recreational,Walking,Physiological,Heart rate,Negative,,"Heart rate increased during observer approach from 114 BPM to 154 BPM (36%) just prior to fliushing. Immediately prior to flushing, heart rate rose most rapidly, nearly tripling, continuing to increase until the birds reached flight speed.",Small sample size - 6 trials of 4 birds.,
D001,Liam,Using radio-telemetry to monitor cardiac response of free-living Tule Greater White-fronted Geese (Anser albifrons elgasi) to human disturbance,"Ackerman, JT.",2004,Wilson Bulletin,Overwinter,Site,USA,North America,single-species,Anser albifrons,Geese,No,,Recreational,Walking,Behavioural,FID,Negative,,Geese flushed on average when the observer was 47m away (range 25-100m),Just a description of FID - perhaps don't include?,
D002,Liam,Tunisian man-made wetlands as alternative habitats for waterbirds and their role in conservation,"Afdahl, B.",2012,Journal of African Ornithology,Overwinter,National,Tunisia,Africa,multi-species,Multiple,,Yes,,Wildfowling,Shooting,Site,Local abundance,Negative,,Hunting disturbance was one of several ecological variables which influenced the community composition of wintering waterbirds at man-made wetlands in Tunisia. In particular Ferruginous Ducks and White-headed Ducks were only found in undisturbed wetlands. ,Hunting categorised as presence/absence of hunters or evidence of their presence such as spent shells. Other disturbance measures were proximity to infrastructure.,
D003,Liam,Wintering waterfowl community structure and the characteristics of gravel pit lakes,"Bell, MC.",1997,Wildlife Biology,,,,,,,,,,,,,,,,,,
D004,Liam,Habitat selection and waterbody-complex use by wintering Gadwall and Shoveler in south west London: implications for the designation and management of multi-site protected areas,"Briggs, BJD.",2012,Journal for Nature Conservation,,,,,,,,,,,,,,,,,,
D005,Liam,Impacts of man-made landscape features on numbers of estuarine waterbirds at low tide,"Burton, NHK.",2002,Environmental Management,,,,,,,,,,,,,,,,,,
D006,Liam,Set-back distances to protect nesting and roosting seabirds off Vancouver Island from boat disturbance,Chatwin TA.,2013,Waterbirds,,,,,,,,,,,,,,,,,,
D007,Liam,An eco-compensation policy increases shorebird diversity during the non-farming period for aquaculture,"Dai, WZ.",2021,Wetlands,,,,,,,,,,,,,,,,,,
D008,Liam,The shorebird community structure at an intertidal mudflat in southern Mozambique,"de Boer, WF.",2002,Ardea,,,,,,,,,,,,,,,,,,
D009,Liam,Comparing the community composition of European and eastern Chinese waterbirds and the influence of human factors on the China waterbird community,de Boer WF.,2011,Ambio,,,,,,,,,,,,,,,,,,
D010,Liam,Rise in human activities on the mudflats and brent geese (Branta bernicla) wintering distribution in relation to Zoestra spp. beds: a 30-year study,"Desmonts, D.",2009,Journal of Ornithology,,,,,,,,,,,,,,,,,,
D011,Liam,"Distribution of common eiders Somateria mollissima during the brood-rearing and moulting periods in the St. Lawrence Estuary, Canada","Dieval, H.",2011,Wildlife Biology,,,,,,,,,,,,,,,,,,
D012,Liam,Spatiotemporal assessment of littoral waterbirds for establishing ecological indicators of Mediterranean coastal lagoons,"Farinos-Celdrran, P.",2017,International Journal of Geo-Information,,,,,,,,,,,,,,,,,,
D013,Liam,"The relative importance of human disturbance, environmental and spatial factors on the community composition of wetland birds","Mereta, ST.",2021,Water,,,,,,,,,,,,,,,,,,
D014,Liam,Activating an artisanal saltpan: tourism crowding in or waterbirds crowding out?,"Ramos, J.",2022,"International Journal of Culture, Tourism and Hospitality",,,,,,,,,,,,,,,,,,
D015,Liam,Terrestrial threats dominate the waterbird landscape of fear in a savannah pan wetland system,"Tarakini, T.",2020,Wildlife Biology,,,,,,,,,,,,,,,,,,
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,,,,,,,,,,,,,,,,,,
D017,Liam,Sensitivity of wildlife to spatial patterns of recreationist behavior: A critical assessment of minimum approaching distances and buffer areas for grassland birds,"Fernandez-Juricic, E.",2005,Biological Conservation,,,,,,,,,,,,,,,,,,
D018,Liam,The importance of artificial wetlands for birds: A case study from Cyprus,"Giosa, E.",2018,PLoS One,,,,,,,,,,,,,,,,,,
D019,Liam,Feather corticosterone does not correlate with environmental stressors or body condition in an endangered waterbird,"Gormally, BMG.",2020,Conservation Physiology,,,,,,,,,,,,,,,,,,
