Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_year,Spatial scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry Species,Offtake_type,Hunting_regime,Population Model,Comparison,Demographic_impact,Demographic_data_used,Harvest_data_used,Hunting_characteristics,Hunting_bias,Effect,Synopsis,Hunter_skill,Skill_consequence,Notes
M001,Aimée,Adult survival of common Eiders in Maine,"Allen, RB.",2019,Northeastern Naturalist,Moult,Regional,USA,North America,single-species,Common Eider,Duck,Yes,Direct harvest,recreational hunting,Yes,Season: Shooting vs non-shooting,Survival,CMR,Bag total,Bag limits,Sex bias,Bias,Overall harvest bag not impacting annual survival especially in female eiders. male survival lower due to harvest bias of male eider,,,
M002,Aimée,Demographic response to perturbation: the role of compensatory density dependence in a north american duck under variable harvest regulations and changing habitat,"Péron, G.",2012,Journal of Animal Ecology,Breeding (carry-over),National,USA,North America,single-species,Redhead,Duck,Yes,Direct harvest,recreational hunting,Yes,Site,Survival,CMR,Bag total,Bag limits,Sex bias,Neutral,"density dependence over harvest bag totals, fluctuate with other environmental conditions",,,
M002,Aimée,Demographic response to perturbation: the role of compensatory density dependence in a north american duck under variable harvest regulations and changing habitat,"Péron, G.",2012,Journal of Animal Ecology,Breeding (carry-over),Regional,USA,North America,single-species,Redhead,Duck,Yes,Direct harvest,recreational hunting,Yes,Season,Productivity,Juv count,Bag total,Bag limits,Sex bias,Neutral,"density dependence over hunting bag annual change, hunting alleviated density dependence with high productivity carry over",,,
M003,Aimée,Testing waterfowl hunters' waterfowl identification skills,"Ahlers, AA.",2019,Wildfowl,,,,,,,,,,,,,,,,,,,,,,
M004,Aimée,Assessing hunters' ability to identify shot geese: implications for hunting bag accuracy,"Christensen, TK.",2017,European Journal of Wildlife Research,,,,,,,,,,,,,,,,,,,,,,
M005,Aimée,Detecting trumpeter swans harvested in tundra swan hunts,"Drewien, RC.",1999,Wildlife Society Bulletin,,,,,,,,,,,,,,,,,,,,,,
M006,Aimée,Determining the subspecies composition of bean goose harvests in Finland using genetic methods,"Honka, J.",2017,European Journal of Wildlife Research,,,,,,,,,,,,,,,,,,,,,,
M007,Aimée,Conservation implications of misidentification and killing of protected species,"Newth, JL.",2019,Conservation Science and Practice,,,,,,,,,,,,,,,,,,,,,,
M008,Aimée,Accuracy of Aging Ducks in the US Fish and Wildlife Service Waterfowl Parts Collection Survey,"Pearse, AT.",2014,Wildlife Society Bulletin,,,,,,,,,,,,,,,,,,,,,,
M009,Aimée,Genetic analysis of standardized collections of caciding and Canada goose harvests,"Shorey, RI.",2007,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,,,,,
