Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn
1974/1975,1974,0,0,0,0,0,0,0,0,0
1975/1976,1975,1,1,0,1,1,0,1,1,0
1976/1977,1976,0,0,0,0,0,0,0,0,0
1977/1978,1977,1,1,1,1,1,1,1,1,1
1978/1979,1978,1,1,1,1,1,1,1,1,1
1979/1980,1979,0,0,1,0,0,1,0,0,1
1980/1981,1980,1,1,1,1,1,1,1,1,1
1981/1982,1981,2,2,1,2,2,1,2,2,1
1982/1983,1982,2,2,2,2,2,2,2,2,2
1983/1984,1983,2,2,2,2,2,2,2,2,2
1984/1985,1984,4,4,3,4,4,3,4,4,3
1985/1986,1985,5,5,4,5,5,4,5,5,4
1986/1987,1986,5,5,5,5,5,5,5,5,5
1987/1988,1987,5,5,7,5,5,7,5,5,7
1988/1989,1988,11,11,9,11,11,9,11,11,9
1989/1990,1989,14,14,12,14,14,12,14,14,12
1990/1991,1990,15,15,15,15,15,15,15,15,15
1991/1992,1991,18,18,19,18,18,19,18,18,19
1992/1993,1992,24,24,24,24,24,24,24,24,24
1993/1994,1993,28,28,29,28,28,29,28,28,29
1994/1995,1994,38,38,33,38,38,33,38,38,33
1995/1996,1995,33,33,34,33,33,34,33,33,34
1996/1997,1996,30,30,36,30,30,36,31,31,36
1997/1998,1997,45,45,42,45,45,42,45,45,42
1998/1999,1998,48,48,48,48,48,48,49,49,49
1999/2000,1999,58,58,54,58,58,54,58,58,54
2000/2001,2000,51,51,59,51,51,59,51,51,59
2001/2002,2001,73,73,64,73,73,64,74,74,64
2002/2003,2002,59,59,64,59,59,64,59,59,64
2003/2004,2003,65,65,65,65,65,65,65,65,65
2004/2005,2004,70,70,69,70,70,69,70,70,69
2005/2006,2005,71,71,73,71,71,73,71,71,73
2006/2007,2006,83,83,79,83,83,79,83,83,79
2007/2008,2007,81,81,83,81,81,83,81,81,83
2008/2009,2008,88,88,86,88,88,86,89,89,86
2009/2010,2009,85,85,88,85,85,88,85,85,88
2010/2011,2010,90,90,93,90,90,93,90,90,93
2011/2012,2011,104,104,99,104,104,99,104,104,99
2012/2013,2012,102,102,99,102,102,99,102,102,99
2013/2014,2013,89,89,95,89,89,95,89,89,95
2014/2015,2014,95,95,97,95,95,97,95,95,97
2015/2016,2015,107,107,103,107,107,103,107,107,103
2016/2017,2016,107,107,105,107,107,105,107,107,105
2017/2018,2017,98,98,103,98,98,103,98,98,103
2018/2019,2018,106,106,103,106,106,103,105,105,103
2019/2020,2019,100,100,101,100,100,101,100,100,101
