Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1974/1975,1974,124,124,124,,,,100,100,99,125,125,124,125,125,124,1319,1319,1380
1975/1976,1975,127,127,132,,,,115,,108,127,127,132,126,126,133,1508,1508,1500
1976/1977,1976,154,154,140,,,,108,108,119,151,151,141,158,158,142,1623,1623,1438
1977/1978,1977,131,131,145,,,,120,,139,132,132,148,132,132,148,1034,1034,1158
1978/1979,1978,155,155,150,,,,196,,166,162,,155,156,156,153,936,,932
1979/1980,1979,165,165,151,,,,173,,188,173,173,157,172,172,153,850,850,798
1980/1981,1980,129,129,148,,,,187,187,205,132,132,153,127,127,145,433,433,761
1981/1982,1981,159,159,146,,,,265,265,208,163,163,149,147,147,140,1283,1283,809
1982/1983,1982,142,142,143,,,,173,173,182,143,143,145,137,137,138,502,502,731
1983/1984,1983,128,128,144,,,,112,112,158,129,129,145,129,129,141,690,690,685
1984/1985,1984,152,152,153,,,,163,163,153,152,152,154,148,148,151,676,676,695
1985/1986,1985,176,176,160,,,,187,187,152,176,176,162,173,173,161,735,735,740
1986/1987,1986,169,169,157,,,,128,128,146,175,175,161,177,177,161,849,849,778
1987/1988,1987,129,129,148,,,,124,124,150,138,138,153,140,140,152,660,660,768
1988/1989,1988,142,142,145,130,130,126,183,183,167,144,144,150,135,135,146,915,915,720
1989/1990,1989,143,143,149,94,94,107,190,190,185,147,147,153,141,141,147,432,432,613
1990/1991,1990,176,176,153,125,125,92,202,202,197,180,180,158,174,174,150,576,576,537
1991/1992,1991,136,136,150,46,46,80,201,201,201,143,143,155,133,133,147,535,535,461
1992/1993,1992,163,163,145,83,83,80,193,193,203,170,170,150,167,167,142,380,380,377
1993/1994,1993,125,125,142,81,81,88,223,223,207,128,128,146,115,115,137,259,259,322
1994/1995,1994,125,125,151,116,116,98,180,180,212,124,124,154,114,114,145,259,259,318
1995/1996,1995,184,184,170,93,93,100,237,237,224,192,192,175,184,184,167,310,310,358
1996/1997,1996,214,214,177,101,101,96,252,252,223,223,223,184,218,218,177,633,633,405
1997/1998,1997,152,152,162,86,86,86,181,181,204,157,157,168,153,153,162,279,279,399
1998/1999,1998,129,129,145,85,85,72,195,195,184,132,132,151,122,122,145,403,403,385
1999/2000,1999,138,138,140,47,47,62,161,161,169,146,146,146,144,144,142,315,315,379
2000/2001,2000,124,124,147,49,49,61,159,159,164,130,130,154,125,125,152,470,470,378
2001/2002,2001,189,189,161,43,43,71,148,148,170,201,201,169,208,208,167,281,281,362
2002/2003,2002,167,167,163,141,141,85,212,212,181,168,168,169,160,160,166,413,413,341
2003/2004,2003,157,157,150,89,89,82,170,170,178,163,163,155,160,160,151,279,279,305
2004/2005,2004,124,124,130,50,50,70,178,178,162,130,130,135,123,123,131,228,228,266
2005/2006,2005,108,108,116,45,45,65,138,138,138,113,113,120,109,109,117,380,380,228
2006/2007,2006,109,109,110,78,78,68,108,108,119,112,112,113,111,111,112,104,,192
2007/2008,2007,112,112,111,88,88,73,104,104,111,114,114,114,114,114,114,121,121,187
2008/2009,2008,111,111,118,71,71,76,104,104,114,114,114,122,115,115,122,183,183,228
2009/2010,2009,131,131,130,78,78,80,130,130,125,135,135,134,135,135,134,276,276,324
2010/2011,2010,159,159,141,69,69,88,148,148,137,167,167,145,167,167,145,586,586,453
2011/2012,2011,125,125,145,126,126,101,132,132,142,124,124,149,121,121,148,530,530,506
2012/2013,2012,165,165,147,108,108,110,160,160,140,170,170,149,169,169,149,547,547,438
2013/2014,2013,138,138,141,102,102,115,130,130,127,141,141,143,142,142,144,233,233,322
2014/2015,2014,125,125,134,135,135,120,93,93,112,124,124,135,128,128,137,175,175,252
2015/2016,2015,135,135,129,112,112,119,102,102,104,137,137,130,141,141,132,131,131,231
2016/2017,2016,113,113,125,113,113,118,109,109,101,113,113,125,113,113,128,366,366,234
2017/2018,2017,134,134,120,124,124,117,100,100,98,135,135,121,139,139,123,246,246,215
2018/2019,2018,110,110,112,114,114,112,88,88,96,110,110,112,112,112,114,173,173,174
2019/2020,2019,100,100,103,100,100,103,100,100,96,100,100,102,100,100,103,100,100,132
