Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn
1966/1967,1966,0,0,175,200,,,0,0,175,0,0,51
1967/1968,1967,429,,303,8450,,,429,,303,135,135,99
1968/1969,1968,551,551,451,17900,17900,,551,551,451,16,16,185
1969/1970,1969,692,692,547,1550,,,692,692,547,647,647,315
1970/1971,1970,518,518,572,100,100,,518,518,572,472,472,442
1971/1972,1971,516,516,602,300,300,,516,516,602,474,474,563
1972/1973,1972,484,484,729,1150,1150,,484,484,729,486,486,764
1973/1974,1973,857,857,1044,0,0,,857,857,1044,981,981,1170
1974/1975,1974,1914,,1478,600,600,,1914,,1478,2158,,1702
1975/1976,1975,1892,,1580,600,600,,1892,,1580,2116,,1801
1976/1977,1976,1020,1020,1324,0,0,,1020,1020,1324,1147,1147,1468
1977/1978,1977,878,878,1129,1350,,,878,878,1129,886,886,1230
1978/1979,1978,1620,,1052,150,,,1620,,1052,1858,,1135
1979/1980,1979,469,469,1020,200,200,,469,469,1020,521,521,1053
1980/1981,1980,873,873,1248,6000,6000,,873,873,1248,649,649,1251
1981/1982,1981,2627,2627,1680,1000,1000,,2627,2627,1680,2844,2844,1739
1982/1983,1982,1327,1327,1812,0,0,,1327,1327,1812,1407,1407,1907
1983/1984,1983,1790,1790,1838,2450,2450,,1790,1790,1838,1893,1893,1925
1984/1985,1984,2163,2163,1735,4600,4600,,2163,2163,1735,2212,2212,1793
1985/1986,1985,1243,1243,1450,4250,4250,,1243,1243,1450,1214,1214,1492
1986/1987,1986,1151,1151,1293,700,700,,1151,1151,1293,1277,1277,1348
1987/1988,1987,1498,1498,1358,3400,,,1498,1498,1358,1560,1560,1415
1988/1989,1988,1320,1320,1671,3300,,,1320,1320,1671,1370,1370,1720
1989/1990,1989,1782,1782,2419,5150,5150,,1782,1782,2419,1760,1760,2486
1990/1991,1990,5096,5096,3039,5000,,,5096,5096,3039,5358,5358,3150
1991/1992,1991,1163,,2129,3050,3050,,1163,,2129,1070,,2172
1992/1993,1992,820,820,1575,300,300,,820,820,1575,916,916,1617
1993/1994,1993,2206,2206,1532,4800,,,2206,2206,1532,2216,2216,1593
1994/1995,1994,1294,1294,1424,2100,2100,,1294,1294,1425,1407,1407,1477
1995/1996,1995,1441,1441,1234,2000,2000,,1441,1441,1234,1528,1528,1219
1996/1997,1996,971,971,1031,6600,6600,,973,973,1031,770,770,944
1997/1998,1997,418,418,953,3150,3150,,416,416,953,319,319,853
1998/1999,1998,1588,1588,1021,10150,10150,,1588,1588,1020,1428,1428,956
1999/2000,1999,798,798,1017,150,150,,798,798,1017,902,902,1047
2000/2001,2000,1169,1169,969,0,0,,1169,1169,969,1335,1335,1072
2001/2002,2001,671,671,890,0,0,,671,671,890,765,765,1012
2002/2003,2002,990,990,846,50,50,,990,990,845,1126,1126,968
2003/2004,2003,414,414,816,0,0,,410,410,815,467,467,938
2004/2005,2004,1333,1333,780,0,0,,1333,1333,779,1519,1519,905
2005/2006,2005,582,582,620,0,0,,582,582,620,663,663,714
2006/2007,2006,400,400,460,0,0,,400,400,460,456,456,519
2007/2008,2007,333,333,378,0,0,,333,333,378,379,379,417
2008/2009,2008,259,259,385,50,50,,259,259,385,293,293,417
2009/2010,2009,84,84,518,250,250,,84,84,518,86,86,556
2010/2011,2010,720,720,829,0,0,,720,720,828,819,819,893
2011/2012,2011,2284,2284,1030,3650,3650,,2282,2282,1029,2347,2347,1108
2012/2013,2012,410,410,692,0,0,,410,410,692,463,463,736
2013/2014,2013,35,35,373,200,,,35,35,373,35,35,390
2014/2015,2014,120,120,230,0,0,,120,120,230,137,137,238
2015/2016,2015,59,59,175,0,0,,59,59,175,67,67,177
2016/2017,2016,373,373,152,50,50,,373,373,152,414,414,150
2017/2018,2017,94,94,134,1900,1900,,94,94,134,19,19,128
2018/2019,2018,127,127,117,100,100,,127,127,117,140,140,111
2019/2020,2019,100,100,103,0,0,,100,100,103,100,100,97
