Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,9,9,9,,,,0,0,0,11,11,11,11,11,11,0,0,0
1967/1968,1967,11,11,10,,,,0,0,0,12,12,12,13,13,12,1,1,0
1968/1969,1968,11,11,12,,,,0,0,0,13,13,14,13,13,14,1,1,1
1969/1970,1969,12,12,13,,,,0,0,0,14,14,16,14,14,16,1,1,1
1970/1971,1970,17,17,16,,,,0,0,1,20,20,18,20,20,18,1,1,1
1971/1972,1971,17,17,18,,,,3,3,1,20,20,21,20,20,22,0,0,1
1972/1973,1972,20,20,21,,,,0,0,2,23,23,25,23,23,25,1,1,2
1973/1974,1973,31,31,25,,,,1,1,3,36,36,29,37,37,29,0,0,2
1974/1975,1974,23,23,27,,,,12,12,4,27,27,31,27,27,32,0,0,4
1975/1976,1975,29,29,29,,,,1,1,4,34,34,34,34,34,35,6,6,6
1976/1977,1976,35,35,32,,,,1,1,4,40,40,37,40,40,37,18,18,9
1977/1978,1977,31,31,34,,,,1,1,4,36,36,40,36,36,40,11,11,12
1978/1979,1978,36,36,38,,,,11,,5,42,42,44,42,42,44,11,11,15
1979/1980,1979,48,48,42,,,,5,,5,56,56,48,56,56,49,20,20,19
1980/1981,1980,43,43,46,,,,5,,5,50,50,53,50,50,53,24,24,23
1981/1982,1981,45,45,51,,,,6,6,4,52,52,59,52,52,59,24,24,29
1982/1983,1982,64,64,59,,,,1,,5,74,74,67,75,75,68,44,44,35
1983/1984,1983,64,64,68,,,,7,7,5,74,74,75,75,75,76,35,35,43
1984/1985,1984,78,78,76,,,,2,2,7,81,81,82,82,82,83,46,46,55
1985/1986,1985,84,84,82,,,,11,11,11,89,89,87,89,89,88,91,91,71
1986/1987,1986,89,89,84,,,,27,27,13,94,94,89,94,94,89,71,71,80
1987/1988,1987,77,77,84,,,,2,2,10,80,80,88,80,80,88,80,80,86
1988/1989,1988,92,92,84,52,52,53,7,7,8,97,97,88,97,97,88,112,112,87
1989/1990,1989,74,74,87,53,53,56,5,5,6,75,75,90,76,76,91,61,61,82
1990/1991,1990,98,98,94,63,63,58,7,7,6,102,102,98,103,103,99,72,72,85
1991/1992,1991,108,108,102,65,65,57,10,10,6,114,114,107,114,114,108,118,118,94
1992/1993,1992,96,96,105,47,47,53,2,2,7,103,103,112,104,104,113,87,87,95
1993/1994,1993,120,120,106,46,46,51,7,7,9,131,131,114,132,132,114,101,101,91
1994/1995,1994,92,92,102,55,55,51,11,11,13,96,96,109,97,97,109,77,77,83
1995/1996,1995,96,96,99,51,51,53,24,24,18,102,102,105,103,103,105,70,70,81
1996/1997,1996,100,100,98,55,55,56,25,25,18,107,107,103,107,107,103,101,101,85
1997/1998,1997,101,101,94,63,63,60,7,7,15,104,104,98,105,105,99,79,79,91
1998/1999,1998,80,80,89,64,64,62,12,12,13,80,80,92,80,80,92,96,96,101
1999/2000,1999,91,91,86,60,60,63,13,13,16,94,94,87,94,94,87,134,134,106
2000/2001,2000,80,80,81,68,68,64,21,21,21,81,81,82,81,81,82,79,79,99
2001/2002,2001,78,78,76,60,60,63,35,,30,80,80,76,80,80,76,99,99,95
2002/2003,2002,70,70,71,64,64,62,39,39,34,69,69,71,69,69,71,84,84,98
2003/2004,2003,61,61,71,67,67,61,21,21,37,59,59,71,59,59,71,124,124,107
2004/2005,2004,77,77,75,49,49,60,57,57,45,80,80,76,80,80,76,99,99,110
2005/2006,2005,86,86,81,66,66,63,50,50,44,88,88,83,88,88,83,120,120,109
2006/2007,2006,84,84,85,66,66,69,28,28,39,85,85,86,85,85,86,97,97,104
2007/2008,2007,92,92,85,86,86,76,43,43,44,92,92,85,92,92,85,106,106,101
2008/2009,2008,76,76,83,74,74,82,65,65,56,75,75,82,75,75,82,91,91,99
2009/2010,2009,82,82,84,84,84,88,60,60,68,81,81,82,81,81,82,107,107,104
2010/2011,2010,84,84,88,100,100,93,85,85,83,80,80,86,80,80,85,110,110,112
2011/2012,2011,102,102,93,97,97,92,94,94,90,102,102,92,102,102,92,127,127,121
2012/2013,2012,93,93,97,80,80,86,83,83,77,94,94,98,94,94,98,125,125,127
2013/2014,2013,96,96,102,79,79,80,54,54,59,96,96,104,96,96,104,124,124,137
2014/2015,2014,113,113,105,73,73,77,46,46,56,119,119,108,119,119,108,154,154,151
2015/2016,2015,106,106,102,86,86,76,75,75,70,108,108,106,108,108,105,173,173,149
2016/2017,2016,93,93,95,74,74,76,90,90,84,96,96,98,96,96,97,110,110,122
2017/2018,2017,86,86,90,69,69,78,85,85,84,88,88,91,88,88,91,96,96,100
2018/2019,2018,85,85,90,91,91,87,73,73,83,83,83,90,83,83,90,82,82,91
2019/2020,2019,100,100,95,100,100,99,100,100,96,100,100,94,100,100,94,100,100,93
