Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,262,262,259,,,,250,,,262,262,259,260,260,257,180,,221
1967/1968,1967,259,259,278,,,,400,400,,259,259,278,256,256,275,360,360,391
1968/1969,1968,305,305,297,,,,425,425,,305,305,298,301,301,294,640,640,673
1969/1970,1969,325,325,315,,,,50,50,,325,325,315,321,321,310,1260,1260,1075
1970/1971,1970,368,368,327,,,,325,325,,368,368,327,363,363,322,1160,1160,1532
1971/1972,1971,348,348,335,,,,100,100,,348,348,335,340,340,329,2860,2860,1930
1972/1973,1972,272,272,353,,,,1300,1300,,272,272,353,268,268,346,360,360,2054
1973/1974,1973,428,428,397,,,,950,950,,428,428,397,418,418,390,4080,4080,2089
1974/1975,1974,387,387,474,,,,1125,1125,,387,387,474,382,382,467,860,860,1551
1975/1976,1975,597,597,593,,,,2625,2625,,597,597,593,587,587,586,920,920,1132
1976/1977,1976,820,820,728,,,,825,825,,820,820,729,820,820,721,540,540,990
1977/1978,1977,850,850,824,,,,5025,5025,,850,850,825,832,832,815,1380,1380,1033
1978/1979,1978,925,925,864,,,,2400,2400,,925,925,865,914,914,854,1620,1620,1081
1979/1980,1979,777,777,881,,,,1875,1875,,773,773,880,768,768,868,200,200,1107
1980/1981,1980,885,885,942,,,,5675,5675,,887,887,935,869,869,920,1520,1520,1277
1981/1982,1981,1099,1099,1066,,,,4525,4525,,1095,1095,1043,1075,1075,1026,2220,2220,1426
1982/1983,1982,1238,1238,1221,,,,4825,4825,,1162,1162,1177,1147,1147,1159,560,560,1448
1983/1984,1983,1325,1325,1378,,,,5150,5150,,1276,1276,1325,1257,1257,1309,1780,1780,1625
1984/1985,1984,1552,1552,1506,,,,3325,3325,,1503,1503,1457,1488,1488,1443,2180,2180,1881
1985/1986,1985,1609,1609,1526,,,,2500,2500,,1573,1573,1487,1566,1566,1475,1180,1180,2100
1986/1987,1986,1545,1545,1425,,,,1625,1625,,1522,1522,1389,1504,1504,1378,3960,3960,2214
1987/1988,1987,1056,1056,1324,,,,200,200,,1005,1005,1281,999,999,1272,1120,1120,1824
1988/1989,1988,1345,1345,1392,7600,7600,7648,625,625,,1299,1299,1333,1294,1294,1324,400,400,1680
1989/1990,1989,1579,1579,1591,12342,12342,12685,1350,1350,,1502,1502,1508,1488,1488,1496,2940,2940,1943
1990/1991,1990,1975,1975,1758,16200,16200,15307,2375,2375,,1828,1828,1665,1812,1812,1652,2360,2360,1946
1991/1992,1991,1786,1786,1705,7442,7442,7689,1675,1675,,1757,1757,1640,1745,1745,1628,1540,1540,1596
1992/1993,1992,1361,1361,1541,3967,3967,5280,1050,1050,,1337,1337,1500,1329,1329,1489,1140,1140,1320
1993/1994,1993,1478,1478,1468,9342,9342,7321,1875,1875,,1417,1417,1435,1405,1405,1424,1020,1020,1358
1994/1995,1994,1342,1342,1496,2700,2700,4080,1400,1400,,1330,1330,1473,1324,1324,1459,80,80,1911
1995/1996,1995,1734,1734,1580,4083,4083,4000,1625,1625,,1727,1727,1562,1696,1696,1546,6240,6240,2879
1996/1997,1996,1637,1637,1550,4808,4808,4181,575,575,,1604,1604,1533,1597,1597,1521,1600,1600,2343
1997/1998,1997,1449,1449,1389,1883,1883,2180,500,500,,1440,1440,1377,1432,1432,1368,1140,1140,1570
1998/1999,1998,945,945,1226,1075,1075,972,25,,,939,939,1220,936,936,1213,440,440,1315
1999/2000,1999,1421,1421,1162,350,350,481,1200,1200,,1421,1421,1159,1411,1411,1152,2120,2120,1487
2000/2001,2000,946,946,1121,283,283,338,375,375,,945,945,1120,939,939,1113,1560,1560,1759
2001/2002,2001,1167,1167,1156,425,425,327,0,0,,1165,1165,1154,1155,1155,1147,2920,2920,1948
2002/2003,2002,1211,1211,1241,225,225,362,0,0,,1209,1209,1239,1205,1205,1231,460,460,1969
2003/2004,2003,1371,1371,1315,525,525,426,125,,,1368,1368,1312,1357,1357,1304,3100,3100,2206
2004/2005,2004,1327,1327,1292,408,408,405,0,0,,1325,1325,1290,1317,1317,1282,2120,2120,2179
2005/2006,2005,1341,1341,1151,425,425,271,500,500,,1338,1338,1149,1328,1328,1142,2500,2500,1851
2006/2007,2006,755,755,967,8,8,130,25,,,756,756,966,753,753,960,600,600,1505
