Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1974/1975,1974,14,14,13,,,,7,,7,15,15,13,15,15,14,2,2,2
1975/1976,1975,11,11,12,,,,9,9,6,12,12,12,12,12,13,1,1,1
1976/1977,1976,10,10,11,,,,3,3,6,10,10,12,10,10,12,0,,1
1977/1978,1977,12,12,11,,,,5,,5,12,12,12,13,13,12,1,,1
1978/1979,1978,12,12,11,,,,5,5,6,12,12,12,12,12,12,0,0,1
1979/1980,1979,13,13,11,,,,7,7,6,13,13,12,14,14,12,0,0,0
1980/1981,1980,11,11,12,,,,7,7,6,11,11,12,12,12,13,2,,0
1981/1982,1981,11,11,12,,,,7,,7,11,11,13,11,11,13,0,,0
1982/1983,1982,15,15,13,,,,6,6,7,15,15,13,16,16,14,0,0,0
1983/1984,1983,13,13,14,,,,8,8,8,13,13,14,14,14,15,0,0,0
1984/1985,1984,16,16,15,,,,12,12,9,16,16,15,17,17,16,0,0,0
1985/1986,1985,18,18,16,,,,7,7,10,18,18,17,19,19,17,0,0,1
1986/1987,1986,14,14,17,,,,13,13,11,15,15,18,16,16,19,0,0,1
1987/1988,1987,18,18,19,,,,11,11,12,19,19,20,20,20,21,2,2,2
1988/1989,1988,24,24,22,13,13,11,15,15,12,25,25,23,26,26,24,0,0,6
1989/1990,1989,27,27,25,9,,12,10,10,13,28,28,26,29,29,27,0,0,16
1990/1991,1990,26,26,27,12,,13,12,12,15,27,27,28,29,29,29,66,,38
1991/1992,1991,30,30,29,17,,14,21,21,16,31,31,30,32,32,31,70,,57
1992/1993,1992,29,29,31,12,,14,19,19,16,30,30,32,31,31,32,28,,55
1993/1994,1993,32,32,34,17,17,15,12,12,15,33,33,34,32,32,35,73,73,49
1994/1995,1994,41,41,37,18,18,16,14,14,16,42,42,38,43,43,38,32,32,40
1995/1996,1995,34,34,41,12,12,17,16,16,19,36,36,42,37,37,42,16,16,39
1996/1997,1996,49,49,45,20,20,17,26,26,24,50,50,46,50,50,47,55,55,51
1997/1998,1997,52,52,48,20,20,17,28,28,29,53,53,49,51,51,49,98,98,63
1998/1999,1998,46,46,49,17,17,17,42,42,31,47,47,50,47,47,50,43,43,60
1999/2000,1999,50,50,50,18,18,16,20,20,28,52,52,51,53,53,51,42,42,66
2000/2001,2000,47,47,53,10,10,17,25,25,28,49,49,55,47,47,54,106,106,94
2001/2002,2001,64,64,58,22,22,20,32,32,31,67,67,60,64,64,58,154,154,128
2002/2003,2002,62,62,63,28,28,25,38,38,38,63,63,65,62,62,62,106,106,150
2003/2004,2003,66,66,69,30,30,30,42,42,47,68,68,71,60,60,66,235,235,189
2004/2005,2004,78,78,74,35,35,35,62,62,53,80,80,76,77,77,70,143,143,196
2005/2006,2005,75,75,76,36,36,41,57,57,48,77,77,78,69,69,73,268,268,196
2006/2007,2006,78,78,77,54,54,46,23,23,38,79,79,78,80,80,76,87,87,141
2007/2008,2007,75,75,77,51,51,47,36,36,35,77,77,78,75,75,77,138,138,126
2008/2009,2008,76,76,78,41,41,45,39,39,34,78,78,79,75,75,78,145,145,132
2009/2010,2009,84,84,80,42,42,46,33,33,33,85,85,81,87,87,79,101,101,152
2010/2011,2010,82,82,81,50,50,53,28,28,32,83,83,83,75,75,79,285,285,199
2011/2012,2011,76,76,85,77,77,64,41,41,35,76,76,86,75,75,82,100,100,182
2012/2013,2012,101,101,94,49,49,78,33,33,41,104,104,94,99,99,91,239,239,192
2013/2014,2013,99,99,99,127,127,99,54,54,52,98,98,98,96,96,97,158,158,156
2014/2015,2014,99,99,100,104,104,99,72,72,65,98,98,100,98,98,100,113,113,108
2015/2016,2015,95,95,101,73,73,89,69,69,76,96,96,102,99,99,102,33,33,97
2016/2017,2016,115,115,103,78,78,94,97,97,88,116,116,104,112,112,102,196,196,137
2017/2018,2017,94,94,100,135,135,112,80,80,100,91,91,99,89,89,96,136,136,154
2018/2019,2018,97,97,98,112,112,114,144,144,119,96,96,97,91,91,94,153,153,141
2019/2020,2019,100,100,99,100,100,104,100,100,110,100,100,98,100,100,97,100,100,108
