Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,4,4,4,,,,6,6,6,4,4,4,0,0,3,0,0,0
1967/1968,1967,6,6,5,,,,10,10,7,6,6,5,5,,3,0,0,0
1968/1969,1968,6,6,6,,,,6,6,8,6,6,6,10,10,4,0,0,0
1969/1970,1969,6,6,7,,,,10,10,9,6,6,7,1,,4,0,0,0
1970/1971,1970,4,4,8,,,,7,7,11,4,4,8,2,,4,0,0,0
1971/1972,1971,9,9,9,,,,12,12,14,9,9,10,4,4,5,0,,0
1972/1973,1972,15,15,11,,,,23,23,17,15,15,11,6,,7,0,0,0
1973/1974,1973,13,13,13,,,,20,20,19,13,13,13,10,,10,0,0,0
1974/1975,1974,17,17,13,,,,22,22,19,17,17,13,8,8,14,0,0,0
1975/1976,1975,8,8,13,,,,11,11,18,9,9,13,16,,20,0,0,0
1976/1977,1976,15,15,13,,,,17,17,18,15,15,14,54,,22,0,0,0
1977/1978,1977,15,15,14,,,,24,24,19,15,15,14,1,,15,1,1,0
1978/1979,1978,10,10,14,,,,15,15,21,10,10,14,6,,9,1,1,0
1979/1980,1979,18,18,16,,,,29,29,24,18,18,16,5,,6,0,0,0
1980/1981,1980,16,16,18,,,,25,25,28,16,16,18,4,,5,0,0,0
1981/1982,1981,23,23,21,,,,36,36,32,23,23,21,2,,4,0,0,0
1982/1983,1982,24,24,25,,,,38,38,38,24,24,25,1,1,5,0,0,1
1983/1984,1983,24,24,32,,,,35,35,47,25,25,32,7,7,7,0,0,1
1984/1985,1984,53,53,43,,,,79,79,59,53,53,43,7,7,12,3,3,2
1985/1986,1985,25,25,54,,,,25,25,70,25,25,54,28,28,17,3,,3
1986/1987,1986,116,116,60,,,,147,147,77,117,117,60,32,32,21,4,4,5
1987/1988,1987,20,20,45,,,,23,23,57,20,20,45,15,15,19,9,9,7
1988/1989,1988,27,27,32,19,19,20,42,42,40,27,27,32,5,5,18,8,8,7
1989/1990,1989,30,30,27,23,23,22,32,32,31,30,30,27,27,27,21,5,5,5
1990/1991,1990,16,16,27,23,23,24,18,18,28,16,16,27,14,14,26,3,,3
1991/1992,1991,36,36,31,26,26,26,32,32,32,37,37,31,48,48,35,0,0,2
1992/1993,1992,38,38,38,27,27,27,32,32,42,38,38,38,46,46,41,1,1,2
1993/1994,1993,48,48,44,29,29,29,78,78,56,48,48,44,40,40,40,4,4,3
1994/1995,1994,51,51,48,32,32,31,64,64,61,51,51,48,29,29,39,5,5,3
1995/1996,1995,46,46,49,27,27,33,48,48,57,46,46,49,45,45,41,3,3,4
1996/1997,1996,51,51,50,38,38,37,57,57,54,51,51,50,44,44,46,6,6,5
1997/1998,1997,43,43,54,46,46,40,38,38,54,43,43,54,57,57,54,6,6,7
1998/1999,1998,69,69,60,41,41,43,78,78,57,69,69,60,52,52,67,10,10,8
1999/2000,1999,75,75,62,46,46,45,60,60,56,75,75,62,99,99,83,7,7,9
2000/2001,2000,42,42,59,46,46,47,29,29,55,42,42,59,93,93,81,12,12,13
2001/2002,2001,60,60,62,41,41,53,69,69,65,60,60,62,55,55,67,20,20,17
2002/2003,2002,77,77,68,71,71,63,93,93,78,77,77,69,51,51,59,20,20,21
2003/2004,2003,66,66,70,77,77,71,72,72,79,66,66,70,57,57,60,22,22,25
2004/2005,2004,84,84,66,70,70,71,90,90,71,84,84,66,78,78,63,31,31,30
2005/2006,2005,36,36,59,75,75,68,29,29,61,36,36,59,58,58,61,36,36,32
2006/2007,2006,65,65,57,48,48,66,76,76,59,66,66,57,50,50,60,26,26,31
2007/2008,2007,61,61,59,84,84,72,62,62,57,60,60,59,68,68,66,36,36,36
2008/2009,2008,57,57,62,61,61,80,39,39,58,57,57,61,87,87,73,47,47,47
2009/2010,2009,69,69,67,108,108,90,75,75,65,69,69,67,61,61,75,64,64,63
2010/2011,2010,71,71,74,97,97,86,70,70,74,71,71,74,86,86,83,78,78,73
2011/2012,2011,86,86,80,71,71,72,90,90,78,86,86,80,88,88,95,63,63,68
2012/2013,2012,83,83,82,38,38,64,70,70,75,83,83,82,121,121,107,71,71,69
2013/2014,2013,74,74,81,70,70,71,63,63,71,74,74,81,98,98,108,70,70,74
2014/2015,2014,92,92,80,99,99,82,83,83,69,92,92,79,114,114,104,86,86,78
2015/2016,2015,70,70,76,100,100,78,65,65,67,70,70,76,90,90,98,68,68,70
2016/2017,2016,66,66,78,42,42,65,56,56,71,66,66,78,92,92,97,62,62,80
2017/2018,2017,97,97,91,56,56,63,84,84,87,97,97,91,110,110,99,155,155,129
2018/2019,2018,112,112,103,73,73,73,130,130,106,113,113,103,90,90,98,97,97,112
2019/2020,2019,100,100,106,100,100,94,100,100,112,100,100,106,100,100,98,100,100,98
