Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,7,7,7,,,,0,,0,7,7,8,8,8,9,2,2,2
1967/1968,1967,8,8,8,,,,0,0,0,8,8,8,9,9,9,2,2,2
1968/1969,1968,9,9,9,,,,0,0,0,9,9,9,11,11,10,1,1,3
1969/1970,1969,10,10,10,,,,0,0,0,10,10,10,11,11,11,4,,4
1970/1971,1970,12,12,11,,,,0,0,0,12,12,11,13,13,12,6,,5
1971/1972,1971,12,12,12,,,,0,0,1,12,12,12,13,13,13,6,,5
1972/1973,1972,13,13,13,,,,1,1,1,13,13,13,14,14,14,6,,5
1973/1974,1973,13,13,14,,,,4,4,1,13,13,14,15,15,15,5,,5
1974/1975,1974,15,15,15,,,,0,0,1,15,15,15,17,17,16,5,,5
1975/1976,1975,14,14,16,,,,0,0,1,14,14,16,16,16,18,3,,5
1976/1977,1976,18,18,18,,,,1,1,1,18,18,18,21,21,20,4,4,5
1977/1978,1977,20,20,20,,,,1,,1,20,20,20,22,22,23,7,7,6
1978/1979,1978,22,22,23,,,,2,2,1,22,22,23,25,25,26,9,9,6
1979/1980,1979,28,28,26,,,,2,2,2,28,28,26,31,31,29,6,6,6
1980/1981,1980,30,30,29,,,,2,2,2,30,30,29,34,34,33,5,5,6
1981/1982,1981,30,30,32,,,,1,,2,30,30,32,34,34,36,4,4,6
1982/1983,1982,36,36,35,,,,4,4,2,36,36,35,41,41,40,6,6,6
1983/1984,1983,37,37,39,,,,3,3,3,37,37,39,42,42,45,9,9,7
1984/1985,1984,45,45,44,,,,3,3,3,45,45,44,51,51,50,7,7,7
1985/1986,1985,49,49,48,,,,3,3,4,49,49,48,56,56,55,6,6,7
1986/1987,1986,52,52,52,,,,5,5,5,52,52,52,59,59,60,8,8,7
1987/1988,1987,55,55,56,,,,5,5,6,55,55,56,63,63,63,8,8,7
1988/1989,1988,59,59,58,310,310,324,10,10,8,59,59,58,67,67,66,6,6,8
1989/1990,1989,59,59,60,319,319,289,9,9,9,58,58,60,67,67,68,9,9,9
1990/1991,1990,62,62,61,243,243,248,9,9,11,62,62,60,70,70,68,11,11,10
1991/1992,1991,61,61,60,191,191,216,14,14,12,60,60,60,68,68,68,10,10,11
1992/1993,1992,59,59,59,242,242,200,15,15,12,59,59,59,66,66,67,13,13,14
1993/1994,1993,59,59,59,112,112,195,8,8,12,58,58,59,66,66,66,18,18,17
1994/1995,1994,59,59,61,290,290,210,12,12,13,59,59,61,65,65,68,20,20,21
1995/1996,1995,66,66,64,142,142,220,15,15,15,66,66,64,73,73,71,29,29,26
1996/1997,1996,70,70,68,338,338,224,19,19,18,70,70,68,76,76,74,33,33,30
1997/1998,1997,69,69,70,145,145,204,21,21,20,69,69,70,76,76,77,31,31,33
1998/1999,1998,71,71,73,169,169,195,20,20,22,71,71,73,79,79,80,29,29,39
1999/2000,1999,78,78,77,232,232,206,23,23,23,78,78,77,83,83,83,58,58,52
2000/2001,2000,81,81,81,210,210,226,23,23,23,81,81,81,86,86,86,70,70,66
2001/2002,2001,86,86,83,232,232,253,25,25,23,86,86,83,91,91,88,73,73,73
2002/2003,2002,82,82,83,326,326,273,21,21,23,82,82,83,87,87,88,72,72,74
2003/2004,2003,79,79,83,264,264,256,24,24,24,79,79,83,83,83,88,77,77,72
2004/2005,2004,87,87,84,180,180,220,26,26,29,87,87,84,94,94,88,60,60,71
2005/2006,2005,83,83,85,229,229,192,40,40,38,83,83,85,85,85,88,81,81,77
2006/2007,2006,87,87,86,132,132,170,49,49,46,87,87,86,89,89,88,84,84,85
2007/2008,2007,87,87,87,190,190,161,49,49,49,87,87,86,88,88,88,96,96,88
2008/2009,2008,87,87,87,143,143,161,44,44,52,87,87,87,89,89,89,81,81,83
2009/2010,2009,87,87,89,98,98,174,69,69,60,87,87,89,89,89,91,71,71,80
2010/2011,2010,92,92,91,307,307,194,59,59,66,91,91,91,93,93,93,88,88,87
2011/2012,2011,99,99,92,210,210,176,78,78,72,99,99,92,99,99,93,105,105,92
2012/2013,2012,84,84,90,49,49,143,69,69,71,84,84,90,85,85,91,77,77,87
2013/2014,2013,89,89,91,173,173,129,69,69,73,89,89,91,90,90,92,85,85,87
2014/2015,2014,97,97,94,104,104,126,87,87,81,97,97,94,98,98,95,94,94,90
2015/2016,2015,98,98,96,112,112,139,81,81,85,98,98,96,99,99,96,94,94,92
2016/2017,2016,93,93,96,170,170,168,91,91,89,93,93,96,93,93,96,87,87,93
2017/2018,2017,96,96,97,204,204,198,91,91,95,95,95,96,95,95,96,101,101,98
2018/2019,2018,100,100,99,279,279,197,110,110,104,100,100,98,98,98,98,104,104,102
2019/2020,2019,100,100,100,100,100,159,100,100,102,100,100,100,100,100,100,100,100,102
