Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1984/1985,1984,112,112,110,,,,143,143,142,112,112,111,108,108,108,181,181,178
1985/1986,1985,109,109,110,,,,149,149,147,110,110,110,107,107,107,166,166,168
1986/1987,1986,111,111,110,,,,153,153,154,110,110,110,107,107,106,157,157,160
1987/1988,1987,103,103,111,,,,156,156,165,103,103,111,98,98,106,149,149,156
1988/1989,1988,118,118,114,115,115,125,177,177,181,118,118,113,113,113,108,171,171,155
1989/1990,1989,124,124,115,156,156,140,215,215,193,122,122,114,116,116,109,141,141,154
1990/1991,1990,111,111,115,142,142,145,188,188,195,110,110,114,104,104,108,154,154,155
1991/1992,1991,110,110,115,142,142,142,191,191,189,109,109,114,103,103,108,170,170,156
1992/1993,1992,117,117,118,154,154,136,184,184,183,115,115,117,111,111,113,146,146,155
1993/1994,1993,123,123,124,84,84,133,171,171,180,126,126,123,123,123,119,155,155,156
1994/1995,1994,129,129,130,166,166,149,174,174,185,128,128,130,124,124,126,152,152,161
1995/1996,1995,143,143,136,189,189,161,204,204,197,141,141,135,136,136,131,179,179,170
1996/1997,1996,141,141,139,143,143,156,215,215,203,142,142,138,136,136,133,184,184,174
1997/1998,1997,130,130,140,142,142,152,197,197,198,130,130,140,125,125,136,174,174,173
1998/1999,1998,143,143,145,141,141,157,177,177,188,143,143,145,141,141,142,161,161,174
1999/2000,1999,158,158,150,187,187,163,189,189,177,156,156,150,154,154,148,172,172,181
2000/2001,2000,153,153,152,162,162,147,161,161,163,151,151,152,151,151,151,198,198,194
2001/2002,2001,150,150,149,103,103,117,144,144,152,153,153,150,152,152,150,222,222,201
2002/2003,2002,141,141,145,86,86,91,136,136,145,144,144,147,144,144,147,182,182,193
2003/2004,2003,138,138,142,79,79,74,161,161,139,141,141,145,139,139,145,198,198,180
2004/2005,2004,144,144,140,55,55,63,126,126,128,149,149,145,151,151,146,142,142,165
2005/2006,2005,147,147,138,64,64,55,110,110,118,151,151,143,154,154,144,153,153,160
2006/2007,2006,125,125,136,46,46,50,112,112,110,129,129,140,129,129,142,171,171,161
2007/2008,2007,137,137,137,51,51,47,98,98,107,141,141,141,143,143,143,173,173,161
2008/2009,2008,139,139,139,41,41,46,117,117,106,144,144,144,146,146,147,140,140,157
2009/2010,2009,145,145,141,45,45,49,103,103,106,150,150,146,154,154,149,153,153,155
2010/2011,2010,141,141,139,56,56,54,110,110,108,145,145,144,147,147,146,169,169,151
2011/2012,2011,141,141,133,65,65,61,109,109,110,145,145,137,148,148,139,140,140,140
2012/2013,2012,115,115,126,68,68,68,105,105,115,118,118,129,119,119,130,128,128,128
2013/2014,2013,115,115,123,70,70,72,128,128,122,118,118,125,118,118,126,98,98,120
2014/2015,2014,130,130,122,87,87,74,127,127,128,133,133,125,133,133,125,132,132,119
2015/2016,2015,122,122,120,67,67,74,137,137,129,126,126,123,126,126,123,111,111,121
2016/2017,2016,118,118,115,71,71,76,124,124,125,120,120,118,120,120,117,132,132,122
2017/2018,2017,103,103,110,74,74,84,113,113,119,105,105,111,104,104,111,124,124,119
2018/2019,2018,108,108,105,117,117,97,118,118,112,108,108,105,107,107,105,108,108,111
2019/2020,2019,100,100,100,100,100,107,100,100,103,100,100,100,100,100,100,100,100,102
