Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1974/1975,1974,104,104,102,,,,69,69,69,105,105,102,122,122,119,92,92,92
1975/1976,1975,92,92,92,,,,67,67,62,91,91,93,104,104,109,89,89,90
1976/1977,1976,83,83,85,,,,45,45,56,84,84,86,107,107,103,91,91,88
1977/1978,1977,83,83,81,,,,57,,53,84,84,81,98,98,97,88,88,87
1978/1979,1978,77,,80,,,,53,,52,76,,79,87,,93,81,81,86
1979/1980,1979,83,83,81,,,,52,,52,81,81,80,96,96,92,91,91,89
1980/1981,1980,83,83,83,,,,49,,52,82,82,82,92,92,92,90,,93
1981/1982,1981,88,88,86,,,,55,55,54,85,85,84,93,93,94,104,104,100
1982/1983,1982,91,91,90,,,,62,62,56,89,89,88,98,98,96,107,107,108
1983/1984,1983,88,88,93,,,,51,51,58,88,88,92,97,97,100,116,116,117
1984/1985,1984,104,104,98,,,,69,69,61,103,103,97,110,110,106,132,132,127
1985/1986,1985,101,101,104,,,,57,57,65,97,97,102,107,107,111,125,125,136
1986/1987,1986,110,110,110,,,,74,74,71,110,110,109,116,116,118,166,166,145
1987/1988,1987,119,119,117,,,,77,77,82,119,119,115,135,135,123,134,134,151
1988/1989,1988,121,121,124,187,187,177,95,95,97,115,115,122,116,116,126,155,155,160
1989/1990,1989,136,136,131,144,144,156,127,127,113,136,136,129,133,133,130,185,185,172
1990/1991,1990,131,131,136,140,140,146,110,110,124,130,130,135,132,132,135,179,179,177
1991/1992,1991,143,143,140,141,141,144,145,145,130,143,143,140,141,141,139,165,165,179
1992/1993,1992,145,145,142,172,172,143,123,123,129,144,144,142,145,145,142,193,193,180
1993/1994,1993,132,132,143,117,117,137,116,116,126,133,133,143,133,133,144,162,162,178
1994/1995,1994,163,163,143,137,137,136,146,146,125,164,164,144,163,163,145,199,199,171
1995/1996,1995,129,129,140,142,142,141,110,110,122,128,128,140,132,132,142,142,142,157
1996/1997,1996,130,130,141,139,139,149,112,112,125,130,130,140,133,133,142,137,137,150
1997/1998,1997,157,157,146,171,171,157,150,150,135,157,157,145,157,157,146,163,163,151
1998/1999,1998,145,145,149,159,159,158,138,138,142,143,143,148,143,143,149,149,149,154
1999/2000,1999,154,154,149,147,147,152,146,146,144,154,154,149,156,156,148,156,156,157
2000/2001,2000,146,146,145,159,159,143,143,143,140,145,145,145,142,142,143,165,165,157
2001/2002,2001,135,135,138,115,115,133,135,135,132,136,136,138,133,133,137,151,151,153
2002/2003,2002,132,132,133,131,131,130,111,111,124,132,132,133,137,137,133,145,145,147
2003/2004,2003,128,128,129,127,127,131,123,123,121,128,128,129,126,126,129,144,144,141
2004/2005,2004,130,130,127,148,148,134,134,134,119,129,129,127,126,126,127,132,132,134
2005/2006,2005,121,121,126,122,122,132,100,100,113,121,121,125,126,126,127,130,130,129
2006/2007,2006,129,129,124,137,137,130,112,112,110,128,128,124,133,133,127,125,125,124
2007/2008,2007,121,121,121,120,120,126,109,109,108,121,121,121,125,125,124,121,121,121
2008/2009,2008,118,118,117,128,128,121,113,113,106,118,118,117,118,118,120,121,121,119
2009/2010,2009,108,108,115,108,108,116,95,95,103,108,108,115,113,113,118,105,105,120
2010/2011,2010,118,118,116,108,108,114,101,101,104,119,119,117,122,122,119,138,138,124
2011/2012,2011,122,122,117,127,127,113,115,115,106,122,122,118,123,123,120,124,124,126
2012/2013,2012,111,111,117,105,105,109,99,99,107,112,112,118,114,114,119,123,123,126
2013/2014,2013,120,120,116,100,100,105,113,113,107,122,122,117,122,122,118,129,129,125
2014/2015,2014,112,112,113,107,107,102,106,106,105,112,112,113,111,111,113,121,121,122
2015/2016,2015,110,110,107,94,94,100,96,96,102,111,111,108,115,115,107,121,121,117
2016/2017,2016,102,102,101,105,105,100,110,110,99,102,102,101,97,97,99,111,111,111
2017/2018,2017,89,89,96,96,96,100,91,91,95,88,88,96,86,86,95,97,97,105
2018/2019,2018,96,96,96,103,103,100,85,85,93,95,95,95,97,97,95,105,105,102
2019/2020,2019,100,100,97,100,100,101,100,100,95,100,100,97,100,100,97,100,100,99
