Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,11,11,11,11,11,11,11,11,11,3,3,2
1967/1968,1967,13,13,12,13,13,12,13,13,12,4,4,3
1968/1969,1968,14,14,14,14,14,14,14,14,14,3,3,3
1969/1970,1969,14,14,16,14,14,16,14,14,16,8,8,4
1970/1971,1970,20,20,19,20,20,19,20,20,19,8,8,5
1971/1972,1971,20,20,22,20,20,22,20,20,22,3,3,7
1972/1973,1972,24,24,26,24,24,26,24,24,26,5,5,9
1973/1974,1973,37,37,30,37,37,30,38,38,30,3,3,14
1974/1975,1974,28,28,33,28,28,33,28,28,33,2,2,22
1975/1976,1975,35,35,35,35,35,35,35,35,35,36,36,36
1976/1977,1976,42,42,38,42,42,38,41,41,38,114,114,56
1977/1978,1977,37,37,41,37,37,41,37,37,41,67,67,75
1978/1979,1978,43,43,45,43,43,45,43,43,45,69,69,95
1979/1980,1979,58,58,50,58,58,50,58,58,50,127,127,118
1980/1981,1980,52,52,55,52,52,55,52,52,54,150,150,145
1981/1982,1981,53,53,61,53,53,61,53,53,61,151,151,176
1982/1983,1982,77,77,69,77,77,69,77,77,69,268,268,217
1983/1984,1983,77,77,78,77,77,78,77,77,78,218,218,264
1984/1985,1984,83,83,85,83,83,85,83,83,85,283,283,340
1985/1986,1985,94,94,90,94,94,90,94,94,90,564,564,439
1986/1987,1986,96,96,92,96,96,92,95,95,91,434,434,496
1987/1988,1987,82,82,90,82,82,90,81,81,90,495,495,534
1988/1989,1988,100,100,90,100,100,90,99,99,90,696,696,544
1989/1990,1989,77,77,92,77,77,92,77,77,92,373,373,500
1990/1991,1990,105,105,101,105,105,101,104,104,100,446,446,518
1991/1992,1991,117,117,110,117,117,110,116,116,109,729,729,581
1992/1993,1992,107,107,116,107,107,116,106,106,115,505,505,575
1993/1994,1993,134,134,117,134,134,117,134,134,116,597,597,538
1994/1995,1994,99,99,112,99,99,112,99,99,111,455,455,487
1995/1996,1995,105,105,107,105,105,107,104,104,107,409,409,475
1996/1997,1996,109,109,105,109,109,105,108,108,104,604,604,510
1997/1998,1997,107,107,100,107,107,100,106,106,100,473,473,549
1998/1999,1998,81,81,93,81,81,93,81,81,93,579,579,616
1999/2000,1999,96,96,88,96,96,88,95,95,88,850,850,648
2000/2001,2000,81,81,82,81,81,82,81,81,82,411,411,567
2001/2002,2001,80,80,76,80,80,76,79,79,75,567,567,531
2002/2003,2002,69,69,71,69,69,71,68,68,70,470,470,540
2003/2004,2003,59,59,71,59,59,71,58,58,70,674,674,581
2004/2005,2004,81,81,76,81,81,76,80,80,76,517,517,585
2005/2006,2005,88,88,83,88,88,83,88,88,82,634,634,564
2006/2007,2006,85,85,86,85,85,86,85,85,85,465,465,499
2007/2008,2007,92,92,85,92,92,85,92,92,84,453,453,434
2008/2009,2008,75,75,81,75,75,81,74,74,81,356,356,384
2009/2010,2009,80,80,81,80,80,81,80,80,80,364,364,363
2010/2011,2010,77,77,84,77,77,84,77,77,84,362,362,362
2011/2012,2011,102,102,91,102,102,91,101,101,91,415,415,373
2012/2013,2012,94,94,97,94,94,97,94,94,97,341,341,398
2013/2014,2013,96,96,104,96,96,104,95,95,103,415,415,468
2014/2015,2014,121,121,109,121,121,109,120,120,108,574,574,564
2015/2016,2015,108,108,106,108,108,106,107,107,105,739,739,552
2016/2017,2016,96,96,98,96,96,98,95,95,97,279,279,384
2017/2018,2017,88,88,91,88,88,91,87,87,91,215,215,246
2018/2019,2018,84,84,90,84,84,90,84,84,90,181,181,161
2019/2020,2019,100,100,94,100,100,94,100,100,94,100,100,105
