Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1974/1975,1974,245,245,250,,,,179,179,199,249,249,254,244,244,248,502,502,495
1975/1976,1975,245,245,242,,,,236,236,210,248,248,246,242,242,243,422,422,405
1976/1977,1976,246,246,228,,,,195,195,198,249,249,231,252,252,231,327,327,343
1977/1978,1977,190,190,208,,,,172,,170,191,191,210,194,194,212,261,261,322
1978/1979,1978,197,197,193,,,,139,,140,199,199,195,200,200,196,385,385,334
1979/1980,1979,177,177,183,,,,114,,117,178,178,184,177,177,186,357,357,340
1980/1981,1980,187,187,176,,,,94,,102,189,189,177,194,194,178,290,290,329
1981/1982,1981,165,165,169,,,,102,102,96,166,166,170,162,162,171,382,382,312
1982/1983,1982,155,155,166,,,,91,91,93,155,155,167,158,158,168,240,240,284
1983/1984,1983,179,179,168,,,,90,90,93,179,179,168,183,183,169,245,245,277
1984/1985,1984,165,165,168,,,,104,104,94,165,165,168,162,162,168,309,309,293
1985/1986,1985,181,181,167,,,,94,94,95,179,179,167,180,180,166,332,332,312
1986/1987,1986,157,157,165,,,,100,100,98,157,157,165,155,155,163,321,321,319
1987/1988,1987,155,155,170,,,,82,82,106,155,155,170,154,154,168,325,325,318
1988/1989,1988,195,195,184,188,188,186,152,152,121,194,194,184,189,189,182,310,310,322
1989/1990,1989,191,191,202,179,179,185,104,104,136,190,190,202,193,193,199,257,257,345
1990/1991,1990,238,238,216,194,194,185,181,181,153,238,238,216,230,230,213,512,512,378
1991/1992,1991,221,221,216,189,189,185,168,168,159,221,221,217,219,219,214,348,348,356
1992/1993,1992,199,199,209,171,171,189,129,129,161,199,199,209,201,201,208,263,263,316
1993/1994,1993,196,196,208,212,212,205,183,183,171,195,195,208,191,191,206,300,300,300
1994/1995,1994,221,221,214,221,221,229,185,185,182,221,221,213,219,219,211,289,289,301
1995/1996,1995,217,217,219,245,245,257,186,186,188,215,215,217,213,213,215,338,338,305
1996/1997,1996,228,228,216,314,314,270,190,190,188,225,225,215,222,222,212,305,305,292
1997/1998,1997,203,203,204,219,219,247,190,190,180,201,201,202,199,199,199,210,210,270
1998/1999,1998,192,192,188,242,242,211,162,162,166,190,190,187,186,186,184,318,318,251
1999/2000,1999,159,159,175,148,148,172,149,149,155,159,159,174,157,157,172,216,216,221
2000/2001,2000,170,170,169,141,141,152,141,141,153,170,170,169,172,172,168,171,171,196
2001/2002,2001,171,171,168,142,142,148,164,164,159,171,171,168,170,170,166,165,165,190
2002/2003,2002,170,170,165,167,167,151,177,177,160,170,170,165,165,165,162,218,218,201
2003/2004,2003,153,153,158,149,149,151,139,139,149,153,153,158,151,151,154,204,204,217
2004/2005,2004,158,158,149,150,150,146,142,142,130,158,158,148,154,154,145,258,258,229
2005/2006,2005,133,133,138,136,136,136,108,108,110,133,133,137,128,128,135,253,253,224
2006/2007,2006,123,123,129,115,115,124,80,80,95,123,123,129,123,123,127,153,153,212
2007/2008,2007,132,132,124,119,119,114,94,94,88,132,132,124,130,130,122,223,223,211
2008/2009,2008,113,113,122,112,112,104,84,84,85,113,113,122,109,109,120,237,237,214
2009/2010,2009,122,122,123,92,92,94,78,78,85,123,123,124,123,123,122,187,187,214
2010/2011,2010,126,126,126,79,79,87,92,92,87,127,127,127,125,125,126,217,217,217
2011/2012,2011,141,141,128,82,82,84,108,108,84,142,142,129,140,140,128,235,235,216
2012/2013,2012,124,124,125,88,88,86,68,68,77,125,125,126,125,125,127,234,234,205
2013/2014,2013,112,112,123,88,88,88,51,51,75,113,113,124,117,117,125,135,135,190
2014/2015,2014,125,125,124,99,99,91,91,91,83,126,126,124,124,124,125,206,206,187
2015/2016,2015,120,120,126,84,84,92,86,86,96,121,121,127,122,122,126,165,165,192
2016/2017,2016,139,139,128,88,88,95,130,130,108,140,140,128,137,137,126,212,212,198
2017/2018,2017,125,125,123,117,117,97,114,114,112,126,126,123,122,122,121,212,212,191
2018/2019,2018,112,112,114,84,84,97,99,99,107,112,112,114,109,109,112,186,186,164
2019/2020,2019,100,100,103,100,100,97,100,100,101,100,100,103,100,100,102,100,100,128
