Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1989/1990,1989,182,182,187,24,24,28,185,185,190,215,215,220,312,312,316,165,165,173
1990/1991,1990,190,190,183,37,37,30,190,190,182,221,221,214,323,323,320,128,128,109
1991/1992,1991,178,178,174,31,31,32,178,178,170,208,208,203,314,314,317,69,69,63
1992/1993,1992,160,160,163,27,27,33,145,145,158,187,187,190,329,329,302,19,19,40
1993/1994,1993,151,151,157,39,39,33,150,150,154,174,174,182,254,254,277,32,32,35
1994/1995,1994,156,156,158,31,31,33,158,158,159,182,182,183,260,260,263,41,41,41
1995/1996,1995,162,162,163,35,35,33,166,166,167,187,187,189,257,257,262,51,51,58
1996/1997,1996,178,178,167,34,34,34,187,187,172,207,207,194,273,273,269,95,95,82
1997/1998,1997,162,162,165,32,32,36,165,165,168,188,188,192,274,274,274,121,121,98
1998/1999,1998,156,156,162,32,32,41,155,155,163,181,181,186,276,276,268,60,60,100
1999/2000,1999,167,167,159,54,54,51,167,167,161,191,191,180,266,266,246,121,121,110
2000/2001,2000,153,153,153,78,78,59,159,159,159,168,168,173,194,194,215,135,135,110
2001/2002,2001,133,133,150,50,50,60,146,146,161,151,151,169,166,166,193,68,68,92
2002/2003,2002,165,165,151,52,52,61,183,183,167,188,188,170,210,210,177,87,87,77
2003/2004,2003,159,159,147,81,81,65,175,175,167,176,176,164,173,173,152,61,61,64
2004/2005,2004,120,120,140,57,57,69,143,143,164,134,134,155,103,103,124,46,46,56
2005/2006,2005,141,141,138,78,78,78,167,167,165,155,155,151,112,112,107,60,60,51
2006/2007,2006,148,148,138,88,88,92,176,176,163,161,161,148,101,101,103,50,50,45
2007/2008,2007,129,129,137,118,118,101,156,156,153,133,133,145,60,60,115,35,,38
2008/2009,2008,137,137,137,94,94,98,127,127,142,147,147,145,203,203,149,43,43,33
2009/2010,2009,136,136,139,84,84,90,142,142,134,147,147,149,164,164,191,6,6,34
2010/2011,2010,143,143,141,88,88,86,122,122,128,155,155,152,258,258,234,33,33,45
2011/2012,2011,145,145,141,87,87,85,131,131,124,157,157,153,250,250,255,110,110,61
2012/2013,2012,138,138,138,82,82,87,113,113,121,150,150,149,271,271,246,21,21,65
2013/2014,2013,131,131,135,90,90,92,120,120,122,140,140,144,205,205,215,104,104,61
2014/2015,2014,130,130,132,109,109,99,127,127,126,135,135,140,166,166,186,27,27,45
2015/2016,2015,133,133,130,92,92,101,133,133,127,142,142,137,174,174,171,42,42,33
2016/2017,2016,123,123,127,111,111,101,121,121,124,126,126,133,142,142,166,15,15,28
2017/2018,2017,129,129,122,94,94,95,122,122,118,137,137,128,189,189,162,22,22,32
2018/2019,2018,114,114,114,81,81,92,108,108,110,121,121,118,164,164,145,49,49,49
2019/2020,2019,100,100,103,100,100,94,100,100,101,100,100,105,100,100,120,100,100,90
