Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,2,2,1,,,,4,4,4,2,2,1,2,2,1,0,,1
1967/1968,1967,1,1,2,,,,4,4,6,1,1,2,1,1,2,1,1,1
1968/1969,1968,2,2,2,,,,7,7,9,2,2,2,2,2,2,1,1,1
1969/1970,1969,2,2,3,,,,12,,13,2,2,3,2,2,3,2,2,1
1970/1971,1970,4,4,4,,,,22,22,18,4,4,4,4,4,3,3,3,2
1971/1972,1971,5,5,4,,,,24,24,20,5,5,4,5,5,4,2,2,2
1972/1973,1972,5,5,5,,,,18,18,20,5,5,5,5,5,5,1,1,2
1973/1974,1973,5,5,5,,,,19,,18,5,5,6,5,5,5,2,,3
1974/1975,1974,6,6,6,,,,17,17,15,6,6,6,5,5,6,1,,3
1975/1976,1975,7,7,7,,,,12,12,13,7,7,7,7,7,7,5,,5
1976/1977,1976,7,7,8,,,,7,7,12,7,7,8,7,7,8,7,7,7
1977/1978,1977,10,10,9,,,,9,9,12,10,10,9,10,10,9,12,,9
1978/1979,1978,10,10,11,,,,14,14,13,10,10,11,10,10,11,10,10,10
1979/1980,1979,12,12,12,,,,17,17,15,12,12,12,12,12,13,9,,11
1980/1981,1980,15,15,15,,,,21,21,16,15,15,15,15,15,15,13,13,11
1981/1982,1981,17,17,17,,,,13,13,18,17,17,17,18,18,17,11,11,11
1982/1983,1982,21,21,20,,,,22,22,19,20,20,20,21,21,20,11,,11
1983/1984,1983,23,23,22,,,,19,19,20,23,23,22,23,23,22,10,10,10
1984/1985,1984,23,23,24,,,,23,23,22,22,22,23,23,23,24,11,11,10
1985/1986,1985,25,25,26,,,,17,17,23,25,25,26,25,25,26,9,9,9
1986/1987,1986,29,29,29,,,,37,37,26,28,28,29,29,29,29,10,10,9
1987/1988,1987,33,33,33,,,,26,26,27,32,32,32,33,33,33,8,8,10
1988/1989,1988,37,37,37,80,80,88,17,17,29,36,36,36,38,38,37,9,9,11
1989/1990,1989,41,41,40,115,115,100,33,33,34,40,40,39,42,42,40,12,12,14
1990/1991,1990,44,44,42,96,96,109,62,62,39,43,43,41,44,44,42,20,20,17
1991/1992,1991,41,41,43,117,117,117,24,24,40,40,40,42,41,41,43,25,25,19
1992/1993,1992,44,44,46,133,133,123,41,41,43,43,43,45,44,44,46,13,13,16
1993/1994,1993,50,50,49,111,111,123,49,49,51,50,50,49,51,51,50,13,13,14
1994/1995,1994,53,53,55,131,131,119,67,67,61,52,52,54,54,54,55,9,9,14
1995/1996,1995,63,63,60,108,108,112,75,75,70,62,62,59,64,64,61,17,17,16
1996/1997,1996,64,64,65,112,112,104,63,63,77,63,63,65,65,65,66,22,22,20
1997/1998,1997,70,70,70,80,80,99,90,90,84,70,70,70,72,72,71,24,24,24
1998/1999,1998,73,73,75,110,110,101,93,93,85,73,73,75,74,74,77,26,26,27
1999/2000,1999,86,86,80,107,107,104,79,79,78,86,86,79,88,88,81,36,36,30
2000/2001,2000,76,76,81,100,100,105,66,66,72,75,75,80,78,78,83,26,26,30
2001/2002,2001,82,82,83,110,110,104,54,54,75,82,82,82,84,84,84,32,32,31
2002/2003,2002,87,87,85,91,91,102,100,100,88,87,87,85,88,88,87,27,27,35
2003/2004,2003,88,88,86,110,110,97,121,121,92,87,87,86,88,88,88,50,50,40
2004/2005,2004,83,83,86,82,82,86,58,58,79,83,83,86,85,85,88,37,37,40
2005/2006,2005,91,91,85,89,89,74,67,67,72,91,91,85,94,94,88,37,37,38
2006/2007,2006,77,77,86,51,51,64,72,72,73,77,77,86,79,79,88,39,39,35
2007/2008,2007,95,95,91,57,57,60,89,89,79,95,95,91,98,98,94,25,25,31
2008/2009,2008,96,96,98,55,55,65,74,74,85,96,96,98,100,100,102,32,32,31
2009/2010,2009,110,110,105,81,81,76,104,104,93,111,111,105,114,114,108,32,32,34
2010/2011,2010,101,101,108,102,102,91,94,94,97,101,101,108,103,103,111,40,40,40
2011/2012,2011,118,118,109,100,100,103,93,93,98,118,118,109,121,121,112,52,52,44
2012/2013,2012,103,103,105,113,113,113,107,107,101,103,103,105,105,105,108,42,42,44
2013/2014,2013,99,99,102,114,114,120,110,110,103,98,98,102,101,101,104,37,37,47
2014/2015,2014,102,102,103,132,132,122,82,82,109,102,102,102,104,104,104,65,65,58
2015/2016,2015,108,108,105,120,120,116,145,145,129,108,108,105,109,109,106,66,66,68
2016/2017,2016,107,107,106,103,103,106,151,151,142,107,107,106,107,107,107,80,80,75
2017/2018,2017,100,100,107,85,85,101,119,119,142,100,100,107,101,101,108,73,73,78
2018/2019,2018,117,117,108,113,113,101,164,164,137,116,116,108,117,117,108,87,87,86
2019/2020,2019,100,100,104,100,100,102,100,100,113,100,100,104,100,100,104,100,100,99
