Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,26,26,30,26,26,34,26,26,30,28,28,29,3,,5
1967/1968,1967,36,36,35,44,44,39,37,37,35,32,32,34,6,6,7
1968/1969,1968,46,46,39,57,57,42,46,46,39,41,41,39,9,9,10
1969/1970,1969,48,48,41,38,38,42,48,48,42,57,57,43,22,22,12
1970/1971,1970,33,33,43,31,31,44,33,33,43,36,36,44,10,10,13
1971/1972,1971,45,45,47,53,53,52,46,46,47,44,44,44,9,9,13
1972/1973,1972,36,36,54,44,44,67,36,36,54,34,34,46,12,12,13
1973/1974,1973,79,79,64,101,101,90,79,79,64,68,68,49,22,22,13
1974/1975,1974,88,88,69,145,145,101,88,88,69,45,45,51,7,7,12
1975/1976,1975,62,62,66,77,77,87,62,62,66,52,52,53,9,9,12
1976/1977,1976,52,52,60,55,55,69,52,52,60,52,52,56,12,12,12
1977/1978,1977,55,55,59,64,64,60,55,55,59,51,51,61,19,19,13
1978/1979,1978,59,59,62,32,32,64,59,59,62,90,90,66,6,6,14
1979/1980,1979,67,67,71,88,88,83,67,67,71,55,55,66,19,19,15
1980/1981,1980,85,85,82,113,113,113,85,85,82,68,68,66,17,17,16
1981/1982,1981,106,106,89,163,163,135,106,106,89,69,69,66,16,16,17
1982/1983,1982,89,89,87,143,143,121,89,89,87,56,56,69,16,16,18
1983/1984,1983,71,71,81,68,68,91,71,71,81,78,78,77,24,24,19
1984/1985,1984,73,73,77,59,59,71,73,73,77,91,91,87,17,17,20
1985/1986,1985,75,75,78,60,60,65,75,75,78,93,93,96,19,19,23
1986/1987,1986,93,93,82,72,72,68,93,93,82,118,118,100,26,26,27
1987/1988,1987,81,81,85,83,83,76,81,81,85,85,85,98,35,35,31
1988/1989,1988,87,87,89,79,79,85,87,87,89,100,100,98,38,38,32
1989/1990,1989,86,86,96,94,94,96,86,86,96,88,88,103,21,21,32
1990/1991,1990,119,119,104,119,119,106,119,119,104,129,129,111,37,37,33
1991/1992,1991,106,106,108,107,107,108,106,106,108,115,115,116,31,31,33
1992/1993,1992,111,111,109,105,105,108,111,111,109,125,125,120,38,38,32
1993/1994,1993,107,107,113,98,98,110,107,107,113,124,124,126,33,33,32
1994/1995,1994,105,105,125,123,123,115,105,105,125,103,103,143,17,17,33
1995/1996,1995,157,157,144,119,119,116,158,158,144,199,199,178,48,48,38
1996/1997,1996,177,177,152,117,117,110,177,177,152,238,238,198,51,51,43
1997/1998,1997,125,125,138,97,97,98,125,125,138,158,158,182,38,38,45
1998/1999,1998,114,114,123,78,78,88,114,114,123,152,152,159,43,43,49
1999/2000,1999,120,120,113,84,84,84,120,120,113,157,157,142,62,62,55
2000/2001,2000,92,92,106,79,79,84,92,92,106,105,105,129,60,60,56
2001/2002,2001,115,115,104,101,101,83,115,115,104,135,135,127,61,61,50
2002/2003,2002,99,99,101,75,75,78,99,99,101,126,126,127,25,25,42
2003/2004,2003,97,97,97,67,67,72,97,97,97,129,129,124,38,38,43
2004/2005,2004,92,92,93,60,60,70,92,92,93,124,124,118,54,54,49
2005/2006,2005,94,94,89,81,81,71,94,94,89,108,108,109,72,72,53
2006/2007,2006,82,82,87,69,69,71,82,82,87,97,97,103,40,40,51
2007/2008,2007,86,86,88,76,76,71,86,86,88,98,98,105,44,44,52
2008/2009,2008,93,93,93,64,64,71,93,93,93,119,119,114,63,63,63
2009/2010,2009,96,96,101,71,71,73,96,96,101,118,118,126,78,78,80
2010/2011,2010,123,123,108,82,82,77,123,123,108,155,155,135,110,110,90
2011/2012,2011,103,103,110,78,78,83,103,103,110,125,125,134,75,75,82
2012/2013,2012,111,111,109,88,88,91,111,111,109,133,133,126,65,65,73
2013/2014,2013,104,104,107,103,103,99,104,104,107,109,109,117,71,71,69
2014/2015,2014,114,114,104,113,113,102,114,114,104,119,119,109,75,75,68
2015/2016,2015,86,86,100,93,93,99,86,86,100,85,85,105,59,59,67
2016/2017,2016,104,104,101,92,92,96,104,104,101,116,116,108,73,73,71
2017/2018,2017,101,101,104,90,90,96,101,101,104,113,113,112,78,78,80
2018/2019,2018,116,116,106,110,110,100,116,116,106,123,123,113,96,96,91
2019/2020,2019,100,100,105,100,100,103,100,100,105,100,100,107,100,100,102
