Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,46,46,44,,,,133,133,131,46,46,45,2,2,2,1,,2
1967/1968,1967,43,43,42,,,,125,125,121,43,43,42,2,,2,1,1,4
1968/1969,1968,36,36,40,,,,104,104,114,36,36,40,2,,2,0,0,7
1969/1970,1969,37,37,40,,,,106,106,113,37,37,40,2,,3,16,,13
1970/1971,1970,47,47,42,,,,134,134,116,48,48,42,3,3,3,35,,21
1971/1972,1971,39,39,44,,,,105,105,120,40,40,44,6,,4,28,,26
1972/1973,1972,49,49,46,,,,133,133,125,50,50,47,6,,6,32,,27
1973/1974,1973,43,43,49,,,,115,115,129,44,44,49,7,,7,15,,27
1974/1975,1974,60,60,50,,,,157,157,132,61,61,51,9,9,8,25,,28
1975/1976,1975,50,50,50,,,,128,128,127,50,50,50,9,9,9,29,,33
1976/1977,1976,42,42,49,,,,100,100,120,42,42,49,11,11,11,27,27,42
1977/1978,1977,52,52,49,,,,131,131,121,53,53,50,11,11,12,79,79,52
1978/1979,1978,51,51,52,,,,121,121,127,51,51,53,14,14,13,60,60,53
1979/1980,1979,52,52,57,,,,128,128,140,52,52,58,13,13,15,40,,48
1980/1981,1980,70,70,64,,,,174,174,159,71,71,65,18,18,17,26,,43
1981/1982,1981,74,74,69,,,,181,181,170,75,75,70,20,20,19,61,61,41
1982/1983,1982,70,70,72,,,,169,169,172,70,70,72,19,19,20,34,34,37
1983/1984,1983,72,72,74,,,,170,170,174,73,73,75,22,22,22,25,25,36
1984/1985,1984,71,71,79,,,,160,160,182,71,71,79,24,24,25,49,49,37
1985/1986,1985,97,97,86,,,,233,233,198,98,98,86,26,26,28,25,25,40
1986/1987,1986,80,80,93,,,,168,168,212,80,80,93,33,33,31,51,51,48
1987/1988,1987,107,107,99,,,,253,253,228,108,108,100,33,33,34,60,60,58
1988/1989,1988,107,107,98,42,42,48,246,246,224,108,108,99,37,37,35,67,67,68
1989/1990,1989,85,85,91,50,50,59,183,183,199,85,85,91,34,34,35,81,81,73
1990/1991,1990,84,84,82,98,98,69,184,184,174,84,84,82,32,32,34,76,76,70
1991/1992,1991,65,65,77,62,62,68,118,118,158,65,65,77,38,38,35,58,58,62
1992/1993,1992,83,83,76,60,60,63,182,182,155,83,83,76,32,32,35,43,43,57
1993/1994,1993,77,77,75,51,51,58,155,155,148,77,77,75,37,37,37,70,70,57
1994/1995,1994,73,73,73,59,59,56,132,132,135,73,73,73,42,42,41,51,51,60
1995/1996,1995,69,69,72,49,49,57,117,117,125,69,69,72,45,45,45,56,56,67
1996/1997,1996,75,75,72,69,69,62,119,119,118,75,75,73,49,49,48,110,110,75
1997/1998,1997,72,72,73,71,71,69,116,116,115,72,72,73,49,49,50,70,70,76
1998/1999,1998,73,73,74,70,70,80,115,115,112,73,73,74,52,52,53,44,44,83
1999/2000,1999,75,75,76,109,109,99,102,102,109,74,74,75,58,58,57,131,131,107
2000/2001,2000,80,80,78,99,99,127,118,118,106,80,80,77,59,59,60,137,137,132
2001/2002,2001,76,76,79,179,179,164,92,92,103,75,75,78,63,63,63,150,150,151
2002/2003,2002,83,83,80,218,218,185,106,106,101,82,82,79,67,67,66,164,164,164
2003/2004,2003,79,79,80,157,157,172,98,98,99,78,78,79,66,66,67,160,160,175
2004/2005,2004,79,79,80,146,146,153,93,93,97,79,79,79,68,68,67,208,208,183
2005/2006,2005,82,82,81,136,136,143,109,109,96,82,82,80,66,66,68,164,164,174
2006/2007,2006,80,80,82,136,136,145,86,86,95,80,80,81,73,73,72,165,165,162
2007/2008,2007,82,82,85,176,176,151,89,89,97,81,81,84,74,74,75,139,139,153
2008/2009,2008,93,93,90,144,144,150,112,112,103,93,93,89,80,80,80,168,168,149
2009/2010,2009,93,93,94,135,135,150,105,105,108,93,93,93,85,85,84,130,130,145
2010/2011,2010,91,91,98,156,156,157,103,103,113,91,91,97,82,82,87,142,142,147
2011/2012,2011,111,111,100,168,168,158,130,130,114,110,110,99,98,98,89,173,173,148
2012/2013,2012,95,95,97,160,160,142,115,115,106,94,94,96,82,82,88,124,124,138
2013/2014,2013,88,88,92,110,110,114,86,86,94,88,88,92,88,88,89,131,131,132
2014/2015,2014,90,90,90,79,79,92,78,78,84,90,90,90,94,94,92,126,126,131
2015/2016,2015,89,89,89,80,80,83,79,79,79,90,90,89,93,93,94,143,143,135
2016/2017,2016,90,90,90,81,81,85,77,77,79,90,90,90,96,96,95,127,127,138
2017/2018,2017,91,91,93,90,90,93,78,78,84,91,91,93,96,96,96,146,146,139
2018/2019,2018,98,98,96,125,125,104,100,100,92,98,98,96,96,96,97,141,141,129
2019/2020,2019,100,100,100,100,100,110,100,100,101,100,100,100,100,100,100,100,100,110
