Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,63,63,60,,,,88,88,84,70,70,66,44,44,41,72,,77
1967/1968,1967,58,58,66,,,,80,80,92,63,63,72,39,39,44,74,,84
1968/1969,1968,81,81,73,,,,114,114,102,88,88,79,53,53,48,112,,88
1969/1970,1969,75,75,79,,,,108,108,112,83,83,87,50,50,53,83,,84
1970/1971,1970,82,82,87,,,,117,117,124,90,90,95,57,57,59,72,72,75
1971/1972,1971,98,98,94,,,,141,141,135,108,108,103,67,67,65,70,70,68
1972/1973,1972,100,100,98,,,,145,145,140,109,109,108,67,67,70,44,44,64
1973/1974,1973,102,102,97,,,,140,140,136,112,112,107,78,78,73,80,80,66
1974/1975,1974,94,94,93,,,,125,125,125,103,103,102,75,75,73,69,,73
1975/1976,1975,81,81,87,,,,104,104,114,88,88,95,69,69,71,56,56,83
1976/1977,1976,83,83,82,,,,110,110,107,91,91,91,64,64,69,142,142,97
1977/1978,1977,83,83,80,,,,107,107,103,92,92,89,71,71,71,89,,101
1978/1979,1978,78,78,80,,,,92,92,101,85,85,90,75,75,75,107,107,102
1979/1980,1979,82,82,84,,,,102,102,101,90,90,93,74,74,81,83,83,104
1980/1981,1980,96,96,94,,,,109,109,100,105,105,97,98,98,90,116,,111
1981/1982,1981,91,91,109,,,,92,92,98,100,100,98,106,106,97,134,134,120
1982/1983,1982,145,145,131,,,,97,97,94,94,94,98,90,90,100,118,118,126
1983/1984,1983,163,,151,,,,97,97,91,99,99,98,100,100,105,130,,133
1984/1985,1984,173,,162,,,,79,79,89,100,100,100,122,122,111,135,,141
1985/1986,1985,136,136,169,,,,92,92,92,99,99,103,104,104,115,158,158,149
1986/1987,1986,192,192,182,,,,96,96,98,114,114,109,133,133,119,166,166,150
1987/1988,1987,209,209,196,,,,112,112,106,113,113,114,114,114,121,125,125,144
1988/1989,1988,204,204,203,1051,1051,985,109,109,115,118,118,120,125,125,124,145,145,142
1989/1990,1989,183,183,211,811,811,997,122,122,125,121,121,128,119,119,130,126,126,146
1990/1991,1990,248,248,224,1225,1225,1088,144,144,135,149,149,137,151,151,138,184,184,153
1991/1992,1991,223,223,229,1080,1080,1108,136,136,141,137,137,142,137,137,143,148,148,152
1992/1993,1992,238,238,225,1122,1122,1030,149,149,142,149,149,144,149,149,146,133,133,150
1993/1994,1993,204,204,213,803,803,893,140,140,141,145,145,145,148,148,147,163,163,155
1994/1995,1994,194,194,206,747,747,809,134,134,141,139,139,146,143,143,149,154,154,162
1995/1996,1995,218,218,206,906,906,762,138,138,146,150,150,152,155,155,154,181,181,167
1996/1997,1996,203,203,205,638,638,692,159,159,154,162,162,157,164,164,159,172,172,163
1997/1998,1997,202,202,203,590,590,664,174,174,156,165,165,158,156,156,161,142,142,155
1998/1999,1998,199,199,202,729,729,697,134,134,146,146,146,152,162,162,160,138,138,153
1999/2000,1999,200,200,198,695,695,742,136,136,135,151,151,144,167,167,155,177,177,156
2000/2001,2000,196,196,189,866,866,739,123,123,124,128,128,135,132,132,147,151,151,154
2001/2002,2001,178,178,174,674,674,631,112,112,115,126,126,128,142,142,144,143,143,148
2002/2003,2002,149,149,160,368,368,509,109,109,108,129,129,124,151,151,143,151,151,142
2003/2004,2003,147,147,150,454,454,452,100,100,103,116,116,120,135,135,139,126,126,134
2004/2005,2004,152,152,144,466,466,426,103,103,99,119,119,115,138,138,134,134,134,126
2005/2006,2005,140,140,137,430,430,399,93,93,95,110,110,110,132,132,128,118,118,118
2006/2007,2006,119,119,130,297,297,370,91,91,91,101,101,105,113,113,121,106,106,112
2007/2008,2007,132,132,125,408,408,353,89,89,88,104,104,102,121,121,118,113,113,109
2008/2009,2008,122,122,122,320,320,331,86,86,85,101,101,100,119,119,117,107,107,109
2009/2010,2009,111,111,119,266,266,309,81,81,85,95,95,100,112,112,117,101,101,111
2010/2011,2010,123,123,118,327,327,285,83,83,86,102,102,101,122,122,118,129,129,116
2011/2012,2011,120,120,115,285,285,246,97,97,89,103,103,101,112,112,116,109,109,117
2012/2013,2012,110,110,110,182,182,199,84,84,91,103,103,101,125,125,112,130,130,114
2013/2014,2013,96,96,104,111,111,162,92,92,93,95,95,98,99,99,104,97,97,105
2014/2015,2014,103,103,100,180,180,139,99,99,95,95,95,96,90,90,97,96,96,97
2015/2016,2015,100,100,96,105,105,120,102,102,93,99,99,93,96,96,93,86,86,92
2016/2017,2016,93,93,91,116,116,107,84,84,89,90,90,90,96,96,90,97,97,89
2017/2018,2017,82,82,89,77,77,99,82,82,86,83,83,88,83,83,89,88,88,88
2018/2019,2018,86,86,90,103,103,95,81,81,88,84,84,89,87,87,91,78,78,89
2019/2020,2019,100,100,94,100,100,93,100,100,93,100,100,94,100,100,96,100,100,93
