Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1974/1975,1974,38,38,38,,,,244,244,249,37,37,37,28,28,29,169,169,148
1975/1976,1975,34,34,34,,,,255,255,230,33,33,33,26,26,26,85,85,130
1976/1977,1976,28,28,32,,,,149,149,212,27,27,29,23,23,24,150,150,127
1977/1978,1977,34,34,29,,,,272,,201,32,32,27,25,25,22,132,132,124
1978/1979,1978,25,25,26,,,,114,,174,21,,24,18,,19,109,,113
1979/1980,1979,23,23,24,,,,211,,143,22,22,22,16,16,17,100,100,102
1980/1981,1980,23,23,23,,,,93,,105,19,19,20,15,15,16,91,91,91
1981/1982,1981,20,20,22,,,,40,40,80,18,18,19,16,16,16,84,84,80
1982/1983,1982,23,23,22,,,,54,54,72,20,20,19,18,18,16,64,64,72
1983/1984,1983,23,23,22,,,,115,115,72,21,21,19,18,18,17,62,62,66
1984/1985,1984,28,28,23,,,,85,85,67,24,24,19,20,20,17,80,80,61
1985/1986,1985,21,21,24,,,,31,31,62,17,17,20,15,15,18,52,52,55
1986/1987,1986,20,20,27,,,,65,65,64,15,15,22,13,13,20,30,30,52
1987/1988,1987,33,33,34,,,,73,73,74,27,27,28,25,25,26,73,73,54
1988/1989,1988,43,43,44,158,158,169,75,75,94,36,36,37,36,36,35,35,35,58
1989/1990,1989,72,72,56,210,210,178,136,136,126,64,64,48,61,61,46,121,121,65
1990/1991,1990,54,54,64,138,138,182,178,178,160,49,49,56,46,46,53,31,31,71
1991/1992,1991,65,65,72,214,214,189,201,201,180,55,55,65,52,52,61,38,38,92
1992/1993,1992,98,98,82,228,228,188,170,170,186,90,90,75,84,84,71,229,229,135
1993/1994,1993,69,69,90,121,121,183,156,156,201,65,65,84,62,62,79,99,99,176
1994/1995,1994,119,119,98,199,199,200,267,267,233,115,115,92,106,106,85,270,270,220
1995/1996,1995,102,102,100,240,240,230,288,288,253,93,93,92,85,85,84,184,184,228
1996/1997,1996,75,75,102,286,286,248,165,165,256,61,61,93,53,53,86,281,281,187
1997/1998,1997,135,135,111,209,209,237,344,344,264,130,130,103,126,126,99,81,81,112
1998/1999,1998,107,107,115,229,229,218,243,243,233,100,100,109,98,98,107,40,40,69
1999/2000,1999,119,119,114,208,208,197,158,158,193,114,114,109,115,115,109,32,32,57
2000/2001,2000,107,107,108,155,155,183,169,169,177,105,105,104,105,105,104,78,78,63
2001/2002,2001,106,106,104,185,185,188,170,170,186,101,101,99,100,100,98,104,104,81
2002/2003,2002,97,97,105,220,220,205,223,223,210,89,89,100,87,87,96,71,71,115
2003/2004,2003,110,110,119,212,212,225,259,259,227,104,104,113,99,99,108,159,159,186
2004/2005,2004,150,150,141,237,237,245,198,198,222,145,145,134,137,137,129,390,390,280
2005/2006,2005,158,158,152,284,284,253,198,198,213,150,150,146,148,148,141,219,219,296
2006/2007,2006,149,149,143,222,222,230,220,220,199,144,144,138,138,138,133,299,299,271
2007/2008,2007,109,109,120,180,180,192,199,199,169,105,105,116,100,100,113,217,217,207
2008/2009,2008,110,110,99,192,192,151,102,102,135,105,105,95,104,104,94,167,167,135
2009/2010,2009,78,78,80,93,93,115,130,130,118,77,77,78,77,77,77,42,42,90
2010/2011,2010,56,56,70,61,61,98,47,47,118,56,56,68,58,58,67,33,33,83
2011/2012,2011,73,73,71,105,105,98,215,215,135,71,71,70,65,65,67,137,137,104
2012/2013,2012,78,78,80,122,122,105,127,127,143,75,75,78,71,71,75,163,163,132
2013/2014,2013,100,100,90,102,102,110,137,137,146,100,100,89,99,99,86,146,146,146
2014/2015,2014,89,89,97,136,136,111,151,151,152,86,86,96,84,84,93,111,111,153
2015/2016,2015,106,106,98,93,93,105,142,142,158,107,107,98,104,104,95,191,191,164
2016/2017,2016,103,103,92,90,90,100,197,197,157,103,103,91,99,99,88,179,179,157
2017/2018,2017,65,65,84,104,104,97,122,122,140,62,62,83,59,59,80,113,113,132
2018/2019,2018,84,84,85,90,90,96,119,119,120,83,83,84,82,82,83,102,102,110
2019/2020,2019,100,100,94,100,100,96,100,100,102,100,100,94,100,100,94,100,100,95
