Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1974/1975,1974,52,52,50,,,,59,59,67,52,52,50,49,49,47,219,219,215
1975/1976,1975,49,49,50,,,,86,86,85,49,49,50,46,46,47,242,242,232
1976/1977,1976,54,54,51,,,,119,119,105,54,54,51,51,51,47,250,250,258
1977/1978,1977,46,46,54,,,,116,,122,45,45,53,43,43,50,208,208,310
1978/1979,1978,56,56,59,,,,129,129,135,56,56,59,51,51,55,505,505,383
1979/1980,1979,69,69,67,,,,147,147,145,69,69,67,61,61,62,431,431,362
1980/1981,1980,86,86,75,,,,172,172,148,86,86,74,84,84,70,152,152,283
1981/1982,1981,77,77,79,,,,130,,145,77,77,79,72,72,75,304,304,248
1982/1983,1982,80,80,84,,,,130,130,147,79,79,83,76,76,79,217,217,237
1983/1984,1983,85,85,89,,,,156,156,157,85,85,89,81,81,85,225,225,255
1984/1985,1984,103,103,98,,,,186,186,170,103,103,97,98,98,93,298,298,309
1985/1986,1985,108,108,108,,,,175,175,177,108,108,108,101,101,102,419,419,369
1986/1987,1986,112,112,121,,,,195,195,179,112,112,120,105,105,115,425,425,375
1987/1988,1987,140,140,136,,,,143,143,178,140,140,136,139,139,132,252,252,339
1988/1989,1988,163,163,150,274,274,257,219,219,183,162,162,150,158,158,146,350,350,328
1989/1990,1989,146,146,158,210,210,234,158,158,189,145,145,157,143,143,154,269,269,327
1990/1991,1990,168,168,166,257,257,224,233,233,202,167,167,166,162,162,162,462,462,307
1991/1992,1991,181,181,174,217,217,227,212,212,222,181,181,174,179,179,171,159,159,235
1992/1993,1992,170,170,182,178,178,265,210,210,262,170,170,182,168,168,179,132,132,192
1993/1994,1993,192,192,195,371,371,360,361,361,336,192,192,194,186,186,190,230,230,182
1994/1995,1994,224,224,206,607,607,464,450,450,400,223,223,205,218,218,200,171,171,175
1995/1996,1995,193,193,206,370,370,497,388,388,410,193,193,205,188,188,200,172,172,168
1996/1997,1996,205,205,201,574,574,511,377,377,397,204,204,200,199,199,196,171,171,160
1997/1998,1997,197,197,192,466,466,485,401,401,380,197,197,191,192,192,187,124,124,154
1998/1999,1998,175,175,180,462,462,438,348,348,353,174,174,180,170,170,176,173,173,157
1999/2000,1999,168,168,172,377,377,386,315,315,329,167,167,171,163,163,167,158,158,163
2000/2001,2000,167,167,166,296,296,360,301,301,312,167,167,165,163,163,161,179,179,169
2001/2002,2001,167,167,159,395,395,363,320,320,292,166,166,158,162,162,154,155,155,173
2002/2003,2002,147,147,148,408,408,349,284,284,252,147,147,148,142,142,144,200,200,175
2003/2004,2003,136,136,139,284,284,307,166,166,212,136,136,139,134,134,136,168,168,171
2004/2005,2004,129,129,136,239,239,273,190,190,198,129,129,135,127,127,133,158,158,165
2005/2006,2005,141,141,138,261,261,262,206,206,210,140,140,138,138,138,135,150,150,165
2006/2007,2006,136,136,143,253,253,262,226,226,235,136,136,142,133,133,139,172,172,171
2007/2008,2007,160,160,147,308,308,256,286,286,255,160,160,146,155,155,142,191,191,176
2008/2009,2008,141,141,144,178,178,230,282,282,246,141,141,143,136,136,140,192,192,170
2009/2010,2009,137,137,137,279,279,198,166,166,216,137,137,137,136,136,134,117,117,159
2010/2011,2010,129,129,131,99,99,159,196,196,198,129,129,131,127,127,129,167,167,154
2011/2012,2011,123,123,128,108,108,136,196,196,189,123,123,128,120,120,125,147,147,149
2012/2013,2012,125,125,126,189,189,123,198,198,179,125,125,126,122,122,124,162,162,139
2013/2014,2013,142,142,123,89,89,111,153,153,166,142,142,123,142,142,122,112,112,125
2014/2015,2014,105,105,117,100,100,106,145,145,157,105,105,117,103,103,116,104,104,114
2015/2016,2015,98,98,116,58,58,113,142,142,153,98,98,116,96,96,114,91,91,109
2016/2017,2016,137,137,119,136,136,135,197,197,144,137,137,119,135,135,118,146,146,106
2017/2018,2017,124,124,118,241,241,153,100,100,124,123,123,118,124,124,117,94,94,98
2018/2019,2018,105,105,110,130,130,145,92,92,105,105,105,110,105,105,110,62,62,90
2019/2020,2019,100,100,101,100,100,124,100,100,92,100,100,101,100,100,101,100,100,86
