Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,2,2,1,,,,42,,37,2,2,1,2,2,1,1,,2
1967/1968,1967,2,,2,,,,9,9,18,2,,2,2,,1,1,1,4
1968/1969,1968,1,,2,,,,14,14,13,1,,2,1,,2,0,0,7
1969/1970,1969,2,,2,,,,15,,11,2,,2,1,1,2,16,,13
1970/1971,1970,3,3,3,,,,6,6,8,3,3,3,2,2,2,35,,21
1971/1972,1971,4,4,3,,,,7,7,6,4,4,3,4,4,3,28,,26
1972/1973,1972,4,4,4,,,,4,4,5,4,4,4,4,4,4,32,,27
1973/1974,1973,4,4,5,,,,4,4,4,5,5,5,4,4,5,15,,27
1974/1975,1974,6,6,6,,,,4,4,4,6,6,6,6,6,6,25,,28
1975/1976,1975,7,7,7,,,,6,6,5,7,7,7,7,7,7,29,,33
1976/1977,1976,9,9,9,,,,4,4,6,10,10,9,9,9,8,27,27,42
1977/1978,1977,10,10,10,,,,8,8,6,10,10,11,9,9,10,79,79,52
1978/1979,1978,14,14,12,,,,4,4,5,14,14,13,13,13,12,60,60,53
1979/1980,1979,13,13,14,,,,5,5,3,13,13,14,12,12,14,40,,48
1980/1981,1980,17,17,16,,,,2,2,2,18,18,16,18,18,16,26,,43
1981/1982,1981,19,19,18,,,,0,0,1,20,20,18,19,19,18,61,61,41
1982/1983,1982,18,18,19,,,,1,1,1,18,18,20,18,18,20,34,34,37
1983/1984,1983,21,21,21,,,,1,1,1,21,21,21,21,21,21,25,25,36
1984/1985,1984,23,23,24,,,,1,1,1,23,23,23,23,23,24,49,49,37
1985/1986,1985,25,25,27,,,,2,2,1,25,25,26,25,25,27,25,25,40
1986/1987,1986,33,33,30,,,,1,1,1,32,32,30,33,33,30,51,51,48
1987/1988,1987,32,32,33,,,,0,0,1,32,32,32,32,32,32,60,60,58
1988/1989,1988,36,36,34,,,,0,0,1,36,36,34,36,36,34,67,67,68
1989/1990,1989,34,34,35,,,,1,1,1,34,34,34,33,33,34,81,81,73
1990/1991,1990,33,33,34,,,,1,1,1,32,32,34,32,32,34,76,76,70
1991/1992,1991,37,37,35,,,,0,0,1,37,37,34,37,37,34,58,58,62
1992/1993,1992,32,32,35,,,,2,2,1,31,31,35,31,31,35,43,43,57
1993/1994,1993,37,37,37,,,,0,0,1,37,37,37,37,37,37,70,70,57
1994/1995,1994,42,42,41,,,,1,1,1,42,42,41,43,43,41,51,51,60
1995/1996,1995,44,44,44,,,,0,0,2,44,44,44,45,45,44,56,56,67
1996/1997,1996,49,49,47,,,,1,1,3,48,48,47,48,48,47,110,110,75
1997/1998,1997,48,48,49,,,,12,,4,48,48,49,48,48,49,70,70,76
1998/1999,1998,50,50,52,,,,0,,6,50,50,52,51,51,52,44,44,83
1999/2000,1999,59,59,56,,,,0,0,10,58,58,56,58,58,56,131,131,107
2000/2001,2000,59,59,61,,,,31,31,21,58,58,59,57,57,59,137,137,132
2001/2002,2001,66,66,65,,,,33,33,21,63,63,63,62,62,62,150,150,151
2002/2003,2002,69,69,68,,,,0,0,12,66,66,65,66,66,64,164,164,164
2003/2004,2003,68,68,69,,,,8,,8,66,66,67,65,65,66,160,160,175
2004/2005,2004,70,70,69,,,,7,7,9,69,69,68,67,67,66,208,208,183
2005/2006,2005,67,67,70,,,,15,15,12,66,66,69,65,65,68,164,164,174
2006/2007,2006,74,74,73,,,,12,,18,73,73,71,72,72,71,165,165,162
2007/2008,2007,76,76,76,,,,33,,26,74,74,75,73,73,74,139,139,153
2008/2009,2008,81,81,81,,,,30,,28,80,80,80,79,79,79,168,168,149
2009/2010,2009,86,86,85,,,,19,19,25,85,85,84,85,85,84,130,130,145
2010/2011,2010,84,84,89,158,158,166,29,29,25,83,83,87,82,82,87,142,142,147
2011/2012,2011,100,100,91,173,173,166,27,27,27,99,99,90,99,99,90,173,173,148
2012/2013,2012,84,84,90,160,160,148,25,25,35,82,82,89,82,82,89,124,124,138
2013/2014,2013,89,89,90,114,114,116,59,59,49,89,89,89,88,88,89,131,131,132
2014/2015,2014,94,94,92,82,82,92,53,53,43,94,94,92,94,94,92,126,126,131
2015/2016,2015,92,92,93,81,81,83,15,15,25,92,92,93,92,92,94,143,143,135
2016/2017,2016,95,95,95,85,85,86,14,14,21,95,95,95,95,95,95,127,127,138
2017/2018,2017,97,97,96,91,91,96,44,44,29,97,97,96,97,97,96,146,146,139
2018/2019,2018,97,97,98,126,126,108,28,28,42,96,96,98,96,96,98,141,141,129
2019/2020,2019,100,100,100,100,100,109,100,100,94,100,100,100,100,100,100,100,100,110
