Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn
1974/1975,1974,151,151,143,71,71,,153,153,145,161,161,154
1975/1976,1975,109,109,118,24,24,,109,109,119,119,119,126
1976/1977,1976,94,94,102,81,81,,94,94,103,94,94,108
1977/1978,1977,128,128,93,43,43,,129,129,94,135,135,98
1978/1979,1978,44,44,86,14,14,,44,44,87,48,48,89
1979/1980,1979,84,84,89,19,,,88,,91,99,,90
1980/1981,1980,131,131,96,481,481,,132,132,97,100,100,92
1981/1982,1981,84,84,96,14,14,,84,84,97,98,98,91
1982/1983,1982,86,86,94,152,152,,85,85,93,77,77,85
1983/1984,1983,96,96,89,176,176,,94,94,88,80,80,77
1984/1985,1984,87,87,80,129,129,,88,88,79,72,72,67
1985/1986,1985,88,88,69,138,138,,86,86,68,71,71,58
1986/1987,1986,35,35,61,24,24,,34,34,59,31,31,52
1987/1988,1987,40,40,63,43,43,,40,40,61,35,35,55
1988/1989,1988,91,91,76,10,10,,89,89,73,88,88,68
1989/1990,1989,84,84,97,24,24,,74,74,93,66,66,88
1990/1991,1990,159,159,119,38,38,,161,161,116,155,155,110
1991/1992,1991,116,116,130,133,133,,116,116,129,108,108,122
1992/1993,1992,118,118,139,52,52,,119,119,139,107,107,132
1993/1994,1993,165,165,152,76,76,,162,162,152,163,163,148
1994/1995,1994,155,155,162,90,90,,156,156,162,157,157,157
1995/1996,1995,188,188,163,171,171,,189,189,164,172,172,155
1996/1997,1996,146,146,154,124,124,,145,145,154,139,139,141
1997/1998,1997,136,136,149,233,233,,134,134,147,116,116,131
1998/1999,1998,160,160,156,238,238,,156,156,154,131,131,135
1999/2000,1999,174,174,176,200,200,,173,173,174,160,160,152
2000/2001,2000,174,174,210,376,376,,174,174,209,141,141,181
2001/2002,2001,304,304,252,476,476,,303,303,252,270,270,219
2002/2003,2002,280,280,255,500,500,,281,281,255,246,246,224
2003/2004,2003,155,155,232,324,324,,156,156,233,133,133,209
2004/2005,2004,285,285,225,338,338,,287,287,227,270,270,208
2005/2006,2005,191,191,207,214,214,,191,191,209,177,177,194
2006/2007,2006,165,165,192,252,252,,166,166,194,155,155,179
2007/2008,2007,201,201,184,286,286,,206,206,186,188,188,171
2008/2009,2008,188,188,163,290,290,,188,188,163,167,167,151
2009/2010,2009,142,142,130,67,67,,139,139,129,138,138,122
2010/2011,2010,56,56,107,33,33,,56,56,106,56,56,100
2011/2012,2011,106,106,107,148,148,,106,106,107,97,97,98
2012/2013,2012,140,140,121,176,176,,140,140,121,128,128,108
2013/2014,2013,131,131,138,243,243,,131,131,138,113,113,118
2014/2015,2014,151,151,154,395,395,,152,152,154,118,118,129
2015/2016,2015,173,173,160,395,395,,174,174,161,146,146,137
2016/2017,2016,158,158,147,195,195,,158,158,148,149,149,133
2017/2018,2017,123,123,123,100,100,,123,123,123,120,120,116
2018/2019,2018,74,74,101,81,81,,74,74,101,70,70,98
2019/2020,2019,100,100,88,100,100,,100,100,88,100,100,88
