Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1974/1975,1974,81,81,81,,,,95,95,96,76,76,77,73,73,75,140,140,123
1975/1976,1975,77,77,77,,,,88,88,111,74,74,73,76,76,72,69,69,106
1976/1977,1976,77,77,72,,,,162,162,122,75,75,70,70,70,68,135,135,104
1977/1978,1977,60,60,69,,,,96,,109,58,58,67,56,56,65,73,73,104
1978/1979,1978,71,,68,,,,103,,88,69,,66,66,,65,131,131,108
1979/1980,1979,71,71,69,,,,43,,70,69,69,67,70,70,67,118,118,101
1980/1981,1980,72,72,70,,,,61,,63,71,71,68,72,72,68,65,65,88
1981/1982,1981,68,68,70,,,,79,,62,65,65,68,64,64,69,80,80,83
1982/1983,1982,70,70,72,,,,50,50,60,70,70,70,71,71,71,86,86,87
1983/1984,1983,77,77,75,,,,58,58,59,76,76,73,76,76,74,104,104,94
1984/1985,1984,75,75,80,,,,64,64,59,71,71,78,71,71,78,86,86,98
1985/1986,1985,93,93,85,,,,70,70,59,90,90,83,91,91,84,99,99,101
1986/1987,1986,84,84,88,,,,38,38,58,83,83,87,84,84,88,120,120,95
1987/1988,1987,92,92,89,,,,64,64,63,93,93,89,95,95,91,78,78,75
1988/1989,1988,89,89,90,35,35,52,78,78,72,89,89,90,91,91,91,34,34,58
1989/1990,1989,86,86,91,103,103,76,85,85,78,85,85,91,86,86,92,46,46,49
1990/1991,1990,97,97,95,83,83,96,79,79,79,97,97,94,99,99,96,77,77,45
1991/1992,1991,95,95,97,139,139,110,79,79,82,94,94,97,96,96,99,18,18,41
1992/1993,1992,108,108,98,75,75,118,69,69,91,108,108,98,112,112,98,24,24,44
1993/1994,1993,87,87,95,163,163,140,134,134,108,86,86,94,82,82,93,77,77,54
1994/1995,1994,93,93,93,138,138,170,100,100,120,92,92,91,91,91,89,49,49,63
1995/1996,1995,93,93,91,233,233,208,151,151,128,90,90,89,87,87,87,95,95,67
1996/1997,1996,87,87,89,228,228,213,118,118,120,85,85,87,82,82,85,62,62,60
1997/1998,1997,95,95,88,171,171,178,92,92,108,93,93,86,93,93,84,25,25,54
1998/1999,1998,82,82,85,132,132,135,113,113,101,81,81,84,79,79,83,46,46,55
1999/2000,1999,74,74,85,102,102,102,89,89,95,73,73,85,71,71,84,80,80,60
2000/2001,2000,102,102,89,90,90,80,97,97,91,102,102,89,103,103,90,92,92,57
2001/2002,2001,91,91,91,43,43,70,75,75,90,91,91,91,93,93,92,17,17,49
2002/2003,2002,88,88,91,83,83,72,108,108,93,88,88,91,86,86,91,36,36,50
2003/2004,2003,88,88,91,74,74,81,81,81,92,88,88,91,88,88,91,46,46,65
2004/2005,2004,98,98,92,98,98,95,105,105,87,98,98,91,97,97,91,134,134,92
2005/2006,2005,87,87,90,133,133,105,83,83,75,86,86,90,85,85,89,117,117,110
2006/2007,2006,90,90,88,70,70,106,38,38,65,90,90,88,92,92,88,69,69,117
2007/2008,2007,81,81,86,131,131,107,68,68,64,80,80,86,78,78,86,175,175,121
2008/2009,2008,93,93,86,82,82,101,78,78,69,94,94,86,94,94,86,111,111,105
2009/2010,2009,81,81,85,127,127,89,57,57,76,81,81,85,82,82,85,47,47,90
2010/2011,2010,86,86,85,29,29,72,106,106,83,86,86,85,83,83,84,93,93,99
2011/2012,2011,81,81,84,89,89,62,84,84,82,80,80,85,78,78,83,95,95,131
2012/2013,2012,94,94,83,40,40,53,72,72,74,94,94,83,92,92,82,277,277,154
2013/2014,2013,73,73,80,51,51,48,57,57,69,73,73,80,74,74,79,51,51,114
2014/2015,2014,77,77,77,53,53,45,71,71,70,77,77,78,77,77,77,78,78,81
2015/2016,2015,75,75,77,26,26,44,70,70,73,76,76,77,76,76,77,67,67,66
2016/2017,2016,82,82,78,64,64,47,95,95,76,82,82,78,81,81,77,52,52,62
2017/2018,2017,81,81,79,49,49,52,76,76,73,81,81,79,81,81,79,73,73,67
2018/2019,2018,71,71,83,44,44,63,42,42,73,71,71,83,73,73,84,75,75,78
2019/2020,2019,100,100,93,100,100,86,100,100,83,100,100,93,100,100,93,100,100,96
