Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1974/1975,1974,62,62,63,,,,348,348,353,59,59,60,48,48,49,75,75,77
1975/1976,1975,60,60,56,,,,321,321,286,56,56,53,47,47,46,76,76,74
1976/1977,1976,48,48,50,,,,191,191,233,45,45,48,44,44,42,71,71,70
1977/1978,1977,51,51,45,,,,225,,207,48,48,43,43,43,38,62,62,66
1978/1979,1978,33,33,41,,,,124,124,199,32,32,39,28,28,35,71,71,62
1979/1980,1979,40,40,39,,,,329,329,195,39,39,38,31,31,33,52,52,59
1980/1981,1980,40,40,40,,,,107,107,162,36,36,38,33,33,33,56,,59
1981/1982,1981,42,42,42,,,,130,130,137,40,40,39,35,35,34,54,54,63
1982/1983,1982,45,45,44,,,,99,99,128,42,42,41,38,38,36,74,74,70
1983/1984,1983,49,49,47,,,,148,148,131,44,44,41,39,39,36,85,85,74
1984/1985,1984,55,55,49,,,,170,170,135,50,50,41,44,44,37,74,74,70
1985/1986,1985,49,49,51,,,,113,113,134,36,36,42,32,32,37,67,67,60
1986/1987,1986,41,41,56,,,,131,131,139,32,32,46,28,28,42,36,36,52
1987/1988,1987,70,70,70,,,,160,160,156,56,56,58,53,53,55,44,44,51
1988/1989,1988,87,87,89,404,404,409,155,155,186,76,76,77,74,74,74,52,52,57
1989/1990,1989,141,141,108,408,408,389,286,286,228,132,132,98,129,129,95,83,83,67
1990/1991,1990,97,97,118,325,325,366,202,202,262,90,90,110,86,86,106,83,83,77
1991/1992,1991,113,113,132,370,370,348,338,338,292,104,104,125,99,99,121,73,73,88
1992/1993,1992,188,188,153,392,392,311,320,320,287,181,181,147,179,179,145,120,120,103
1993/1994,1993,126,126,167,161,161,269,202,202,262,125,125,164,125,125,162,68,68,126
1994/1995,1994,220,220,180,252,252,276,275,275,257,219,219,177,215,215,174,219,219,157
1995/1996,1995,176,176,172,374,374,310,267,267,265,170,170,167,166,166,163,162,162,155
1996/1997,1996,111,111,162,320,320,323,237,237,283,103,103,156,98,98,152,107,107,128
1997/1998,1997,213,213,168,331,331,308,387,387,304,209,209,164,207,207,161,110,110,106
1998/1999,1998,141,141,167,238,238,283,263,263,289,138,138,164,136,136,162,75,75,93
1999/2000,1999,185,185,163,283,283,269,235,235,272,182,182,160,182,182,159,109,109,90
2000/2001,2000,145,145,151,254,254,259,292,292,266,142,142,147,140,140,146,79,79,89
2001/2002,2001,135,135,139,277,277,245,277,277,252,131,131,136,127,127,134,99,99,93
2002/2003,2002,132,132,136,191,191,228,197,197,232,129,129,133,129,129,131,85,85,103
2003/2004,2003,137,137,142,219,219,221,219,219,226,134,134,139,132,132,137,129,129,121
2004/2005,2004,154,154,152,230,230,217,238,238,227,152,152,150,148,148,147,150,150,138
2005/2006,2005,169,169,154,229,229,204,235,235,218,167,167,153,166,166,151,139,139,144
2006/2007,2006,138,138,143,148,148,184,185,185,195,137,137,142,136,136,140,135,135,141
2007/2008,2007,127,127,126,177,177,171,172,172,168,125,125,125,122,122,123,148,148,131
2008/2009,2008,115,115,110,185,185,159,148,148,143,113,113,108,111,111,106,118,118,114
2009/2010,2009,86,86,98,123,123,147,114,114,124,85,85,96,83,83,95,83,83,102
2010/2011,2010,97,97,94,127,127,141,97,97,113,96,96,93,96,96,91,86,86,106
2011/2012,2011,97,97,96,173,173,141,148,148,108,94,94,94,89,89,92,158,158,121
2012/2013,2012,90,90,100,116,116,139,71,71,104,89,89,99,88,88,97,106,106,132
2013/2014,2013,127,127,106,138,138,139,102,102,106,126,126,105,124,124,102,167,167,141
2014/2015,2014,95,95,106,157,157,137,125,125,112,93,93,105,90,90,102,123,123,140
2015/2016,2015,99,99,106,113,113,132,106,106,118,98,98,105,95,95,103,133,133,138
2016/2017,2016,130,130,106,140,140,125,156,156,119,130,130,105,127,127,103,156,156,131
2017/2018,2017,76,76,101,107,107,117,76,76,113,75,75,100,73,73,99,98,98,116
2018/2019,2018,110,110,100,113,113,109,125,125,109,110,110,100,109,109,99,105,105,105
2019/2020,2019,100,100,101,100,100,101,100,100,104,100,100,101,100,100,101,100,100,97
