Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,148,148,146,,,,277,277,276,158,158,156,138,138,135,72,72,72
1967/1968,1967,146,146,147,,,,272,272,267,156,156,158,135,135,139,80,80,82
1968/1969,1968,145,145,151,,,,251,251,259,155,155,162,138,138,144,93,,92
1969/1970,1969,155,155,157,,,,247,247,256,166,166,168,153,153,153,99,99,100
1970/1971,1970,174,174,161,,,,268,268,255,186,186,172,174,174,159,115,115,106
1971/1972,1971,153,153,160,,,,247,247,249,164,164,171,150,150,159,103,103,107
1972/1973,1972,159,159,157,,,,240,240,237,170,170,168,160,160,158,101,101,105
1973/1974,1973,153,153,153,,,,216,216,222,164,164,164,157,157,156,116,116,103
1974/1975,1974,149,149,149,,,,217,217,207,160,160,160,152,152,154,85,85,100
1975/1976,1975,146,146,147,,,,193,193,193,157,157,157,152,152,154,110,110,100
1976/1977,1976,145,145,147,,,,172,172,183,156,156,158,156,156,157,96,96,102
1977/1978,1977,148,148,152,,,,182,182,183,158,158,163,158,158,163,101,101,109
1978/1979,1978,164,164,160,,,,184,184,190,176,176,172,178,178,173,130,130,118
1979/1980,1979,169,169,170,,,,202,202,203,181,181,182,182,182,183,124,124,125
1980/1981,1980,184,184,179,,,,234,234,212,197,197,191,194,194,192,132,132,130
1981/1982,1981,178,178,185,,,,202,202,211,191,191,197,195,195,199,118,118,136
1982/1983,1982,199,199,192,,,,212,212,206,206,206,201,208,208,204,162,162,143
1983/1984,1983,193,193,196,,,,189,189,204,201,201,203,208,208,207,144,144,145
1984/1985,1984,195,195,199,,,,205,205,210,200,200,206,203,203,209,144,144,144
1985/1986,1985,207,207,202,,,,235,235,219,215,215,209,216,216,211,137,137,143
1986/1987,1986,204,204,204,,,,221,221,226,209,209,210,212,212,211,145,145,148
1987/1988,1987,201,201,204,,,,228,228,231,206,206,210,206,206,210,157,157,157
1988/1989,1988,203,203,205,131,131,132,237,237,233,208,208,210,206,206,209,171,171,165
1989/1990,1989,207,207,203,133,133,135,229,229,231,212,212,207,212,212,206,171,171,168
1990/1991,1990,202,202,196,139,139,135,230,230,224,206,206,200,204,204,198,161,161,163
1991/1992,1991,179,179,185,138,138,131,209,209,215,182,182,189,178,178,186,158,158,154
1992/1993,1992,178,178,176,124,124,125,209,209,205,182,182,180,179,179,177,146,146,144
1993/1994,1993,165,165,170,105,105,121,196,196,195,170,170,173,167,167,171,126,126,135
1994/1995,1994,163,163,167,127,127,126,178,178,189,165,165,170,165,165,168,123,123,133
1995/1996,1995,174,174,166,148,148,130,194,194,187,176,176,169,173,173,167,150,150,135
1996/1997,1996,167,167,164,119,119,129,189,189,185,171,171,166,169,169,164,137,137,133
1997/1998,1997,154,154,160,127,127,127,177,177,185,156,156,162,154,154,160,123,123,128
1998/1999,1998,157,157,158,126,126,124,183,183,186,159,159,161,157,157,158,121,121,127
1999/2000,1999,158,158,159,120,120,123,193,193,187,160,160,161,155,155,158,126,126,130
2000/2001,2000,164,164,159,119,119,121,191,191,184,167,167,161,164,164,158,142,142,135
2001/2002,2001,153,153,157,129,129,120,165,165,178,155,155,160,154,154,158,141,141,135
2002/2003,2002,155,155,154,107,107,117,174,174,172,159,159,157,158,158,156,126,126,129
2003/2004,2003,154,154,150,120,120,114,174,174,164,156,156,153,154,154,152,123,123,122
2004/2005,2004,141,141,144,110,110,111,144,144,153,143,143,146,145,145,147,112,112,116
2005/2006,2005,141,141,138,114,114,106,147,147,143,143,143,140,144,144,141,112,112,113
2006/2007,2006,131,131,133,88,88,103,133,133,136,134,134,135,135,135,137,114,114,111
2007/2008,2007,129,129,130,108,108,104,134,134,130,130,130,132,131,131,134,108,108,108
2008/2009,2008,124,124,130,107,107,106,121,121,127,126,126,132,129,129,135,103,103,107
2009/2010,2009,136,136,133,111,111,107,125,125,127,138,138,135,143,143,138,105,105,106
2010/2011,2010,137,137,134,106,106,107,132,132,127,139,139,136,143,143,140,114,114,105
2011/2012,2011,139,139,133,107,107,107,134,134,126,142,142,135,147,147,139,97,97,100
2012/2013,2012,120,120,129,100,100,106,116,116,123,121,121,131,124,124,135,95,95,95
2013/2014,2013,125,125,127,110,110,107,116,116,120,126,126,128,131,131,132,88,88,92
2014/2015,2014,131,131,124,117,117,104,123,123,119,132,132,126,136,136,130,93,93,91
2015/2016,2015,119,119,121,86,86,98,114,114,117,121,121,123,125,125,127,91,91,91
2016/2017,2016,118,118,118,98,98,95,118,118,115,120,120,119,122,122,122,93,93,91
2017/2018,2017,109,109,114,87,87,96,109,109,112,110,110,115,112,112,118,86,86,93
2018/2019,2018,120,120,110,110,110,100,113,113,108,121,121,111,124,124,113,101,101,96
2019/2020,2019,100,100,105,100,100,103,100,100,103,100,100,105,100,100,106,100,100,100
