Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1995/1996,1995,131,131,128,109,109,100,92,92,92,131,131,129,135,135,132,94,94,100
1996/1997,1996,128,128,132,88,88,101,96,96,101,129,129,133,131,131,135,121,121,118
1997/1998,1997,137,137,138,109,109,108,116,116,110,137,137,138,138,138,140,135,135,132
1998/1999,1998,143,143,145,118,118,123,111,111,114,143,143,146,145,145,148,137,137,137
1999/2000,1999,163,163,151,151,151,140,123,123,113,163,163,152,166,166,155,142,142,134
2000/2001,2000,147,147,152,143,143,150,101,101,106,147,147,153,152,152,157,110,110,126
2001/2002,2001,151,151,153,164,164,149,93,93,101,151,151,153,157,157,159,129,129,123
2002/2003,2002,153,153,155,127,127,136,103,103,103,153,153,156,159,159,162,116,116,122
2003/2004,2003,164,164,158,123,123,121,114,114,106,164,164,159,171,171,166,129,129,123
2004/2005,2004,155,155,160,108,108,108,102,102,108,156,156,161,162,162,168,125,125,118
2005/2006,2005,167,167,162,99,99,97,112,112,111,168,168,163,177,177,171,98,98,111
2006/2007,2006,155,155,161,80,80,92,106,106,111,156,156,163,163,163,170,112,112,106
2007/2008,2007,167,167,158,101,101,93,120,120,107,169,169,159,176,176,167,107,107,100
2008/2009,2008,143,143,149,86,86,95,96,96,97,145,145,150,152,152,157,82,82,94
2009/2010,2009,144,144,137,101,101,97,83,83,85,145,145,138,154,154,146,96,96,89
2010/2011,2010,118,118,126,116,116,92,71,71,77,118,118,126,124,124,133,89,89,85
2011/2012,2011,122,122,119,63,63,80,78,78,76,124,124,119,130,130,125,81,81,82
2012/2013,2012,109,109,116,66,66,74,75,75,79,110,110,117,115,115,122,69,69,83
2013/2014,2013,114,114,119,71,71,75,84,84,87,114,114,119,118,118,124,93,93,92
2014/2015,2014,137,137,123,99,99,80,105,105,95,138,138,124,142,142,128,115,115,102
2015/2016,2015,116,116,124,66,66,83,96,96,100,117,117,124,120,120,127,98,98,106
2016/2017,2016,128,128,121,95,95,88,107,107,102,129,129,122,131,131,125,115,115,107
2017/2018,2017,109,109,117,93,93,94,94,94,101,109,109,117,111,111,119,100,100,103
2018/2019,2018,119,119,111,100,100,98,104,104,101,120,120,112,122,122,113,93,93,99
2019/2020,2019,100,100,104,100,100,101,100,100,101,100,100,104,100,100,105,100,100,97
