Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1974/1975,1974,97,97,105,,,,120,120,129,101,101,108,104,104,112,59,59,65
1975/1976,1975,121,121,112,,,,148,148,129,126,126,116,134,134,125,77,77,67
1976/1977,1976,118,118,115,,,,117,117,125,122,122,119,141,141,132,67,67,68
1977/1978,1977,109,,114,,,,118,,120,113,,118,126,,132,62,62,68
1978/1979,1978,112,,114,,,,121,,117,115,,117,128,,133,68,,68
1979/1980,1979,114,114,115,,,,115,115,114,117,117,119,130,,135,76,76,68
1980/1981,1980,119,119,118,,,,102,102,114,123,123,121,146,146,139,64,64,68
1981/1982,1981,126,126,120,,,,129,129,117,130,130,122,153,153,138,68,68,70
1982/1983,1982,115,115,122,,,,121,121,121,112,112,122,116,116,134,72,72,76
1983/1984,1983,126,126,126,,,,115,115,126,126,126,126,135,135,134,88,88,86
1984/1985,1984,131,131,132,,,,145,145,135,131,131,132,134,134,137,98,98,96
1985/1986,1985,143,143,137,,,,137,137,142,144,144,137,156,156,142,100,100,105
1986/1987,1986,137,137,140,,,,155,155,148,137,137,141,132,132,144,123,123,109
1987/1988,1987,143,143,144,,,,145,145,152,143,143,144,150,150,149,108,108,106
1988/1989,1988,146,146,149,131,131,132,152,152,157,147,147,149,154,154,155,90,90,102
1989/1990,1989,154,154,154,134,134,139,175,175,164,154,154,154,159,159,161,89,89,104
1990/1991,1990,164,164,155,154,154,146,168,168,167,165,165,155,172,172,162,141,141,112
1991/1992,1991,145,145,151,156,156,149,163,163,169,144,144,151,151,151,156,102,102,116
1992/1993,1992,147,147,146,136,,148,170,170,174,148,148,146,151,151,145,122,122,120
1993/1994,1993,141,141,143,155,155,149,190,190,182,141,141,143,130,130,135,118,118,127
1994/1995,1994,145,145,143,148,148,152,187,187,188,145,145,142,129,129,130,147,147,132
1995/1996,1995,133,133,144,154,154,160,185,185,193,132,132,143,118,118,131,122,122,129
1996/1997,1996,160,160,148,175,175,172,207,207,198,159,159,146,148,148,135,136,136,120
1997/1998,1997,149,149,147,182,182,182,195,195,198,147,147,146,142,142,137,96,96,111
1998/1999,1998,139,139,145,203,203,183,197,197,195,137,137,143,127,127,133,100,100,111
1999/2000,1999,146,146,143,159,159,176,192,192,193,145,145,141,133,133,130,127,127,118
2000/2001,2000,139,139,142,169,169,171,181,181,194,137,137,141,124,124,127,128,128,126
2001/2002,2001,142,142,143,169,169,170,202,202,197,141,141,141,125,125,127,137,137,129
2002/2003,2002,148,148,142,174,174,170,206,206,192,146,146,140,133,133,127,117,117,126
2003/2004,2003,135,135,139,168,168,168,170,170,174,133,133,137,122,122,127,124,124,124
2004/2005,2004,140,140,134,172,172,164,162,162,153,138,138,132,130,130,126,132,132,121
2005/2006,2005,122,122,130,152,152,159,118,118,136,120,120,128,119,119,124,111,111,117
2006/2007,2006,129,129,128,146,146,159,128,128,130,128,128,126,127,127,123,107,107,119
2007/2008,2007,129,129,128,178,178,161,135,135,131,126,126,126,119,119,121,134,134,128
2008/2009,2008,128,128,128,150,150,160,138,138,135,126,126,127,118,118,119,140,140,139
2009/2010,2009,130,130,128,169,169,156,140,140,139,129,129,127,117,117,117,157,157,146
2010/2011,2010,126,126,126,137,137,149,137,137,141,125,125,125,118,118,114,137,137,147
2011/2012,2011,122,122,123,154,154,142,148,148,141,121,121,122,106,106,110,145,145,147
2012/2013,2012,127,127,119,122,122,135,142,142,139,127,127,119,112,112,105,161,161,145
2013/2014,2013,103,103,116,138,138,131,117,117,137,102,102,115,92,92,102,116,116,139
2014/2015,2014,123,123,115,125,125,129,156,156,138,123,123,114,104,104,101,156,156,136
2015/2016,2015,110,110,114,124,124,130,130,130,136,109,109,113,100,100,102,120,120,129
2016/2017,2016,114,114,114,134,134,131,135,135,131,113,113,113,105,105,103,114,114,124
2017/2018,2017,114,114,112,140,140,128,120,120,124,112,112,111,103,103,103,136,136,119
2018/2019,2018,109,109,108,117,117,118,120,120,114,109,109,107,106,106,103,104,104,110
2019/2020,2019,100,100,102,100,100,105,100,100,104,100,100,102,100,100,102,100,100,101
