Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1984/1985,1984,47,,41,,,,1,1,8,33,33,34,49,49,51,0,,0
1985/1986,1985,30,,41,,,,11,11,10,35,35,34,51,51,51,1,1,0
1986/1987,1986,44,,42,,,,25,25,10,41,41,34,58,58,50,1,1,0
1987/1988,1987,48,48,46,,,,1,1,8,25,25,33,37,37,48,0,0,1
1988/1989,1988,48,48,49,52,52,53,4,4,6,34,34,33,50,50,49,0,0,1
1989/1990,1989,49,49,52,53,53,56,3,3,5,32,32,33,48,48,50,1,1,1
1990/1991,1990,59,59,55,63,63,58,5,5,5,41,41,34,61,61,51,0,0,1
1991/1992,1991,61,61,54,65,65,57,8,8,5,31,31,34,48,48,50,1,1,2
1992/1993,1992,44,44,51,47,47,53,2,2,6,27,27,34,39,39,51,4,4,2
1993/1994,1993,46,46,49,46,46,51,4,4,7,46,46,36,69,69,53,3,3,3
1994/1995,1994,50,50,50,55,55,51,9,9,10,28,28,40,40,40,58,4,4,3
1995/1996,1995,51,51,52,51,51,53,21,21,14,42,42,45,60,60,65,3,3,3
1996/1997,1996,58,58,55,55,55,56,24,24,15,67,67,49,100,100,71,3,3,3
1997/1998,1997,60,60,58,63,63,60,6,6,14,45,45,48,66,66,69,2,2,3
1998/1999,1998,60,60,60,64,64,62,12,12,14,44,44,46,64,64,66,2,2,4
1999/2000,1999,55,55,61,60,60,63,13,13,16,31,31,48,43,43,67,5,5,6
2000/2001,2000,67,67,64,68,68,64,20,20,21,58,58,56,79,79,79,15,15,9
2001/2002,2001,64,64,65,60,60,63,35,,28,75,75,67,108,108,96,9,9,11
2002/2003,2002,69,69,65,64,64,62,37,37,33,81,81,73,119,119,105,10,10,13
2003/2004,2003,69,69,64,67,67,61,21,21,37,73,73,70,105,105,99,16,16,15
2004/2005,2004,50,50,62,49,49,60,56,56,43,52,52,66,67,67,89,19,19,18
2005/2006,2005,68,68,66,66,66,63,50,50,42,72,72,66,94,94,88,22,,20
2006/2007,2006,67,67,72,66,66,69,25,25,38,64,64,71,85,85,93,18,,23
2007/2008,2007,92,92,81,86,86,76,37,37,41,85,85,81,115,115,104,28,,30
2008/2009,2008,81,81,88,74,74,82,58,58,51,92,92,93,110,110,119,47,47,40
2009/2010,2009,89,89,94,84,84,88,59,59,65,96,96,106,125,125,136,46,46,46
2010/2011,2010,108,108,99,100,100,93,83,83,80,137,137,114,181,181,146,47,47,50
2011/2012,2011,100,100,97,97,97,92,87,87,83,99,99,108,120,120,133,55,55,57
2012/2013,2012,85,85,90,80,80,86,74,74,69,96,96,98,111,111,116,70,70,65
2013/2014,2013,83,83,83,79,79,80,50,50,52,93,93,89,108,108,103,63,63,65
2014/2015,2014,75,75,80,73,73,77,29,29,44,73,73,83,82,82,96,62,62,62
2015/2016,2015,85,85,78,86,86,76,50,50,48,84,84,83,96,96,97,56,56,59
2016/2017,2016,77,77,78,74,74,76,66,66,58,94,94,85,112,112,100,64,64,60
2017/2018,2017,73,73,80,69,69,78,69,69,64,90,90,85,104,104,99,63,63,59
2018/2019,2018,90,90,88,91,91,87,57,57,72,71,71,86,83,83,96,50,50,63
2019/2020,2019,100,100,98,100,100,99,100,100,93,100,100,93,100,100,95,100,100,93
