Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn
1965/1966,1965,14,14,14,,,,14,14,14,,,
1966/1967,1966,15,15,14,14,14,13,15,15,14,18,18,18
1967/1968,1967,13,13,14,10,10,13,13,13,14,21,21,18
1968/1969,1968,13,13,14,12,12,12,13,13,14,16,16,18
1969/1970,1969,15,15,14,13,13,12,15,15,14,20,20,19
1970/1971,1970,15,15,14,12,12,11,15,15,14,20,20,21
1971/1972,1971,13,13,14,10,10,11,13,13,14,21,21,23
1972/1973,1972,14,14,15,10,10,10,14,14,15,24,24,27
1973/1974,1973,17,17,16,10,10,10,17,17,16,33,33,29
1974/1975,1974,18,18,16,11,11,11,18,18,16,37,37,29
1975/1976,1975,15,15,15,12,12,12,15,15,15,22,22,24
1976/1977,1976,14,14,15,13,13,13,14,14,15,19,19,18
1977/1978,1977,14,14,15,14,14,15,14,14,15,14,14,14
1978/1979,1978,16,16,16,19,19,18,16,16,16,7,7,11
1979/1980,1979,16,16,17,20,20,20,16,16,17,8,8,10
1980/1981,1980,19,19,17,23,23,21,19,19,17,10,10,9
1981/1982,1981,18,18,18,20,20,21,18,18,18,13,13,10
1982/1983,1982,18,18,19,21,21,22,18,18,19,10,10,10
1983/1984,1983,20,20,19,24,24,23,20,20,19,13,13,11
1984/1985,1984,17,17,21,21,21,25,17,17,21,8,8,13
1985/1986,1985,26,26,24,30,30,28,26,26,24,15,15,16
1986/1987,1986,28,28,28,28,28,31,28,28,28,28,28,21
1987/1988,1987,35,35,32,39,39,35,35,35,32,24,24,26
1988/1989,1988,36,36,36,40,40,37,36,36,36,25,25,32
1989/1990,1989,37,37,38,33,33,38,37,37,38,47,47,37
1990/1991,1990,39,39,41,37,37,41,39,39,41,44,44,40
1991/1992,1991,47,47,43,51,51,45,47,47,43,37,37,38
1992/1993,1992,40,40,44,45,45,47,40,40,44,29,29,38
1993/1994,1993,45,45,46,46,46,48,45,45,46,43,43,42
1994/1995,1994,53,53,47,52,52,46,53,53,47,54,54,49
1995/1996,1995,41,41,46,39,39,42,41,41,46,44,44,57
1996/1997,1996,48,48,46,34,34,39,48,48,46,81,81,65
1997/1998,1997,48,48,46,38,38,38,48,48,46,72,72,67
1998/1999,1998,46,46,46,45,45,38,46,46,46,50,50,65
1999/2000,1999,43,43,47,31,31,38,43,43,47,74,74,68
2000/2001,2000,50,50,49,41,41,39,50,50,49,70,70,73
2001/2002,2001,55,55,51,44,44,39,55,55,51,82,82,79
2002/2003,2002,47,47,52,32,32,38,47,47,52,82,82,86
2003/2004,2003,57,57,54,40,40,38,57,57,54,98,98,94
2004/2005,2004,56,56,56,42,42,37,56,56,56,92,92,101
2005/2006,2005,61,61,56,37,37,35,61,61,56,120,120,107
2006/2007,2006,47,47,56,23,23,37,47,47,56,104,104,107
2007/2008,2007,58,58,60,42,42,45,58,58,60,98,98,108
2008/2009,2008,71,71,66,69,69,57,71,71,66,121,121,114
2009/2010,2009,73,73,67,70,70,62,73,73,67,113,113,120
2010/2011,2010,60,60,62,56,56,58,60,60,62,140,140,121
2011/2012,2011,50,50,60,41,41,55,50,50,60,97,97,114
2012/2013,2012,70,70,65,66,66,61,70,70,65,115,115,111
2013/2014,2013,74,74,74,73,73,72,74,74,74,119,119,107
2014/2015,2014,78,78,85,78,78,85,78,78,85,89,89,103
2015/2016,2015,109,109,98,112,112,97,109,109,98,104,104,110
2016/2017,2016,98,98,102,88,88,97,98,98,102,131,131,124
2017/2018,2017,105,105,100,101,101,94,105,105,100,138,138,128
2018/2019,2018,89,89,97,81,81,92,89,89,97,110,110,117
2019/2020,2019,100,100,97,100,100,95,100,100,97,100,100,102
