Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,171,171,166,,,,902,902,911,219,219,213,167,167,159,587,587,615
1967/1968,1967,163,163,166,,,,984,984,1002,208,208,212,147,147,153,595,,504
1968/1969,1968,164,164,168,,,,1149,1149,1085,209,209,214,140,140,151,387,,397
1969/1970,1969,182,182,174,,,,1196,1196,1141,232,232,221,166,166,156,233,233,343
1970/1971,1970,168,168,184,,,,1013,1013,1218,214,214,234,159,159,164,366,366,361
1971/1972,1971,206,206,201,,,,1487,1487,1403,263,263,256,177,177,175,425,425,412
1972/1973,1972,220,220,219,,,,1612,1612,1617,280,280,279,186,186,186,487,487,444
1973/1974,1973,236,236,233,,,,1815,1815,1768,302,302,299,195,195,198,496,496,406
1974/1975,1974,244,244,241,,,,1722,1722,1786,312,312,308,218,218,208,244,,326
1975/1976,1975,249,249,238,,,,1893,1893,1660,318,318,304,212,212,214,243,243,276
1976/1977,1976,210,210,229,,,,1078,1078,1425,267,267,294,213,213,217,293,293,261
1977/1978,1977,237,237,221,,,,1483,1483,1259,303,303,285,225,225,220,230,230,266
1978/1979,1978,209,209,214,,,,1101,1101,1058,267,267,276,210,210,223,307,307,291
1979/1980,1979,215,215,211,,,,792,792,881,275,275,269,239,239,226,300,300,327
1980/1981,1980,211,211,217,,,,783,783,807,270,270,266,232,232,227,439,439,360
1981/1982,1981,189,189,241,,,,626,626,844,241,241,268,214,214,227,323,323,368
1982/1983,1982,329,329,284,,,,1157,1157,962,291,291,279,231,231,232,396,396,373
1983/1984,1983,344,344,316,,,,1134,1134,988,308,308,286,253,253,238,321,321,387
1984/1985,1984,312,312,322,,,,930,930,877,275,275,285,226,226,242,464,464,418
1985/1986,1985,301,301,322,,,,525,525,762,268,268,286,247,247,250,416,416,436
1986/1987,1986,339,339,327,,,,739,739,754,311,311,291,277,277,257,509,509,429
1987/1988,1987,315,315,337,,,,860,860,819,279,279,294,239,239,256,328,328,397
1988/1989,1988,372,372,349,603,603,592,886,886,894,305,305,296,265,265,254,384,384,385
1989/1990,1989,350,350,351,537,537,559,1016,1016,925,297,297,292,248,248,248,392,392,394
1990/1991,1990,344,344,343,528,528,545,891,891,874,291,291,284,249,249,241,382,382,419
1991/1992,1991,333,333,333,583,583,526,783,783,783,259,259,277,218,218,240,523,523,441
1992/1993,1992,321,321,326,462,462,472,667,667,713,280,280,282,251,251,251,423,423,429
1993/1994,1993,319,319,327,406,406,424,605,605,703,294,294,298,273,273,269,380,380,407
1994/1995,1994,318,318,338,357,357,409,731,731,755,309,309,317,280,280,286,338,338,407
1995/1996,1995,394,394,346,495,495,416,944,944,806,364,364,327,322,322,293,533,533,424
1996/1997,1996,332,332,331,393,393,395,820,820,776,314,314,313,280,280,280,337,337,415
1997/1998,1997,283,283,310,336,336,371,694,694,683,267,267,292,235,235,264,476,476,393
1998/1999,1998,288,288,302,330,330,376,466,466,598,277,277,280,264,264,258,283,283,350
1999/2000,1999,314,314,300,438,438,393,594,594,561,276,276,273,253,253,253,356,356,314
2000/2001,2000,313,313,287,401,401,361,572,572,548,282,282,263,264,264,244,257,257,281
2001/2002,2001,253,253,259,295,295,278,504,504,546,232,232,249,214,214,229,273,273,260
2002/2003,2002,220,220,231,164,164,200,541,541,553,238,238,237,219,219,215,221,221,253
2003/2004,2003,203,203,212,132,132,158,681,681,549,224,224,227,194,194,205,243,243,262
2004/2005,2004,206,206,201,138,138,144,426,426,520,223,223,217,208,208,197,321,321,275
2005/2006,2005,194,194,193,154,154,146,446,446,496,204,204,206,187,187,186,300,300,268
2006/2007,2006,188,188,185,156,156,150,566,566,475,198,198,194,173,173,175,223,223,247
2007/2008,2007,180,180,176,181,181,151,372,372,437,178,178,182,164,164,165,202,202,234
2008/2009,2008,158,158,168,120,120,145,497,497,390,167,167,173,149,149,158,168,168,237
2009/2010,2009,165,165,160,138,138,143,278,278,333,173,173,164,163,163,152,349,349,240
2010/2011,2010,147,147,153,125,125,145,249,249,289,154,154,154,145,145,145,233,233,206
2011/2012,2011,155,155,146,188,188,145,269,269,260,140,140,144,133,133,137,130,130,153
2012/2013,2012,140,140,135,131,131,134,250,250,239,142,142,135,135,135,128,111,111,110
2013/2014,2013,117,117,124,113,113,117,233,233,220,117,117,126,111,111,121,61,61,84
2014/2015,2014,115,115,115,110,110,103,187,187,203,117,117,119,113,113,115,56,56,72
2015/2016,2015,111,111,108,67,67,94,180,180,188,124,124,113,123,123,109,55,55,71
2016/2017,2016,103,103,104,96,96,93,181,181,175,106,106,107,101,101,104,94,94,75
2017/2018,2017,89,89,102,92,92,98,156,156,161,88,88,103,84,84,100,102,102,82
2018/2019,2018,116,116,102,127,127,104,184,184,145,112,112,101,109,109,99,74,74,88
2019/2020,2019,100,100,102,100,100,109,100,100,127,100,100,100,100,100,99,100,100,96
