Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,38,38,36,,,,38,38,44,39,39,37,38,38,35,41,41,36
1967/1968,1967,43,43,43,,,,60,60,44,45,45,44,41,41,43,28,28,39
1968/1969,1968,49,49,51,,,,31,31,43,50,50,52,55,55,54,42,42,42
1969/1970,1969,50,50,62,,,,41,41,43,51,51,64,53,53,69,57,57,46
1970/1971,1970,93,93,76,,,,54,54,44,96,96,78,110,110,88,45,45,48
1971/1972,1971,82,82,90,,,,45,45,44,85,85,93,97,97,108,40,40,50
1972/1973,1972,93,93,105,,,,42,42,44,96,96,109,111,111,129,65,65,51
1973/1974,1973,147,147,117,,,,28,28,48,152,152,121,191,191,145,56,56,49
1974/1975,1974,111,111,118,,,,62,62,56,115,115,122,134,134,144,31,31,48
1975/1976,1975,103,103,116,,,,76,76,63,107,107,119,118,118,138,42,42,48
1976/1977,1976,112,112,115,,,,68,68,60,116,116,119,131,131,138,56,56,50
1977/1978,1977,140,140,115,,,,42,42,49,145,145,119,176,176,140,69,69,51
1978/1979,1978,89,89,114,,,,36,36,40,92,92,117,108,108,141,48,48,51
1979/1980,1979,110,110,120,,,,33,33,34,114,114,123,139,139,151,39,39,52
1980/1981,1980,157,157,130,,,,30,30,31,162,162,134,203,203,166,42,42,59
1981/1982,1981,123,123,136,,,,28,28,30,127,127,140,154,154,173,90,90,71
1982/1983,1982,144,144,142,,,,35,35,29,148,148,146,179,179,179,97,97,85
1983/1984,1983,137,137,147,,,,33,33,29,141,141,151,172,172,185,72,72,100
1984/1985,1984,174,174,151,,,,19,19,30,178,178,155,217,217,187,151,151,119
1985/1986,1985,142,142,148,,,,25,25,34,145,145,151,176,176,179,111,111,135
1986/1987,1986,128,128,145,,,,58,58,41,132,132,149,146,146,173,153,153,152
1987/1988,1987,156,156,149,,,,42,42,47,159,159,152,186,186,176,177,177,164
1988/1989,1988,155,155,153,52,52,45,60,60,51,158,158,156,182,182,182,172,172,162
1989/1990,1989,156,156,154,28,28,43,38,38,52,160,160,157,193,193,184,139,139,150
1990/1991,1990,148,148,151,46,46,44,68,68,53,151,151,154,173,173,180,121,121,139
1991/1992,1991,157,157,146,54,54,45,52,52,54,160,160,149,184,184,173,168,168,130
1992/1993,1992,132,132,139,41,41,42,43,43,59,134,134,143,159,159,163,95,95,120
1993/1994,1993,136,136,138,44,44,39,73,73,75,139,139,141,153,153,158,132,132,116
1994/1995,1994,127,127,144,27,27,36,97,97,100,131,131,147,145,145,160,76,76,123
1995/1996,1995,171,171,155,34,34,37,141,141,124,175,175,159,182,182,169,172,172,145
1996/1997,1996,172,172,160,42,42,41,145,145,126,177,177,164,180,180,172,206,206,165
1997/1998,1997,140,140,155,43,43,47,89,89,108,143,143,159,157,157,168,125,125,177
1998/1999,1998,166,166,148,62,62,51,98,98,97,170,170,152,184,184,159,180,180,203
1999/2000,1999,123,123,142,61,61,51,83,83,97,126,126,144,119,119,147,326,326,230
2000/2001,2000,142,142,142,35,35,49,97,97,109,145,145,145,151,151,145,181,181,229
2001/2002,2001,149,149,149,42,42,51,159,159,124,152,152,152,147,147,149,194,194,246
2002/2003,2002,164,164,159,68,68,57,111,111,119,167,167,163,159,159,158,344,344,297
2003/2004,2003,165,165,169,66,66,64,109,109,102,168,168,173,162,162,171,357,357,338
2004/2005,2004,174,174,178,64,64,71,85,85,83,178,178,181,186,186,183,312,312,362
2005/2006,2005,193,193,178,79,79,79,45,45,73,197,197,182,209,209,185,410,410,391
2006/2007,2006,166,166,167,90,90,87,86,86,75,168,168,169,162,162,170,411,411,383
2007/2008,2007,142,142,150,93,93,89,89,89,82,143,143,152,137,137,151,310,310,322
2008/2009,2008,142,142,134,80,80,86,83,83,88,144,144,135,146,146,134,267,267,250
2009/2010,2009,111,111,118,87,87,81,82,82,95,112,112,120,114,114,118,164,164,192
2010/2011,2010,112,112,107,66,66,75,131,131,98,113,113,108,107,107,106,160,160,163
2011/2012,2011,97,97,99,78,78,73,75,75,88,98,98,100,93,93,97,170,170,150
2012/2013,2012,92,92,95,75,75,73,71,71,80,92,92,96,92,92,92,132,132,148
2013/2014,2013,92,92,95,70,70,74,83,83,78,92,92,96,89,89,91,139,139,162
2014/2015,2014,102,102,99,76,76,81,81,81,83,103,103,100,94,94,93,205,205,188
2015/2016,2015,98,98,105,95,95,93,74,74,95,98,98,105,90,90,96,216,216,202
2016/2017,2016,127,127,109,112,112,102,145,145,115,128,128,109,115,115,99,214,214,186
2017/2018,2017,98,98,107,101,101,104,111,111,123,98,98,107,94,94,99,111,111,153
2018/2019,2018,103,103,104,98,98,102,133,133,120,104,104,104,93,93,98,141,141,126
2019/2020,2019,100,100,100,100,100,99,100,100,109,100,100,100,100,100,98,100,100,104
