Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1984/1985,1984,41,,27,,,,0,0,6,0,0,1,0,0,1,0,,0
1985/1986,1985,3,,27,,,,12,12,7,2,2,1,0,0,1,1,1,0
1986/1987,1986,30,,31,,,,12,12,6,3,3,1,4,4,1,1,1,0
1987/1988,1987,49,49,39,,,,0,0,5,0,0,1,0,0,1,0,0,1
1988/1989,1988,47,47,46,52,52,53,3,3,4,0,0,1,0,0,1,0,0,1
1989/1990,1989,48,48,51,53,53,56,1,1,4,1,1,1,0,0,1,1,1,1
1990/1991,1990,57,57,54,63,63,58,5,5,4,1,1,1,1,1,1,0,0,1
1991/1992,1991,59,59,52,65,65,57,7,7,4,2,2,2,1,1,1,1,1,2
1992/1993,1992,43,43,49,47,47,53,2,2,4,3,3,2,0,0,1,4,4,2
1993/1994,1993,42,42,47,46,46,51,4,4,5,3,3,3,2,2,1,3,3,3
1994/1995,1994,50,50,47,55,55,51,7,7,5,4,4,3,2,2,2,4,4,3
1995/1996,1995,47,47,48,51,51,53,7,7,6,3,3,3,1,1,2,3,3,3
1996/1997,1996,50,50,51,55,55,56,7,7,7,4,4,4,3,3,2,3,3,3
1997/1998,1997,57,57,55,63,63,60,4,4,8,2,2,4,2,2,3,2,2,3
1998/1999,1998,58,58,57,64,64,62,13,13,10,4,4,5,2,2,3,2,2,4
1999/2000,1999,54,54,58,60,60,63,10,10,13,6,6,7,6,6,4,5,5,6
2000/2001,2000,63,63,59,68,68,64,20,20,17,16,16,10,8,8,5,15,15,9
2001/2002,2001,56,56,58,60,60,63,31,,19,11,,12,3,3,6,9,9,11
2002/2003,2002,59,59,58,64,64,62,5,,22,10,,14,4,4,8,10,10,13
2003/2004,2003,62,62,57,67,67,61,9,9,36,16,16,17,13,13,12,16,16,15
2004/2005,2004,47,47,56,49,49,60,111,,62,26,26,21,23,23,18,19,19,18
2005/2006,2005,62,62,60,66,66,63,52,,53,25,25,23,26,26,25,22,,20
2006/2007,2006,62,62,66,66,66,69,18,18,33,20,,26,28,28,34,18,,23
2007/2008,2007,82,82,73,86,86,76,21,,26,31,31,34,46,46,52,28,,30
2008/2009,2008,73,73,79,74,74,82,24,,31,57,57,48,93,93,77,47,47,40
2009/2010,2009,81,81,85,84,84,88,45,45,48,55,55,56,84,84,85,46,46,46
2010/2011,2010,96,96,90,100,100,93,93,93,71,58,58,61,80,80,88,47,47,50
2011/2012,2011,94,94,89,97,97,92,64,64,67,67,67,69,99,99,105,55,55,57
2012/2013,2012,80,80,84,80,80,86,52,52,51,85,85,77,145,145,130,70,70,65
2013/2014,2013,78,78,79,79,79,80,33,33,39,74,74,75,129,129,129,63,63,65
2014/2015,2014,73,73,77,73,73,77,30,30,39,69,69,72,118,118,122,62,62,62
2015/2016,2015,84,84,76,86,86,76,55,55,51,70,70,76,122,122,139,56,56,59
2016/2017,2016,76,76,76,74,74,76,71,71,67,96,96,88,209,209,186,64,64,60
2017/2018,2017,70,70,79,69,69,78,86,86,78,91,91,90,180,180,193,63,63,59
2018/2019,2018,90,90,87,91,91,87,69,69,82,80,80,88,178,178,165,50,50,63
2019/2020,2019,100,100,98,100,100,99,100,100,95,100,100,97,100,100,108,100,100,93
