Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn
1966/1967,1966,7,7,9,0,0,0,7,7,9,7,7,9
1967/1968,1967,11,11,9,0,0,0,11,11,9,11,11,10
1968/1969,1968,8,8,10,0,0,0,8,8,10,8,8,10
1969/1970,1969,12,12,10,0,0,0,12,12,10,12,12,10
1970/1971,1970,9,9,10,0,0,0,9,9,10,10,10,10
1971/1972,1971,16,16,9,0,0,0,16,16,9,16,16,10
1972/1973,1972,2,,9,0,0,0,2,,9,2,,9
1973/1974,1973,15,15,8,0,0,0,15,15,8,16,16,9
1974/1975,1974,1,1,8,0,0,0,1,1,8,1,1,8
1975/1976,1975,7,7,9,0,0,0,7,7,9,8,8,9
1976/1977,1976,9,9,12,0,0,1,9,9,12,10,10,12
1977/1978,1977,8,8,15,0,0,1,8,8,15,8,8,16
1978/1979,1978,42,42,20,2,2,2,42,42,20,43,43,21
1979/1980,1979,20,20,22,7,7,4,20,20,22,21,21,23
1980/1981,1980,15,15,23,5,5,5,15,15,23,15,15,23
1981/1982,1981,34,34,23,9,9,5,34,34,23,35,35,24
1982/1983,1982,10,10,25,1,1,5,10,10,25,10,10,26
1983/1984,1983,25,25,31,2,2,6,25,25,31,25,25,32
1984/1985,1984,53,53,42,3,3,9,53,53,42,55,55,43
1985/1986,1985,55,55,52,8,8,19,55,55,52,57,57,53
1986/1987,1986,64,64,55,69,69,29,64,64,55,64,64,56
1987/1988,1987,40,40,53,1,1,20,40,40,53,41,41,55
1988/1989,1988,54,54,53,8,8,12,54,54,53,56,56,55
1989/1990,1989,52,52,55,9,9,8,52,52,55,54,54,56
1990/1991,1990,67,67,55,6,6,7,67,67,55,69,69,57
1991/1992,1991,50,50,53,13,13,7,50,50,53,51,51,55
1992/1993,1992,42,42,53,2,2,7,42,42,53,43,43,55
1993/1994,1993,74,74,57,5,5,12,74,74,57,76,76,58
1994/1995,1994,43,43,61,16,16,25,43,43,61,44,44,63
1995/1996,1995,67,67,72,69,69,52,67,67,72,67,67,73
1996/1997,1996,110,110,81,69,69,52,110,110,81,112,112,83
1997/1998,1997,72,72,77,14,14,28,72,72,77,73,73,78
1998/1999,1998,69,69,69,8,8,17,69,69,69,71,71,71
1999/2000,1999,46,46,70,19,19,17,46,46,70,47,47,72
2000/2001,2000,93,93,88,16,16,24,93,93,88,96,96,90
2001/2002,2001,117,117,112,41,41,44,117,117,112,120,120,115
2002/2003,2002,139,139,125,94,94,66,139,139,125,141,141,129
2003/2004,2003,121,121,113,49,49,56,121,121,113,129,129,117
2004/2005,2004,70,70,95,23,23,49,70,70,95,71,71,97
2005/2006,2005,98,98,90,93,93,60,98,98,90,98,98,92
2006/2007,2006,89,89,95,45,45,65,89,89,95,90,90,96
2007/2008,2007,118,118,107,79,79,91,118,118,107,120,120,108
2008/2009,2008,111,111,121,171,171,135,111,111,121,108,108,122
2009/2010,2009,128,128,141,107,107,121,128,128,141,132,132,144
2010/2011,2010,192,192,155,99,99,117,192,192,155,200,200,159
2011/2012,2011,119,119,134,163,163,152,119,119,134,118,118,136
2012/2013,2012,105,105,110,177,177,163,105,105,110,104,104,110
2013/2014,2013,97,97,94,121,121,127,97,97,94,97,97,93
2014/2015,2014,76,76,85,92,92,113,76,76,85,76,76,84
2015/2016,2015,90,90,83,155,155,138,90,90,83,88,88,82
2016/2017,2016,80,80,84,140,140,130,80,80,84,79,79,83
2017/2018,2017,93,93,85,82,82,94,93,93,85,93,93,85
2018/2019,2018,77,77,88,79,79,84,77,77,88,79,79,88
2019/2020,2019,100,100,95,100,100,95,100,100,95,100,100,96
