Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,25,25,29,,,,37,37,48,29,29,34,22,22,20,34,,27
1967/1968,1967,33,33,39,,,,57,57,67,39,39,46,21,21,27,28,28,35
1968/1969,1968,62,62,50,,,,114,114,87,73,73,59,34,34,35,39,39,46
1969/1970,1969,62,62,59,,,,102,102,96,73,73,70,49,49,46,44,44,61
1970/1971,1970,68,68,62,,,,93,93,90,80,80,74,64,64,56,127,127,81
1971/1972,1971,58,58,62,,,,73,73,80,68,68,73,61,61,64,86,86,98
1972/1973,1972,54,54,62,,,,61,61,72,64,64,72,67,67,70,89,89,116
1973/1974,1973,62,62,63,,,,67,67,70,72,72,74,74,74,74,160,160,138
1974/1975,1974,71,71,66,,,,80,80,73,83,83,78,77,77,76,167,,160
1975/1976,1975,62,62,70,,,,64,64,80,73,73,83,76,76,76,142,142,180
1976/1977,1976,84,84,76,,,,100,100,92,98,98,89,83,83,74,239,239,202
1977/1978,1977,83,83,80,,,,125,125,104,98,98,94,60,60,73,211,211,211
1978/1979,1978,78,78,83,,,,102,102,110,92,92,98,71,71,74,208,208,210
1979/1980,1979,81,81,87,,,,94,94,117,95,95,103,86,86,77,199,199,209
1980/1981,1980,95,95,93,,,,132,132,128,111,111,110,78,78,80,205,,215
1981/1982,1981,113,113,98,,,,166,166,135,133,133,115,87,87,82,223,,226
1982/1983,1982,104,104,98,,,,141,141,130,121,121,114,83,83,85,281,281,230
1983/1984,1983,78,78,101,,,,88,88,125,89,89,114,82,82,90,181,,220
1984/1985,1984,103,103,115,,,,103,103,140,107,107,125,101,101,100,215,,217
1985/1986,1985,149,149,137,,,,205,205,172,164,164,147,115,115,112,222,222,223
1986/1987,1986,177,177,155,,,,231,231,188,185,185,161,128,128,126,241,241,230
1987/1988,1987,151,151,158,,,,157,157,170,150,150,160,134,134,139,223,223,235
1988/1989,1988,153,153,155,143,143,149,143,143,148,154,154,155,156,156,152,243,243,236
1989/1990,1989,145,145,154,168,168,153,105,105,139,140,140,153,165,165,161,246,246,228
1990/1991,1990,165,165,159,151,151,153,168,168,149,168,168,160,165,165,167,204,204,211
1991/1992,1991,164,164,168,139,139,152,169,169,167,169,169,170,167,167,172,183,183,197
1992/1993,1992,177,177,181,172,172,156,174,174,190,177,177,185,179,179,180,202,202,194
1993/1994,1993,197,197,196,142,142,161,223,223,218,206,206,203,191,191,190,195,195,200
1994/1995,1994,219,219,207,169,169,169,260,260,231,228,228,214,203,203,199,194,194,217
1995/1996,1995,206,206,207,203,203,174,205,205,217,207,207,213,203,203,207,265,265,240
1996/1997,1996,188,188,201,143,143,167,186,186,195,196,196,207,202,202,216,263,263,250
1997/1998,1997,210,210,194,167,167,160,187,187,176,218,218,200,249,249,224,252,252,244
1998/1999,1998,170,170,184,156,156,151,147,147,160,173,173,189,202,202,220,195,195,235
1999/2000,1999,188,188,174,140,140,141,157,157,150,197,197,179,235,235,208,248,248,239
2000/2001,2000,148,148,164,124,124,136,135,135,144,153,153,169,164,164,190,268,268,243
2001/2002,2001,164,164,159,138,138,136,150,150,142,168,168,163,186,186,180,215,215,239
2002/2003,2002,158,158,157,146,146,138,137,137,140,159,159,160,173,173,175,242,242,238
2003/2004,2003,155,155,154,140,140,136,140,140,135,158,158,157,170,170,172,242,242,235
2004/2005,2004,152,152,149,127,127,134,129,129,129,156,156,152,178,178,170,234,234,226
2005/2006,2005,139,139,143,126,126,135,119,119,122,142,142,145,163,163,164,198,198,214
2006/2007,2006,138,138,139,145,145,139,117,117,117,137,137,139,152,152,158,211,211,206
2007/2008,2007,138,138,136,148,148,139,111,111,115,136,136,136,157,157,154,203,203,198
2008/2009,2008,134,134,134,127,127,132,118,118,114,136,136,134,154,154,151,178,178,192
2009/2010,2009,131,131,132,127,127,123,114,114,114,132,132,133,144,144,150,209,209,186
2010/2011,2010,124,124,131,102,102,114,111,111,113,128,128,134,147,147,153,155,155,178
2011/2012,2011,141,141,131,119,119,109,117,117,111,144,144,135,169,169,157,188,188,174
2012/2013,2012,124,124,128,100,100,105,106,106,108,128,128,132,150,150,156,159,159,168
2013/2014,2013,126,126,124,102,102,103,105,105,107,131,131,128,154,154,148,166,166,161
2014/2015,2014,119,119,119,107,107,101,100,100,108,121,121,122,140,140,136,162,162,152
2015/2016,2015,112,112,114,95,95,99,120,120,111,115,115,116,114,114,122,122,122,140
2016/2017,2016,111,111,109,101,101,98,108,108,112,113,113,111,116,116,110,141,141,130
2017/2018,2017,100,100,105,91,91,99,116,116,110,101,101,106,91,91,103,114,114,120
2018/2019,2018,106,106,103,109,109,101,103,103,106,105,105,103,107,107,101,112,112,110
2019/2020,2019,100,100,100,100,100,102,100,100,101,100,100,100,100,100,99,100,100,101
