Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1974/1975,1974,156,156,160,,,,76,76,81,167,167,171,211,211,217,244,244,231
1975/1976,1975,167,167,156,,,,92,92,84,178,178,167,224,224,213,202,202,219
1976/1977,1976,139,139,151,,,,77,77,83,149,149,161,200,200,205,219,219,220
1977/1978,1977,154,154,147,,,,92,,80,164,164,157,201,201,195,213,213,234
1978/1979,1978,144,144,143,,,,73,,74,153,153,153,178,178,184,298,,250
1979/1980,1979,138,138,140,,,,53,53,69,146,146,149,179,179,177,214,214,250
1980/1981,1980,145,145,141,,,,76,,68,153,153,147,178,178,173,275,,246
1981/1982,1981,132,132,146,,,,73,73,69,140,140,149,163,163,176,212,212,234
1982/1983,1982,160,160,159,,,,72,72,68,156,156,158,182,182,190,251,251,225
1983/1984,1983,183,183,175,,,,63,63,69,178,178,171,227,227,211,175,175,222
1984/1985,1984,185,185,188,,,,68,68,73,182,182,184,224,224,229,264,264,236
1985/1986,1985,206,206,197,,,,80,80,81,202,202,194,256,256,241,251,251,247
1986/1987,1986,195,195,204,,,,99,99,90,196,196,203,233,233,249,245,245,250
1987/1988,1987,200,200,214,,,,93,93,99,202,202,215,245,245,263,247,247,249
1988/1989,1988,246,246,226,237,237,234,112,112,106,246,246,228,304,304,280,273,273,247
1989/1990,1989,225,225,228,208,208,224,104,104,112,229,229,229,287,287,280,173,173,246
1990/1991,1990,227,227,221,245,245,217,130,130,118,226,226,222,258,258,265,330,330,261
1991/1992,1991,198,198,212,186,186,202,114,114,121,199,199,212,237,237,250,233,233,253
1992/1993,1992,213,213,207,175,,191,119,119,126,216,216,208,258,258,242,238,238,234
1993/1994,1993,199,199,204,216,216,184,147,147,133,198,198,205,217,217,236,207,207,210
1994/1995,1994,204,204,202,157,157,169,122,122,136,209,209,205,246,246,235,190,190,188
1995/1996,1995,203,203,197,141,141,157,151,151,138,207,207,201,238,238,230,155,155,169
1996/1997,1996,186,186,189,174,174,153,131,131,135,187,187,192,209,209,221,189,189,153
1997/1998,1997,184,184,181,124,124,149,127,127,133,189,189,184,224,224,211,116,116,137
1998/1999,1998,169,169,175,173,173,146,144,144,132,169,169,177,186,186,202,103,103,133
1999/2000,1999,170,170,172,135,135,139,112,112,130,173,173,174,200,200,197,175,175,142
2000/2001,2000,176,176,169,121,121,132,143,143,132,180,180,173,201,201,192,138,138,153
2001/2002,2001,163,163,165,124,124,132,124,124,131,166,166,167,182,182,183,169,169,163
2002/2003,2002,164,164,157,156,156,135,143,143,125,165,165,160,173,173,174,174,174,170
2003/2004,2003,142,142,150,119,119,137,104,104,112,144,144,151,161,161,166,162,162,168
2004/2005,2004,142,142,144,136,136,139,94,94,100,143,143,145,162,162,163,161,161,160
2005/2006,2005,146,146,140,163,163,138,96,96,93,145,145,141,163,163,162,176,176,143
2006/2007,2006,134,134,136,115,115,126,82,82,89,136,136,137,164,164,160,93,93,121
2007/2008,2007,128,128,130,111,111,114,94,94,87,129,129,132,147,147,154,97,97,109
2008/2009,2008,126,126,124,105,105,103,83,83,85,129,129,126,152,152,145,95,95,108
2009/2010,2009,124,124,114,97,97,95,86,86,83,127,127,117,142,142,131,142,142,110
2010/2011,2010,95,95,104,75,75,91,78,78,81,97,97,106,104,104,116,106,106,107
2011/2012,2011,97,97,97,100,100,91,78,78,80,98,98,97,108,108,105,87,87,101
2012/2013,2012,94,94,92,108,108,91,90,90,79,93,93,92,93,93,98,111,111,98
2013/2014,2013,81,81,91,66,66,90,70,70,77,82,82,91,88,88,97,76,76,95
2014/2015,2014,102,102,93,103,103,92,80,80,78,102,102,93,111,111,100,109,109,95
2015/2016,2015,91,91,96,76,76,96,77,77,81,92,92,96,99,99,103,91,91,95
2016/2017,2016,104,104,99,123,123,100,86,86,87,102,102,99,109,109,104,96,96,96
2017/2018,2017,103,103,101,110,110,97,97,97,96,102,102,101,106,106,103,102,102,97
2018/2019,2018,98,98,101,61,61,91,114,114,103,101,101,101,96,96,101,91,91,97
2019/2020,2019,100,100,100,100,100,89,100,100,106,100,100,101,100,100,99,100,100,98
