Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn
1974/1975,1974,42,42,60,43,43,61,43,43,61
1975/1976,1975,108,108,64,110,110,66,109,109,65
1976/1977,1976,26,26,61,27,27,62,26,26,60
1977/1978,1977,70,70,57,72,72,59,67,67,56
1978/1979,1978,62,62,53,63,63,54,62,62,52
1979/1980,1979,30,30,50,30,30,51,30,30,49
1980/1981,1980,55,55,50,56,56,51,52,52,49
1981/1982,1981,46,46,52,47,47,53,46,46,51
1982/1983,1982,71,71,53,71,71,53,71,71,52
1983/1984,1983,46,46,49,46,46,48,45,45,48
1984/1985,1984,47,47,43,47,47,42,47,47,42
1985/1986,1985,27,27,38,26,26,38,27,27,38
1986/1987,1986,44,44,38,44,44,37,44,44,37
1987/1988,1987,27,27,42,27,27,42,27,27,41
1988/1989,1988,45,45,52,45,45,52,45,45,52
1989/1990,1989,94,,67,95,,68,95,,68
1990/1991,1990,69,,80,70,,81,70,,82
1991/1992,1991,99,99,92,100,100,93,100,100,93
1992/1993,1992,95,95,102,97,97,103,97,97,103
1993/1994,1993,104,104,112,105,105,114,105,105,113
1994/1995,1994,137,137,121,139,139,123,138,138,122
1995/1996,1995,127,127,121,129,129,123,126,126,121
1996/1997,1996,114,114,116,116,116,118,115,115,117
1997/1998,1997,94,94,119,95,95,121,95,95,120
1998/1999,1998,144,144,139,146,146,142,146,146,141
1999/2000,1999,187,187,165,190,190,168,190,190,168
2000/2001,2000,165,165,183,168,168,186,167,167,186
2001/2002,2001,201,201,198,204,204,201,204,204,202
2002/2003,2002,228,228,201,231,231,204,232,232,204
2003/2004,2003,137,137,188,139,139,191,139,139,191
2004/2005,2004,224,224,178,227,227,181,227,227,181
2005/2006,2005,150,150,150,153,153,152,152,152,152
2006/2007,2006,98,98,123,99,99,124,99,99,124
2007/2008,2007,107,107,111,106,106,112,106,106,112
2008/2009,2008,132,132,104,134,134,105,135,135,106
2009/2010,2009,78,78,95,79,79,96,78,78,96
2010/2011,2010,94,94,90,96,96,92,95,95,92
2011/2012,2011,90,90,91,92,92,92,92,92,93
2012/2013,2012,87,87,98,89,89,99,89,89,99
2013/2014,2013,111,111,112,111,111,112,112,112,112
2014/2015,2014,143,143,124,143,143,124,143,143,124
2015/2016,2015,118,118,124,116,116,124,116,116,124
2016/2017,2016,114,114,119,116,116,118,116,116,119
2017/2018,2017,119,119,111,118,118,111,118,118,111
2018/2019,2018,94,94,103,93,93,102,93,93,102
2019/2020,2019,100,100,97,100,100,96,100,100,96
