Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1974/1975,1974,90,90,89,,,,75,75,105,89,89,88,93,93,91,63,63,54
1975/1976,1975,76,76,78,,,,153,153,100,76,76,78,76,76,80,37,,46
1976/1977,1976,72,72,69,,,,52,52,85,72,72,69,76,76,71,49,49,42
1977/1978,1977,70,70,61,,,,123,,67,70,70,61,71,71,63,37,37,41
1978/1979,1978,44,44,56,,,,19,,49,44,44,56,47,47,58,38,38,44
1979/1980,1979,42,42,56,,,,14,14,41,42,42,56,45,45,57,23,23,54
1980/1981,1980,73,73,60,,,,35,35,43,73,73,60,71,71,60,121,,68
1981/1982,1981,67,67,64,,,,66,66,51,68,68,64,66,66,63,61,61,72
1982/1983,1982,71,71,66,,,,44,44,64,70,70,65,71,71,64,69,69,68
1983/1984,1983,59,59,65,,,,122,122,78,57,57,63,54,54,62,53,53,62
1984/1985,1984,78,78,64,,,,90,90,84,74,74,61,74,74,60,61,61,60
1985/1986,1985,64,64,64,,,,77,77,85,60,60,61,60,60,60,62,62,60
1986/1987,1986,41,41,71,,,,67,67,90,39,39,67,35,35,67,58,58,63
1987/1988,1987,80,80,92,,,,99,99,108,76,76,88,77,77,90,64,64,71
1988/1989,1988,150,150,126,289,289,413,127,127,142,148,148,121,162,162,126,79,79,84
1989/1990,1989,181,,150,709,709,477,221,221,184,168,,144,169,,148,127,127,93
1990/1991,1990,144,,149,309,309,373,220,220,207,141,,145,142,,147,82,82,91
1991/1992,1991,120,120,145,248,248,259,231,231,203,119,119,143,117,117,144,79,79,86
1992/1993,1992,133,133,157,137,137,204,127,127,194,133,133,156,138,138,160,76,76,89
1993/1994,1993,211,211,181,205,205,203,202,202,218,211,211,182,222,222,187,97,97,101
1994/1995,1994,198,198,188,235,235,231,310,310,266,199,199,188,199,199,190,127,127,115
1995/1996,1995,191,191,170,315,315,259,293,293,301,190,190,169,187,187,167,144,144,119
1996/1997,1996,105,105,148,239,239,263,321,321,309,103,103,147,94,94,142,96,96,109
1997/1998,1997,148,148,146,257,257,258,310,310,292,147,147,145,146,146,141,80,80,105
1998/1999,1998,159,159,157,248,248,251,236,236,268,157,157,156,156,156,153,125,125,114
1999/2000,1999,181,181,168,268,268,244,255,255,268,180,180,167,178,178,165,137,137,128
2000/2001,2000,168,168,170,214,214,240,293,293,288,168,168,170,164,164,165,138,138,141
2001/2002,2001,165,165,167,208,208,256,323,323,305,165,165,165,159,159,158,142,142,157
2002/2003,2002,169,169,160,325,325,285,309,309,297,166,166,158,154,154,148,197,197,180
2003/2004,2003,127,127,155,354,354,282,260,260,274,123,123,153,111,111,142,177,177,197
2004/2005,2004,182,182,156,155,155,241,252,252,256,183,183,154,174,174,144,235,235,202
2005/2006,2005,153,153,152,280,280,208,249,249,249,151,151,151,142,142,142,181,181,180
2006/2007,2006,118,118,149,106,106,183,237,237,252,118,118,149,111,111,142,125,125,159
2007/2008,2007,171,171,155,205,205,180,263,263,258,170,170,155,167,167,148,149,149,156
2008/2009,2008,167,167,152,139,139,187,268,268,248,168,168,151,159,159,145,194,194,152
2009/2010,2009,147,147,133,268,268,191,256,256,211,146,146,133,141,141,128,127,127,128
2010/2011,2010,90,90,115,207,207,163,108,108,171,88,88,114,87,87,111,83,83,106
2011/2012,2011,80,80,112,49,49,128,163,163,162,81,81,112,77,77,109,81,81,98
2012/2013,2012,169,169,121,101,101,115,157,157,182,170,170,121,172,172,119,133,133,100
2013/2014,2013,108,108,124,126,126,116,232,232,225,108,108,124,102,102,121,100,100,99
2014/2015,2014,125,125,126,145,145,122,315,315,261,125,125,126,118,118,122,89,89,101
2015/2016,2015,118,118,130,120,120,123,214,214,254,118,118,130,115,115,124,97,97,118
2016/2017,2016,150,150,133,99,99,123,255,255,224,151,151,133,147,147,125,131,131,154
2017/2018,2017,130,130,125,159,159,120,153,153,180,130,130,125,113,113,116,267,267,185
2018/2019,2018,98,98,111,93,93,111,154,154,141,99,99,111,92,92,104,132,132,157
2019/2020,2019,100,100,98,100,100,101,100,100,107,100,100,98,100,100,96,100,100,113
