Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,401,401,418,,,,644,644,669,622,622,647,128,128,193,20,20,65
1967/1968,1967,459,459,429,,,,729,729,689,712,712,672,469,469,433,200,200,78
1968/1969,1968,438,438,424,,,,697,697,671,679,679,660,536,536,883,12,12,80
1969/1970,1969,397,397,416,,,,608,608,642,615,615,639,2207,,1414,54,,92
1970/1971,1970,375,375,435,,,,592,592,672,582,582,667,1058,,1331,54,,127
1971/1972,1971,557,557,488,,,,880,880,767,865,865,755,717,717,1072,346,,172
1972/1973,1972,436,436,528,,,,688,688,839,677,677,821,1317,,906,102,,162
1973/1974,1973,650,650,534,,,,1042,1042,869,1009,1009,844,551,,705,176,176,127
1974/1975,1974,422,422,441,,,,663,663,708,654,654,692,516,516,594,7,7,98
1975/1976,1975,360,360,318,,,,570,570,495,558,558,491,522,522,594,117,117,93
1976/1977,1976,135,135,225,,,,198,198,337,210,210,341,905,905,671,66,66,101
1977/1978,1977,186,186,181,,,,288,288,270,289,289,278,411,,783,107,107,114
1978/1979,1978,176,176,160,,,,256,256,238,273,273,251,1321,1321,988,239,,109
1979/1980,1979,151,151,146,,,,218,218,213,234,234,228,1004,1004,1105,24,24,76
1980/1981,1980,140,140,135,,,,201,201,184,217,217,203,1121,1121,1127,29,29,53
1981/1982,1981,120,120,127,,,,168,168,154,186,186,177,1195,1195,1055,27,27,46
1982/1983,1982,139,139,125,,,,120,120,129,157,157,156,1010,1010,918,68,68,50
1983/1984,1983,99,99,128,,,,97,97,118,100,100,148,167,167,889,15,15,69
1984/1985,1984,160,160,141,,,,112,112,123,181,181,158,1718,1718,1085,78,78,115
1985/1986,1985,143,143,162,,,,127,127,147,167,167,181,1039,1039,1074,383,383,180
1986/1987,1986,171,171,192,,,,154,154,190,175,175,219,969,969,884,120,120,205
1987/1988,1987,260,260,219,,,,309,309,237,320,320,259,558,558,719,100,,256
1988/1989,1988,299,299,220,195,195,146,346,346,239,359,359,262,625,625,715,544,544,397
1989/1990,1989,91,91,203,87,87,152,77,77,199,94,94,230,453,453,908,444,444,504
1990/1991,1990,221,221,202,145,145,181,178,178,174,265,265,212,2166,2166,1188,683,683,498
1991/1992,1991,211,211,212,257,257,234,165,165,164,189,189,199,741,741,1016,256,256,392
1992/1993,1992,261,261,224,365,365,287,189,189,160,205,205,193,609,609,826,149,149,430
1993/1994,1993,204,204,232,258,258,309,138,138,160,176,176,196,834,834,851,1080,1080,615
1994/1995,1994,237,237,248,326,326,319,159,159,171,190,190,216,841,841,1093,302,302,505
1995/1996,1995,275,275,271,347,347,322,178,178,193,239,239,251,1672,1672,1493,315,315,391
1996/1997,1996,307,307,291,275,275,322,240,240,221,350,350,281,2047,2047,1482,473,473,313
1997/1998,1997,304,304,297,335,335,340,279,279,235,289,289,276,596,596,956,171,171,203
1998/1999,1998,274,274,289,375,375,361,200,200,230,214,214,250,503,503,616,51,51,140
1999/2000,1999,295,295,276,390,390,359,230,230,221,238,238,230,436,436,471,124,124,128
2000/2001,2000,235,235,260,321,321,324,187,187,217,194,194,221,517,517,406,210,210,130
2001/2002,2001,297,297,248,332,332,280,245,245,224,242,242,226,275,275,361,102,102,123
2002/2003,2002,191,191,245,177,177,255,202,202,237,216,216,239,452,452,331,102,102,119
2003/2004,2003,229,229,268,203,203,286,260,260,256,256,256,256,189,189,303,90,90,128
2004/2005,2004,375,375,314,468,468,386,323,323,260,318,318,261,303,303,287,154,154,146
2005/2006,2005,336,336,347,521,521,500,200,200,238,209,209,242,359,359,271,254,254,146
2006/2007,2006,358,358,359,542,542,582,227,227,210,234,234,217,192,192,248,39,39,117
2007/2008,2007,352,352,344,642,642,610,172,172,185,179,179,192,162,162,229,83,83,96
2008/2009,2008,318,318,304,575,575,541,153,153,170,161,161,174,309,309,214,115,115,84
2009/2010,2009,253,253,252,392,392,409,183,183,164,181,181,164,166,166,189,56,56,73
2010/2011,2010,204,204,206,328,328,289,135,135,164,139,139,159,196,196,161,85,85,67
2011/2012,2011,156,156,177,136,136,212,208,208,168,178,178,159,85,85,135,15,15,65
2012/2013,2012,140,140,166,174,174,183,121,121,171,126,126,161,152,152,117,132,132,67
2013/2014,2013,186,186,167,169,169,181,218,218,174,203,203,165,89,89,105,78,78,68
2014/2015,2014,195,195,167,242,242,188,173,173,166,167,167,160,54,54,100,0,0,77
2015/2016,2015,137,137,160,150,150,185,137,137,153,133,133,150,64,64,102,49,49,112
2016/2017,2016,159,159,150,203,203,174,130,130,141,139,139,141,228,228,105,300,300,168
2017/2018,2017,138,138,137,158,158,152,131,131,133,128,128,133,65,65,103,195,195,177
2018/2019,2018,126,126,122,111,111,125,149,149,125,146,146,124,84,84,99,93,93,139
2019/2020,2019,100,100,106,100,100,102,100,100,113,100,100,112,100,100,96,100,100,103
