Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,40,40,41,,,,34,34,37,42,42,43,44,44,45,24,24,24
1967/1968,1967,46,46,46,,,,45,45,39,48,48,48,51,51,50,21,21,27
1968/1969,1968,49,49,50,,,,40,40,41,52,52,53,54,54,56,37,37,31
1969/1970,1969,60,60,55,,,,40,,44,62,62,57,67,67,61,37,37,34
1970/1971,1970,54,54,58,,,,46,46,47,56,56,61,60,60,64,30,30,36
1971/1972,1971,62,62,61,,,,55,55,49,65,65,64,67,67,68,48,48,36
1972/1973,1972,62,62,64,,,,56,56,51,65,65,67,69,69,72,29,29,34
1973/1974,1973,73,73,67,,,,41,41,54,76,76,70,85,85,75,27,27,33
1974/1975,1974,62,62,69,,,,49,49,60,65,65,72,69,69,76,31,31,33
1975/1976,1975,78,78,71,,,,88,88,68,81,81,74,83,83,78,40,40,35
1976/1977,1976,72,72,73,,,,76,76,70,75,75,77,77,77,80,34,34,39
1977/1978,1977,70,70,76,,,,57,57,64,74,74,80,78,78,84,46,46,44
1978/1979,1978,86,86,81,,,,58,58,58,90,90,85,98,98,91,51,51,51
1979/1980,1979,80,80,87,,,,51,51,53,84,84,91,90,90,99,60,60,60
1980/1981,1980,99,99,93,,,,51,51,50,104,104,97,116,116,107,61,,70
1981/1982,1981,101,101,97,,,,50,50,49,105,105,102,116,116,112,98,98,82
1982/1983,1982,96,96,100,,,,47,47,48,100,100,104,108,108,113,92,92,91
1983/1984,1983,101,101,104,,,,47,47,50,106,106,107,115,115,115,81,81,101
1984/1985,1984,110,110,108,,,,56,56,53,112,112,111,118,118,118,132,132,116
1985/1986,1985,113,113,113,,,,57,57,57,116,116,115,123,123,122,119,119,130
1986/1987,1986,122,122,117,,,,64,64,61,123,123,119,128,128,125,157,157,141
1987/1988,1987,117,117,121,,,,64,64,65,119,119,122,125,125,129,140,140,147
1988/1989,1988,124,124,127,122,122,117,66,66,69,124,124,128,130,130,135,150,150,152
1989/1990,1989,134,134,135,95,95,104,71,71,75,136,136,136,145,145,143,145,145,160
1990/1991,1990,147,147,143,107,107,95,90,90,81,149,149,145,153,153,152,186,186,169
1991/1992,1991,150,150,147,82,82,89,81,81,86,153,153,150,161,161,157,177,177,162
1992/1993,1992,146,146,147,81,81,89,96,96,90,150,150,150,158,158,158,127,127,144
1993/1994,1993,146,146,145,97,97,97,88,88,95,148,148,147,157,157,155,134,134,130
1994/1995,1994,135,135,144,111,111,108,99,99,102,136,136,146,143,143,153,114,114,123
1995/1996,1995,153,153,147,129,129,118,114,114,110,154,154,148,162,162,155,127,127,124
1996/1997,1996,142,142,148,111,111,125,118,118,116,144,144,149,148,148,155,132,132,131
1997/1998,1997,158,158,147,138,138,131,113,113,116,159,159,147,167,167,152,140,140,141
1998/1999,1998,135,135,141,137,137,133,121,121,111,134,134,141,135,135,144,147,147,151
1999/2000,1999,136,136,134,141,141,130,94,94,102,136,136,134,139,139,137,172,172,157
2000/2001,2000,124,124,129,103,103,128,92,92,96,125,125,129,127,127,131,150,150,152
2001/2002,2001,128,128,126,141,141,136,93,93,95,128,128,126,131,131,128,141,141,143
2002/2003,2002,122,122,126,152,152,147,101,101,97,121,121,125,122,122,127,125,125,137
2003/2004,2003,128,128,127,155,155,155,102,102,98,127,127,125,128,128,127,140,140,136
2004/2005,2004,131,131,127,160,160,160,97,97,97,130,130,125,132,132,127,145,145,137
2005/2006,2005,120,120,125,165,165,160,89,89,98,118,118,123,120,120,125,133,133,134
2006/2007,2006,124,124,123,148,148,154,103,103,101,122,122,122,124,124,123,123,123,132
2007/2008,2007,123,123,121,151,151,147,110,110,102,122,122,120,122,122,120,144,144,135
2008/2009,2008,112,112,118,139,139,140,98,98,100,111,111,117,111,111,116,125,125,139
2009/2010,2009,120,120,114,130,130,133,97,97,97,119,119,113,119,119,112,153,153,145
2010/2011,2010,108,108,109,122,122,128,92,92,95,108,108,108,105,105,105,155,155,144
2011/2012,2011,104,104,102,144,144,122,101,101,95,103,103,101,100,100,98,131,131,134
2012/2013,2012,94,94,96,99,99,113,89,89,95,93,93,95,90,90,92,125,125,123
2013/2014,2013,86,86,93,115,115,106,99,99,97,85,85,92,81,81,89,101,101,117
2014/2015,2014,98,98,94,85,85,104,100,100,99,99,99,94,96,96,90,125,125,119
2015/2016,2015,94,94,97,95,95,110,101,101,102,94,94,96,90,90,92,119,119,126
2016/2017,2016,104,104,101,155,155,118,102,102,105,101,101,100,97,97,96,139,139,134
2017/2018,2017,104,104,104,115,115,114,107,107,109,103,103,103,99,99,99,140,140,136
2018/2019,2018,109,109,105,84,84,103,121,121,110,110,110,105,104,104,101,138,138,127
2019/2020,2019,100,100,103,100,100,95,100,100,106,100,100,104,100,100,102,100,100,110
