Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,20,20,19,,,,131,131,135,20,20,20,18,18,18,14,14,17
1967/1968,1967,19,19,22,,,,150,150,126,20,20,22,17,17,20,27,27,19
1968/1969,1968,30,30,25,,,,121,121,117,30,30,25,29,29,23,24,,19
1969/1970,1969,22,22,28,,,,78,78,120,22,22,28,21,21,26,11,11,21
1970/1971,1970,29,29,32,,,,105,105,146,29,29,32,28,28,30,22,22,24
1971/1972,1971,44,44,36,,,,240,240,191,44,44,36,41,41,33,22,22,32
1972/1973,1972,36,36,39,,,,263,263,215,36,36,39,32,32,36,48,48,44
1973/1974,1973,42,42,40,,,,180,180,196,42,42,40,39,39,37,78,,56
1974/1975,1974,38,38,41,,,,143,143,165,38,38,41,35,35,38,47,,64
1975/1976,1975,41,41,41,,,,145,145,144,41,41,41,38,38,38,71,,68
1976/1977,1976,42,42,42,,,,145,145,131,42,42,42,39,39,39,74,74,68
1977/1978,1977,45,45,42,,,,107,107,125,45,45,42,44,44,40,58,,63
1978/1979,1978,41,41,42,,,,111,111,132,41,41,43,39,39,40,64,64,56
1979/1980,1979,41,41,43,,,,168,168,147,42,42,43,39,39,41,37,,48
1980/1981,1980,44,44,44,,,,182,182,160,44,44,44,42,42,42,49,,44
1981/1982,1981,45,45,46,,,,164,164,163,45,45,46,43,43,44,44,44,41
1982/1983,1982,48,48,47,,,,120,120,169,48,48,47,47,47,45,32,32,41
1983/1984,1983,52,52,48,,,,207,207,187,52,52,48,49,49,45,40,40,45
1984/1985,1984,45,45,48,,,,239,239,201,45,45,47,41,41,44,53,53,53
1985/1986,1985,48,48,47,,,,158,158,201,47,47,46,44,44,43,75,75,60
1986/1987,1986,45,45,46,,,,233,233,200,44,44,46,41,41,42,58,58,62
1987/1988,1987,47,47,47,,,,182,182,195,46,46,46,43,43,43,49,49,60
1988/1989,1988,47,47,49,190,190,184,190,190,194,46,46,48,43,43,45,79,79,56
1989/1990,1989,53,53,51,165,165,167,194,194,200,52,52,51,50,50,48,39,39,50
1990/1991,1990,54,54,54,140,140,157,211,211,213,53,53,53,51,51,50,35,35,48
1991/1992,1991,58,58,56,182,182,155,239,239,223,57,57,55,54,54,52,62,62,50
1992/1993,1992,53,53,57,134,134,155,226,226,224,53,53,57,50,50,54,49,49,55
1993/1994,1993,60,60,60,159,159,161,205,205,218,59,59,60,56,56,57,62,62,63
1994/1995,1994,64,64,64,178,178,168,205,205,212,64,64,63,61,61,60,70,70,75
1995/1996,1995,72,72,66,175,175,168,229,229,204,71,71,65,67,67,62,105,105,87
1996/1997,1996,63,63,65,165,165,159,192,192,186,62,62,65,59,59,61,88,88,94
1997/1998,1997,65,65,64,130,130,151,156,156,170,65,65,64,62,62,60,92,92,101
1998/1999,1998,59,59,65,149,149,153,135,135,169,59,59,65,55,55,61,116,116,108
1999/2000,1999,69,69,69,179,179,161,198,198,187,69,69,69,65,65,65,108,108,114
2000/2001,2000,76,76,75,152,152,164,237,237,206,75,75,74,70,70,70,129,129,116
2001/2002,2001,84,84,79,168,168,164,191,191,210,84,84,78,81,81,74,102,102,112
2002/2003,2002,80,80,79,167,167,155,216,216,206,79,79,78,76,76,75,116,116,109
2003/2004,2003,71,71,78,136,136,139,187,187,193,71,71,78,67,67,74,100,100,109
2004/2005,2004,78,78,80,109,109,124,182,182,176,78,78,80,75,75,77,100,100,115
2005/2006,2005,92,92,84,131,131,114,130,130,157,92,92,84,88,88,81,161,161,125
2006/2007,2006,81,81,85,83,83,106,177,177,139,81,81,85,79,79,82,100,100,124
2007/2008,2007,84,84,85,117,117,104,125,125,116,84,84,85,81,81,83,129,129,123
2008/2009,2008,89,89,83,100,100,101,62,62,95,89,89,83,87,87,82,130,130,118
2009/2010,2009,80,80,79,106,106,95,82,82,87,80,80,79,79,79,78,99,99,110
2010/2011,2010,70,70,76,85,85,88,101,101,85,69,69,76,68,68,75,99,99,108
2011/2012,2011,79,79,76,80,80,85,89,89,86,79,79,76,77,77,75,123,123,109
2012/2013,2012,77,77,79,66,66,91,76,76,91,77,77,79,75,75,78,103,103,108
2013/2014,2013,88,88,84,122,122,106,112,112,101,88,88,84,86,86,82,109,109,104
2014/2015,2014,85,85,89,130,130,124,91,91,116,85,85,88,84,84,87,99,99,100
2015/2016,2015,94,94,94,124,124,136,140,140,134,94,94,93,93,93,92,86,86,97
2016/2017,2016,105,105,97,170,170,138,196,196,141,104,104,96,103,103,95,112,112,97
2017/2018,2017,90,90,96,105,105,125,92,92,128,90,90,96,89,89,95,90,90,96
2018/2019,2018,96,96,97,109,109,111,111,111,113,96,96,97,96,96,96,92,92,95
2019/2020,2019,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,97
