Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn
1966/1967,1966,151,151,174,155,155,178,168,168,193
1967/1968,1967,202,202,184,207,207,189,220,220,204
1968/1969,1968,199,199,182,204,204,187,226,226,201
1969/1970,1969,178,178,165,182,182,169,191,191,179
1970/1971,1970,117,117,142,119,119,146,126,126,150
1971/1972,1971,136,136,124,140,140,127,139,139,128
1972/1973,1972,94,94,112,96,96,114,86,86,113
1973/1974,1973,126,126,105,129,129,108,135,135,105
1974/1975,1974,87,87,104,90,90,106,85,85,104
1975/1976,1975,116,116,110,119,119,112,112,112,111
1976/1977,1976,93,93,125,95,95,128,96,96,129
1977/1978,1977,92,92,152,94,94,155,100,100,159
1978/1979,1978,360,360,175,369,369,179,387,387,184
1979/1980,1979,95,95,163,98,98,167,90,90,169
1980/1981,1980,112,112,148,115,115,152,111,111,151
1981/1982,1981,194,194,146,198,198,149,200,200,148
1982/1983,1982,95,95,159,98,98,163,90,90,162
1983/1984,1983,127,127,208,130,130,213,125,125,215
1984/1985,1984,427,427,294,437,437,301,461,461,311
1985/1986,1985,269,269,356,275,275,365,287,287,378
1986/1987,1986,534,534,359,547,547,368,557,557,375
1987/1988,1987,202,202,284,206,206,290,205,205,291
1988/1989,1988,194,194,224,199,199,230,186,186,227
1989/1990,1989,128,128,204,131,131,209,132,132,206
1990/1991,1990,336,336,209,344,344,215,355,355,210
1991/1992,1991,165,165,212,169,169,218,147,147,211
1992/1993,1992,211,211,231,216,216,237,207,207,230
1993/1994,1993,327,327,281,335,335,287,339,339,283
1994/1995,1994,235,235,376,240,240,384,232,232,383
1995/1996,1995,643,643,556,652,652,566,661,661,574
1996/1997,1996,811,811,714,828,828,728,856,856,748
1997/1998,1997,617,617,741,630,630,756,649,649,786
1998/1999,1998,811,811,706,829,829,721,878,878,759
1999/2000,1999,606,606,596,620,620,610,655,655,643
2000/2001,2000,362,362,511,371,371,524,385,385,555
2001/2002,2001,566,566,511,581,581,524,630,630,564
2002/2003,2002,539,539,505,552,552,518,605,605,561
2003/2004,2003,478,478,447,490,490,456,514,514,490
2004/2005,2004,308,308,361,307,307,367,333,333,392
2005/2006,2005,363,363,290,371,371,294,397,397,310
2006/2007,2006,189,189,235,193,193,238,194,194,247
2007/2008,2007,194,194,219,197,197,221,204,204,228
2008/2009,2008,183,183,248,180,180,249,182,182,259
2009/2010,2009,342,342,321,348,348,324,367,367,342
2010/2011,2010,460,460,387,464,464,392,499,499,419
2011/2012,2011,392,392,369,401,401,376,426,426,400
2012/2013,2012,297,297,289,304,304,295,320,320,309
2013/2014,2013,154,154,211,157,157,216,157,157,222
2014/2015,2014,161,161,164,165,165,168,167,167,170
2015/2016,2015,142,142,137,143,143,140,140,140,140
2016/2017,2016,136,136,118,140,140,120,145,145,120
2017/2018,2017,83,83,104,87,87,106,91,91,105
2018/2019,2018,94,94,96,94,94,97,84,84,95
2019/2020,2019,100,100,91,100,100,91,100,100,88
