Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,20,20,20,,,,26,26,28,21,21,21,21,21,20,14,14,14
1967/1968,1967,21,21,23,,,,34,34,32,22,22,23,21,21,22,15,15,19
1968/1969,1968,25,25,26,,,,35,35,37,26,26,27,25,25,25,24,24,24
1969/1970,1969,29,29,29,,,,40,40,41,31,31,30,29,29,28,30,30,29
1970/1971,1970,33,33,32,,,,47,47,44,34,34,33,32,32,32,40,40,33
1971/1972,1971,34,34,35,,,,46,46,44,36,36,36,34,34,35,32,32,35
1972/1973,1972,37,37,37,,,,42,42,42,38,38,39,38,38,39,33,33,35
1973/1974,1973,42,42,39,,,,38,38,39,44,44,41,45,45,42,38,38,36
1974/1975,1974,38,38,41,,,,35,35,36,40,40,42,41,41,44,34,34,36
1975/1976,1975,44,44,42,,,,35,35,35,46,46,44,48,48,46,36,36,38
1976/1977,1976,45,45,43,,,,33,33,35,47,47,45,49,49,47,43,43,40
1977/1978,1977,41,41,45,,,,35,35,37,43,43,47,45,45,48,40,40,43
1978/1979,1978,46,46,48,,,,42,42,40,48,48,50,49,49,52,48,48,47
1979/1980,1979,49,49,53,,,,42,42,45,51,51,55,53,53,57,50,50,52
1980/1981,1980,66,66,59,,,,55,55,50,69,69,62,72,72,64,60,60,58
1981/1982,1981,62,62,64,,,,55,55,52,65,65,66,67,67,68,62,62,67
1982/1983,1982,69,69,66,,,,51,51,53,69,69,67,71,71,68,81,81,77
1983/1984,1983,67,67,65,,,,53,53,54,67,67,65,68,68,66,84,84,86
1984/1985,1984,62,62,62,,,,58,58,54,62,62,63,60,60,62,97,97,93
1985/1986,1985,57,57,61,,,,49,49,55,57,57,61,56,56,60,102,102,97
1986/1987,1986,61,61,63,,,,63,63,59,60,60,63,58,58,62,88,88,100
1987/1988,1987,67,67,69,,,,57,57,65,67,67,68,67,67,67,105,105,107
1988/1989,1988,76,76,77,87,87,90,75,75,74,75,75,76,75,75,75,119,119,116
1989/1990,1989,89,89,84,90,90,90,91,91,82,89,89,84,89,89,83,124,124,122
1990/1991,1990,94,94,87,97,97,87,86,86,84,94,94,87,94,94,86,120,120,120
1991/1992,1991,83,83,86,77,77,80,78,78,81,84,84,86,82,82,85,122,122,111
1992/1993,1992,76,76,84,73,73,73,80,80,78,76,76,85,74,74,85,91,91,96
1993/1994,1993,89,89,87,65,65,68,71,71,76,90,90,88,94,94,90,85,85,85
1994/1995,1994,90,90,91,67,67,67,73,73,79,90,90,92,95,95,95,65,65,82
1995/1996,1995,102,102,96,65,65,68,94,94,87,104,104,97,106,106,99,96,96,88
1996/1997,1996,96,96,98,74,74,71,95,95,96,97,97,99,97,97,100,104,104,97
1997/1998,1997,101,101,100,74,74,75,109,109,103,102,102,101,101,101,100,101,101,104
1998/1999,1998,99,99,102,84,84,78,106,106,108,99,99,103,98,98,102,104,104,112
1999/2000,1999,104,104,108,77,77,80,104,104,114,105,105,109,104,104,108,123,123,120
2000/2001,2000,122,122,116,82,82,82,135,135,123,124,124,118,121,121,117,139,139,123
2001/2002,2001,122,122,121,76,76,86,124,124,126,124,124,123,125,125,123,107,107,117
2002/2003,2002,122,122,122,99,99,93,119,119,126,123,123,123,125,125,123,108,108,111
2003/2004,2003,119,119,119,103,103,98,133,133,125,119,119,120,117,117,120,112,112,109
2004/2005,2004,109,109,115,92,92,97,115,115,119,110,110,116,109,109,116,99,99,109
2005/2006,2005,124,124,110,108,108,92,115,115,111,125,125,111,126,126,111,122,122,109
2006/2007,2006,97,97,103,65,65,86,100,100,102,98,98,104,98,98,104,106,106,104
2007/2008,2007,92,92,99,92,92,84,95,95,96,92,92,100,92,92,100,90,90,97
2008/2009,2008,101,101,101,83,83,85,88,88,93,101,101,102,104,104,104,95,95,95
2009/2010,2009,111,111,106,92,92,87,98,98,95,112,112,107,115,115,110,92,92,97
2010/2011,2010,113,113,111,82,82,91,100,100,98,114,114,112,117,117,114,101,101,103
2011/2012,2011,111,111,114,107,107,97,105,105,101,111,111,115,112,112,117,118,118,109
2012/2013,2012,117,117,118,84,84,103,93,93,104,119,119,118,123,123,121,112,112,110
2013/2014,2013,122,122,121,133,133,111,121,121,111,122,122,121,124,124,124,101,101,107
2014/2015,2014,122,122,122,108,108,109,113,113,118,123,123,123,125,125,125,109,109,106
2015/2016,2015,119,119,122,95,95,104,118,118,127,120,120,123,122,122,123,93,93,108
2016/2017,2016,132,132,119,106,106,102,153,153,133,133,133,120,129,129,118,132,132,112
2017/2018,2017,98,98,113,96,96,101,118,118,128,98,98,113,95,95,111,100,100,110
2018/2019,2018,116,116,108,108,108,102,122,122,117,116,116,108,115,115,106,111,111,107
2019/2020,2019,100,100,102,100,100,102,100,100,104,100,100,102,100,100,102,100,100,102
