Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,34,34,33,,,,80,80,77,37,37,36,29,29,29,32,32,37
1967/1968,1967,35,35,36,,,,76,76,81,38,38,40,31,31,32,42,42,40
1968/1969,1968,41,41,41,,,,84,84,86,45,45,45,37,37,37,56,56,42
1969/1970,1969,46,46,46,,,,99,99,93,50,50,50,42,42,42,30,30,41
1970/1971,1970,50,50,51,,,,98,98,100,55,55,56,48,48,48,39,39,42
1971/1972,1971,55,55,56,,,,101,101,107,61,61,62,54,54,54,42,42,45
1972/1973,1972,64,64,61,,,,118,118,115,70,70,67,62,62,59,50,50,51
1973/1974,1973,66,66,64,,,,126,126,119,73,73,71,63,63,62,68,68,55
1974/1975,1974,64,64,65,,,,113,113,118,71,71,72,63,63,64,53,,55
1975/1976,1975,69,69,65,,,,125,125,113,76,76,71,68,68,64,50,50,53
1976/1977,1976,58,58,64,,,,96,96,107,64,64,70,58,58,64,51,51,51
1977/1978,1977,63,63,64,,,,100,100,105,70,70,71,65,65,65,44,44,50
1978/1979,1978,66,66,67,,,,109,109,108,73,73,74,67,67,68,54,54,51
1979/1980,1979,72,72,70,,,,114,114,114,79,79,77,73,73,71,48,,52
1980/1981,1980,75,75,73,,,,127,127,119,82,82,80,75,75,73,63,63,53
1981/1982,1981,73,73,76,,,,113,113,120,80,80,80,75,75,74,52,52,53
1982/1983,1982,81,81,78,,,,125,125,116,78,78,79,71,71,73,54,54,53
1983/1984,1983,79,79,80,,,,110,110,108,75,75,77,70,70,73,42,42,56
1984/1985,1984,85,85,83,,,,92,92,100,76,76,78,74,74,74,60,60,65
1985/1986,1985,83,83,85,,,,95,95,95,79,79,79,76,76,76,89,89,74
1986/1987,1986,87,87,89,,,,94,94,96,83,83,80,81,81,78,89,89,76
1987/1988,1987,93,93,94,,,,90,90,101,77,77,82,75,75,79,57,57,69
1988/1989,1988,105,105,99,250,250,258,124,124,108,91,91,83,86,86,79,61,61,64
1989/1990,1989,99,99,100,291,291,276,110,110,112,79,79,83,75,75,78,62,62,61
1990/1991,1990,99,99,100,276,276,286,113,113,114,82,82,82,77,77,77,57,57,62
1991/1992,1991,102,102,101,304,304,293,114,114,113,82,82,82,76,76,77,72,72,66
1992/1993,1992,101,101,102,288,288,297,115,115,111,82,82,82,77,77,78,67,67,69
1993/1994,1993,102,102,104,298,298,306,99,99,109,83,83,84,81,81,80,74,74,71
1994/1995,1994,106,106,107,308,308,320,113,113,111,86,86,87,82,82,83,76,76,71
1995/1996,1995,114,114,110,369,369,322,116,116,113,89,89,90,85,85,87,67,67,70
1996/1997,1996,113,113,111,283,283,296,116,116,113,97,97,93,95,95,90,63,63,70
1997/1998,1997,106,106,110,260,260,271,109,109,111,92,92,95,89,89,93,81,81,71
1998/1999,1998,107,107,111,235,235,267,105,105,111,96,96,96,95,95,95,65,65,74
1999/2000,1999,114,114,114,276,276,284,112,112,112,99,99,97,97,97,95,78,78,78
2000/2001,2000,123,123,114,357,357,281,124,124,113,99,99,97,95,95,95,85,85,82
2001/2002,2001,106,106,109,217,217,226,106,106,111,93,93,96,91,91,94,86,86,82
2002/2003,2002,98,98,103,138,138,169,103,103,109,95,95,96,95,95,95,78,78,79
2003/2004,2003,101,101,100,124,124,136,117,117,108,99,99,97,97,97,96,80,80,74
2004/2005,2004,98,98,99,124,124,119,102,102,106,95,95,97,96,96,97,61,61,70
2005/2006,2005,103,103,98,132,132,108,101,101,105,100,100,97,102,102,97,70,70,70
2006/2007,2006,92,92,97,81,81,97,111,111,106,94,94,97,92,92,97,74,74,73
2007/2008,2007,97,97,98,92,92,91,105,105,105,99,99,99,99,99,100,79,79,78
2008/2009,2008,104,104,101,89,89,90,108,108,103,105,105,102,106,106,103,86,86,85
2009/2010,2009,103,103,103,88,88,94,96,96,102,105,105,104,108,108,106,85,85,93
2010/2011,2010,102,102,105,98,98,102,103,103,103,103,103,106,103,103,107,117,117,101
2011/2012,2011,111,111,109,118,118,109,104,104,107,110,110,108,111,111,109,96,96,104
2012/2013,2012,111,111,111,119,119,113,107,107,113,110,110,110,112,112,110,106,106,105
2013/2014,2013,111,111,111,110,110,109,136,136,119,112,112,112,108,108,110,103,103,104
2014/2015,2014,109,109,110,98,98,102,113,113,120,111,111,111,111,111,110,106,106,103
2015/2016,2015,108,108,107,99,99,95,113,113,118,110,110,109,110,110,108,95,95,102
2016/2017,2016,107,107,104,87,87,89,125,125,116,109,109,106,107,107,105,113,113,100
2017/2018,2017,95,95,100,80,80,87,103,103,111,97,97,102,96,96,100,91,91,96
2018/2019,2018,97,97,98,88,88,89,111,111,107,99,99,99,97,97,98,87,87,94
2019/2020,2019,100,100,98,100,100,94,100,100,101,100,100,98,100,100,98,100,100,95
