Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,154,154,170,,,,339,339,329,155,155,171,137,137,156,0,0,150
1967/1968,1967,219,219,238,,,,339,339,402,219,219,239,205,205,225,521,521,235
1968/1969,1968,348,348,310,,,,554,,490,349,349,311,339,339,300,153,,313
1969/1970,1969,364,364,341,,,,548,548,546,365,365,342,352,352,328,436,436,391
1970/1971,1970,331,331,316,,,,563,,558,332,332,317,315,315,295,304,304,467
1971/1972,1971,235,235,268,,,,567,567,543,235,235,269,199,199,239,704,,520
1972/1973,1972,233,233,235,,,,408,408,535,233,233,236,210,210,201,626,,475
1973/1974,1973,236,236,221,,,,668,668,559,237,237,222,192,192,183,313,313,376
1974/1975,1974,148,148,230,,,,520,520,545,149,149,230,99,99,190,49,,331
1975/1976,1975,319,319,265,,,,506,506,497,320,320,266,283,283,230,432,432,377
1976/1977,1976,327,327,296,,,,425,425,429,328,328,297,317,317,273,481,481,475
1977/1978,1977,255,255,305,,,,409,409,357,256,256,306,228,228,294,775,775,564
1978/1979,1978,401,401,300,,,,261,261,296,402,402,301,417,417,298,475,475,577
1979/1980,1979,188,188,280,,,,198,198,275,189,189,281,184,184,277,440,440,566
1980/1981,1980,257,257,288,,,,351,351,296,257,257,289,239,239,283,772,772,546
1981/1982,1981,385,385,317,,,,309,309,335,386,386,317,389,389,311,472,,480
1982/1983,1982,333,333,331,,,,395,395,382,331,331,331,323,323,322,342,342,436
1983/1984,1983,296,296,336,,,,426,426,412,297,297,336,280,280,323,292,292,478
1984/1985,1984,376,376,348,,,,476,476,403,374,374,347,357,357,336,709,709,631
1985/1986,1985,357,357,355,,,,265,265,365,358,358,354,359,359,346,1038,1038,827
1986/1987,1986,333,333,362,,,,382,382,345,331,331,359,320,320,352,670,670,961
1987/1988,1987,383,383,375,,,,331,331,332,373,373,370,363,363,366,1538,1538,1053
1988/1989,1988,405,405,374,667,667,570,288,288,327,405,405,372,415,415,367,598,598,1016
1989/1990,1989,334,334,352,347,347,544,369,369,331,334,334,351,315,315,341,1074,1074,1118
1990/1991,1990,327,327,324,900,900,609,292,292,324,326,326,323,315,315,309,1504,1504,1314
1991/1992,1991,329,329,296,127,127,768,374,374,303,329,329,295,309,309,281,1423,1423,1388
1992/1993,1992,204,204,279,1693,1693,1195,267,,263,199,199,277,183,183,267,1317,1317,1352
1993/1994,1993,361,361,290,1467,1467,1199,211,211,232,358,358,287,366,366,283,1198,1198,1347
1994/1995,1994,207,207,314,547,547,799,126,126,237,207,207,312,202,202,309,1445,1445,1421
1995/1996,1995,433,433,358,360,360,632,366,366,288,433,433,357,426,426,354,1558,1558,1402
1996/1997,1996,399,399,368,733,733,696,308,308,361,397,397,367,394,394,358,1298,1298,1176
1997/1998,1997,323,323,332,1187,1187,728,527,527,430,320,320,331,297,297,314,728,728,933
1998/1999,1998,245,245,288,220,220,569,403,,442,247,247,288,232,232,265,711,711,876
1999/2000,1999,303,303,254,560,560,493,458,458,411,302,302,254,274,274,229,1062,1062,969
2000/2001,2000,165,165,225,513,513,490,314,314,359,164,164,225,129,129,200,1291,1291,1027
2001/2002,2001,246,246,207,180,180,563,306,306,321,246,246,206,235,235,183,704,704,961
2002/2003,2002,192,192,186,1227,1227,690,275,275,298,188,188,185,172,172,163,911,911,928
2003/2004,2003,142,142,165,480,480,551,347,347,275,141,141,164,111,111,143,917,917,875
2004/2005,2004,156,156,147,260,260,356,221,221,238,156,156,147,136,136,128,989,989,711
2005/2006,2005,160,160,130,193,193,248,147,,204,160,160,130,150,150,114,268,268,491
2006/2007,2006,92,92,114,180,180,198,255,,180,92,92,114,74,74,102,342,342,363
2007/2008,2007,96,96,106,340,340,170,131,,155,95,95,106,89,89,97,221,221,307
2008/2009,2008,100,100,109,53,53,148,132,,137,101,101,109,94,94,103,385,385,283
2009/2010,2009,99,99,120,7,7,157,137,137,130,99,99,120,90,90,118,323,323,256
2010/2011,2010,132,132,136,260,260,211,31,31,135,132,132,136,144,144,136,106,106,225
2011/2012,2011,241,241,139,387,387,285,281,281,152,241,241,138,241,241,138,204,204,203
2012/2013,2012,88,88,119,307,307,322,130,130,157,87,87,119,80,80,114,342,342,180
2013/2014,2013,72,72,100,293,293,309,144,144,156,71,71,100,60,60,92,60,60,149
2014/2015,2014,57,57,92,313,313,255,143,143,153,56,56,92,44,44,83,123,123,130
2015/2016,2015,91,91,94,213,213,184,163,163,148,91,91,94,82,82,86,40,40,126
2016/2017,2016,166,166,98,33,33,128,119,119,138,168,168,98,170,170,91,75,75,134
2017/2018,2017,70,70,94,93,93,101,176,176,124,70,70,94,55,55,89,377,377,144
2018/2019,2018,68,68,90,93,93,88,60,60,106,68,68,90,68,68,86,51,51,134
2019/2020,2019,100,100,88,100,100,80,100,100,91,100,100,88,100,100,87,100,100,119
