Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,32,32,33,,,,82,82,81,33,33,33,23,23,24,34,34,36
1967/1968,1967,35,35,35,,,,78,78,73,36,36,36,27,27,28,41,41,44
1968/1969,1968,38,38,38,,,,62,62,66,38,38,39,33,33,32,59,59,52
1969/1970,1969,43,43,40,,,,58,58,63,44,44,41,40,40,36,55,55,58
1970/1971,1970,39,39,43,,,,61,61,63,39,39,43,34,34,39,65,65,61
1971/1972,1971,45,45,45,,,,67,67,67,45,45,46,40,40,41,63,63,61
1972/1973,1972,48,48,47,,,,75,75,71,48,48,47,43,43,43,55,55,59
1973/1974,1973,53,53,47,,,,78,78,73,53,53,48,49,49,43,63,63,56
1974/1975,1974,43,43,46,,,,73,73,72,43,43,47,38,38,42,39,39,54
1975/1976,1975,44,44,45,,,,66,66,68,45,45,45,40,40,40,64,64,53
1976/1977,1976,44,44,44,,,,66,66,66,45,45,45,40,40,40,53,53,52
1977/1978,1977,41,41,44,,,,63,63,66,41,41,45,37,37,41,44,44,51
1978/1979,1978,49,49,46,,,,63,63,68,50,50,46,47,47,42,55,55,51
1979/1980,1979,44,44,49,,,,73,73,73,44,44,49,38,38,44,48,48,54
1980/1981,1980,54,54,53,,,,83,83,78,54,54,53,49,49,48,59,,58
1981/1982,1981,61,61,57,,,,82,82,81,61,61,56,57,57,51,68,68,64
1982/1983,1982,63,63,60,,,,88,88,79,59,59,58,53,53,53,77,77,70
1983/1984,1983,54,54,63,,,,71,71,76,53,53,60,49,49,56,57,57,79
1984/1985,1984,69,69,67,,,,61,61,76,65,65,64,64,64,60,101,101,93
1985/1986,1985,72,72,71,,,,93,93,81,72,72,69,67,67,64,106,106,106
1986/1987,1986,77,77,74,,,,86,86,87,75,75,72,70,70,67,132,132,111
1987/1988,1987,72,72,76,,,,92,92,95,69,69,74,64,64,68,93,93,104
1988/1989,1988,82,82,79,299,299,281,105,105,105,79,79,77,73,73,71,90,90,96
1989/1990,1989,80,80,84,204,204,248,116,116,115,78,78,81,70,70,75,95,95,92
1990/1991,1990,89,89,89,255,255,235,121,121,123,86,86,87,80,80,81,79,79,90
1991/1992,1991,106,106,95,238,238,218,136,136,126,104,104,93,98,98,87,110,110,90
1992/1993,1992,87,87,98,180,180,192,124,124,123,85,85,96,79,79,92,80,80,88
1993/1994,1993,104,104,103,165,165,173,113,113,120,103,103,102,103,103,100,89,89,87
1994/1995,1994,109,109,109,174,174,165,113,113,121,108,108,109,110,110,108,74,74,91
1995/1996,1995,116,116,114,146,146,165,135,135,127,116,116,114,114,114,113,105,105,101
1996/1997,1996,120,120,115,182,182,173,135,135,130,119,119,114,117,117,113,132,132,107
1997/1998,1997,111,111,112,195,195,183,133,133,130,110,110,111,109,109,110,93,93,104
1998/1999,1998,104,104,110,159,159,188,124,124,130,103,103,109,103,103,107,92,92,100
1999/2000,1999,108,108,111,231,231,192,125,125,134,106,106,110,105,105,108,109,109,99
2000/2001,2000,122,122,115,167,167,182,153,153,142,121,121,114,118,118,112,97,97,98
2001/2002,2001,116,116,119,173,173,169,148,148,147,115,115,119,112,112,116,91,91,102
2002/2003,2002,127,127,123,143,143,160,144,144,149,126,126,123,125,125,120,115,115,113
2003/2004,2003,121,121,126,164,164,157,147,147,150,120,120,125,116,116,122,129,129,129
2004/2005,2004,127,127,128,157,157,153,151,151,149,127,127,128,123,123,125,143,143,144
2005/2006,2005,140,140,126,147,147,142,154,154,141,140,140,126,138,138,124,170,170,148
2006/2007,2006,110,110,119,125,125,126,118,118,127,110,110,119,109,109,117,127,127,137
2007/2008,2007,109,109,112,106,106,110,116,116,114,109,109,113,107,107,112,120,120,125
2008/2009,2008,111,111,109,103,103,97,106,106,105,111,111,109,114,114,111,116,116,118
2009/2010,2009,110,110,107,86,86,87,92,92,99,110,110,107,114,114,110,113,113,116
2010/2011,2010,104,104,105,76,76,80,99,99,97,104,104,105,105,105,107,120,120,115
2011/2012,2011,103,103,103,80,80,80,104,104,98,103,103,104,104,104,106,119,119,111
2012/2013,2012,100,100,104,65,65,85,96,96,101,100,100,105,103,103,107,103,103,103
2013/2014,2013,114,114,107,127,127,96,104,104,107,114,114,108,119,119,110,93,93,99
2014/2015,2014,107,107,110,86,86,104,119,119,116,107,107,110,107,107,112,97,97,103
2015/2016,2015,104,104,114,111,111,112,115,115,123,104,104,114,105,105,114,94,94,117
2016/2017,2016,137,137,116,136,136,116,148,148,126,137,137,116,134,134,115,174,174,134
2017/2018,2017,105,105,110,97,97,114,113,113,118,105,105,110,103,103,108,131,131,133
2018/2019,2018,95,95,102,117,117,109,99,99,107,95,95,102,93,93,101,110,110,118
2019/2020,2019,100,100,97,100,100,104,100,100,98,100,100,97,100,100,96,100,100,102
