Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexNI,GoodIndexNI,SmoothedIndexNI,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn,IndexWa,GoodIndexWa,SmoothedIndexWa
1966/1967,1966,12,12,10,,,,66,66,58,14,14,12,3,3,3,74,74,90
1967/1968,1967,9,9,9,,,,44,44,47,10,10,11,3,3,3,139,139,124
1968/1969,1968,7,7,9,,,,31,31,41,9,9,11,3,3,4,178,178,159
1969/1970,1969,11,11,9,,,,45,45,40,13,13,11,5,5,4,190,190,191
1970/1971,1970,9,9,10,,,,39,39,43,11,11,12,5,5,5,181,181,228
1971/1972,1971,11,11,10,,,,48,48,47,13,13,12,5,5,5,300,300,288
1972/1973,1972,12,12,11,,,,53,53,52,14,14,13,5,5,5,349,349,343
1973/1974,1973,11,11,11,,,,54,54,55,13,13,14,4,4,5,396,396,352
1974/1975,1974,13,13,11,,,,64,64,55,15,15,14,5,5,5,277,277,302
1975/1976,1975,11,11,11,,,,53,53,52,13,13,13,4,4,5,283,283,240
1976/1977,1976,9,9,11,,,,40,40,49,11,11,13,5,5,5,124,124,194
1977/1978,1977,10,10,11,,,,48,48,49,12,12,13,5,5,5,158,158,185
1978/1979,1978,11,11,11,,,,51,51,52,13,13,14,4,4,5,243,243,197
1979/1980,1979,12,12,12,,,,55,55,57,14,14,15,5,5,5,218,218,197
1980/1981,1980,15,15,14,,,,70,70,61,18,18,16,7,7,6,195,195,181
1981/1982,1981,13,13,16,,,,59,59,62,15,15,16,5,5,7,117,117,169
1982/1983,1982,22,22,18,,,,66,66,61,18,18,17,8,8,8,191,191,181
1983/1984,1983,18,18,20,,,,56,56,60,17,17,18,10,10,9,153,153,213
1984/1985,1984,23,23,23,,,,55,55,62,18,18,20,9,9,11,356,356,254
1985/1986,1985,24,24,26,,,,71,71,68,24,24,23,13,13,12,220,220,250
1986/1987,1986,29,29,30,,,,76,76,80,26,26,26,15,15,14,221,221,217
1987/1988,1987,36,36,35,,,,89,89,95,28,28,30,15,15,15,198,198,176
1988/1989,1988,43,43,38,77,77,70,119,119,109,35,35,33,14,14,15,95,95,142
1989/1990,1989,36,36,38,46,46,60,111,111,111,35,35,34,17,17,16,112,112,128
1990/1991,1990,39,39,37,60,60,56,115,115,99,36,36,33,15,15,17,136,136,123
1991/1992,1991,31,31,34,53,53,54,62,62,78,26,26,30,19,19,18,183,183,111
1992/1993,1992,33,33,32,58,58,53,65,65,64,28,28,28,20,20,19,62,62,89
1993/1994,1993,30,30,31,47,47,51,55,55,55,27,27,27,21,21,21,30,30,77
1994/1995,1994,31,31,32,52,52,51,45,45,51,26,26,27,23,23,22,24,24,82
1995/1996,1995,33,33,33,49,49,51,54,54,51,29,29,29,22,22,24,196,196,95
1996/1997,1996,37,37,35,57,57,51,53,53,52,33,33,31,27,27,26,95,95,94
1997/1998,1997,35,35,37,49,49,50,56,56,54,32,32,33,28,28,29,92,92,83
1998/1999,1998,38,38,39,49,49,50,56,56,55,35,35,37,33,33,34,18,18,75
1999/2000,1999,45,45,43,53,53,50,52,52,57,43,43,41,43,43,39,83,83,78
2000/2001,2000,43,43,47,40,40,54,68,68,60,44,44,46,41,41,45,95,95,87
2001/2002,2001,56,56,53,68,68,61,60,60,63,53,53,51,53,53,51,116,116,98
2002/2003,2002,58,58,58,78,78,66,54,54,68,54,54,56,55,55,56,111,111,106
2003/2004,2003,61,61,62,54,54,68,91,91,77,62,62,61,58,58,59,76,76,115
2004/2005,2004,68,68,65,78,78,71,80,80,83,65,65,63,64,64,61,178,178,128
2005/2006,2005,66,66,65,69,69,74,91,91,84,65,65,63,62,62,61,112,112,140
2006/2007,2006,64,64,66,81,81,76,78,78,81,61,61,63,61,61,61,159,159,156
2007/2008,2007,63,63,69,74,74,78,74,74,78,60,60,67,58,58,66,176,176,180
2008/2009,2008,83,83,77,79,79,79,84,84,78,84,84,76,86,86,79,231,231,211
2009/2010,2009,83,83,84,89,89,81,73,73,81,81,81,85,87,87,90,183,183,249
2010/2011,2010,90,90,89,67,67,82,83,83,87,96,96,92,103,103,97,359,359,295
2011/2012,2011,93,93,91,89,89,86,109,109,94,95,95,93,93,93,95,300,300,301
2012/2013,2012,86,86,90,96,96,89,84,84,98,84,84,90,91,91,92,265,265,267
2013/2014,2013,94,94,90,92,92,84,112,112,100,93,93,91,90,90,91,225,225,218
2014/2015,2014,87,87,88,71,71,77,93,93,97,92,92,92,95,95,94,183,183,173
2015/2016,2015,88,88,89,66,66,76,97,97,92,94,94,94,96,96,97,86,86,146
2016/2017,2016,92,92,93,71,71,83,80,80,88,98,98,96,106,106,101,160,160,142
2017/2018,2017,98,98,100,124,124,95,85,85,91,90,90,100,94,94,105,145,145,144
2018/2019,2018,112,112,105,87,87,99,108,108,97,119,119,106,125,125,111,175,175,138
2019/2020,2019,100,100,104,100,100,100,100,100,103,100,100,105,100,100,106,100,100,123
