Winter,WeBSYear,IndexUK,GoodIndexUK,SmoothedIndexUK,IndexSc,GoodIndexSc,SmoothedIndexSc,IndexGB,GoodIndexGB,SmoothedIndexGB,IndexEn,GoodIndexEn,SmoothedIndexEn
1981/1982,1981,154,154,131,,,,154,154,131,4700,4700,4120
1982/1983,1982,90,90,123,,,,90,90,123,2757,2757,3646
1983/1984,1983,110,110,125,,,,110,110,125,3371,3371,3764
1984/1985,1984,174,174,133,,,,174,174,133,5314,5314,4196
1985/1986,1985,128,128,138,,,,128,128,138,3914,3914,4323
1986/1987,1986,147,147,143,,,,147,147,143,4486,4486,4377
1987/1988,1987,140,140,155,,,,140,140,155,4286,4286,4526
1988/1989,1988,164,164,180,,,,164,164,180,5000,5000,4909
1989/1990,1989,215,215,219,56,56,61,215,215,219,4914,4914,5490
1990/1991,1990,295,295,254,71,71,65,295,295,254,6929,6929,6063
1991/1992,1991,257,257,256,71,71,67,257,257,256,5786,5786,5853
1992/1993,1992,222,222,235,61,61,65,222,222,235,5000,5000,5168
1993/1994,1993,206,206,210,65,65,64,206,206,210,4357,4357,4478
1994/1995,1994,207,207,188,64,64,62,207,207,188,4429,4429,3884
1995/1996,1995,149,149,174,59,59,63,149,149,174,2786,2786,3421
1996/1997,1996,164,164,175,61,61,66,164,164,175,3200,3200,3374
1997/1998,1997,198,198,188,74,74,72,198,198,188,3800,3800,3612
1998/1999,1998,217,217,201,81,81,79,217,217,201,4229,4229,3809
1999/2000,1999,194,194,207,91,91,86,194,194,207,3243,3243,3802
2000/2001,2000,214,214,210,88,88,91,214,214,210,3943,3943,3730
2001/2002,2001,217,217,206,93,93,98,217,217,206,3886,3886,3392
2002/2003,2002,193,193,198,112,112,107,193,193,198,2614,2614,2827
2003/2004,2003,175,175,192,114,114,117,175,175,192,2000,2000,2395
2004/2005,2004,195,195,194,127,127,127,195,195,194,2229,2229,2187
2005/2006,2005,219,219,197,145,145,134,219,219,197,2414,2414,2059
2006/2007,2006,171,171,194,123,123,136,171,171,194,1586,1586,1925
2007/2008,2007,204,204,191,145,145,136,204,204,191,1943,1943,1836
2008/2009,2008,186,186,184,128,128,132,186,186,184,1900,1900,1743
2009/2010,2009,159,159,176,126,126,128,159,159,176,1157,1157,1628
2010/2011,2010,189,189,169,129,129,123,189,189,169,1957,1957,1501
2011/2012,2011,151,151,157,115,115,118,151,151,157,1229,1229,1271
2012/2013,2012,144,144,145,113,113,114,144,144,145,1086,1086,993
2013/2014,2013,134,134,135,114,114,114,134,134,135,700,700,735
2014/2015,2014,123,123,128,112,112,116,123,123,128,457,457,539
2015/2016,2015,133,133,123,127,127,118,133,133,123,314,314,406
2016/2017,2016,112,112,117,114,114,117,112,112,117,329,329,316
2017/2018,2017,105,105,113,110,110,114,105,105,113,257,257,250
2018/2019,2018,122,122,109,116,116,110,122,122,109,300,300,198
2019/2020,2019,100,100,105,100,100,103,100,100,105,100,100,154
