Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_Year,Spatial_scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry_Species,Comparison,Disturbance_Type,Disturbance_Specific,Response_Type,Response_Specific,Effect_YN,Effect_PNN,FID_Distance,Synopsis,Notes,Paper_Retained,,,,,,,,
D001,Liam,Using radio-telemetry to monitor cardiac response of free-living Tule Greater White-fronted Geese (Anser albifrons elgasi) to human disturbance,"Ackerman, JT.",2004,Wilson Bulletin,Overwinter,Site,USA,North America,single-species,Anser albifrons,Geese,No,NA,Recreational,Walking,Physiological,Heart rate,Yes,Negative,NA,"Heart rate increased during observer approach from 114 BPM to 154 BPM (36%) just prior to fliushing. Immediately prior to flushing, heart rate rose most rapidly, nearly tripling, continuing to increase until the birds reached flight speed.",Small sample size - 6 trials of 4 birds.,Yes,,,,,,,,
D001,Liam,Using radio-telemetry to monitor cardiac response of free-living Tule Greater White-fronted Geese (Anser albifrons elgasi) to human disturbance,"Ackerman, JT.",2004,Wilson Bulletin,Overwinter,Site,USA,North America,single-species,Anser albifrons,Geese,No,NA,Recreational,Walking,Behavioural,FID,NA,NA,NA,Geese flushed on average when the observer was 47m away (range 25-100m),Just a description of FID - perhaps don't include?,Yes,,,,,,,,
D002,Liam,Tunisian man-made wetlands as alternative habitats for waterbirds and their role in conservation,"Afdahl, B.",2012,Journal of African Ornithology,Overwinter,National,Tunisia,Africa,multi-species,Multiple,Multiple,Yes,NA,Wildfowling,Shooting,Site,Local abundance,Yes,Negative,NA,Hunting disturbance was one of several ecological variables which influenced the community composition of wintering waterbirds at man-made wetlands in Tunisia. In particular Ferruginous Ducks and White-headed Ducks were only found in undisturbed wetlands.,Hunting categorised as presence/absence of hunters or evidence of their presence such as spent shells. Other disturbance measures were proximity to infrastructure.,Yes,,,,,,,,
D003,Liam,Wintering waterfowl community structure and the characteristics of gravel pit lakes,"Bell, MC.",1997,Wildlife Biology,Overwinter,Site,UK,Europe,multi-species,Multiple,Multiple,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Boating,Site,Comminity composition,Yes,NA,NA,The paper analyses wildfowl community composition of lakes at the Cotswold WP as a funciton of various habitat variables including presence/absence of various disturbance types. Lakes were clustered based on their wildfowl communities and then regression analysis was used to explore the relationship between waterfowl densities and lake characterisitcs with assemblage type included as a fixed effect. Diving waterfowl were most susceptible to the effects of water based recreation including water sports and angling.,Paper warns that correlations between habitat variables make effects difficult to construe,Yes,,,,,,,,
D003,Liam,Wintering waterfowl community structure and the characteristics of gravel pit lakes,"Bell, MC.",1997,Wildlife Biology,Overwinter,Site,UK,Europe,multi-species,Multiple,Multiple,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Angling,Site,Comminity composition,Yes,NA,NA,Grazing waterfowl were favoured by the use of lakes for both coarse and game fishing.,Paper warns that correlations between habitat variables make effects difficult to construe,Yes,,,,,,,,
D004,Liam,Habitat selection and waterbody-complex use by wintering Gadwall and Shoveler in south west London: implications for the designation and management of multi-site protected areas,"Briggs, BJD.",2012,Journal for Nature Conservation,Overwinter,Regional,UK,Europe,multi-species,Mareca strepera,Duck,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Index,Behavioural,Habitat selection,No,NA,NA,"Paper measures selection of waterbodies in SW London as a function of a range of environmental covariates. Disturbance events were recorded during surveys and categorised as land-based, water-based, noise-based and fishing. A disturbance index was created by dividing the total number of disturbance events by the time spent on site. Additionally, a weighted disturbance index was created biased towards water-based disturbance events which wildfowl are less able to habituate to. GLMMs used to model selection as a function of env variables and important parameters determined by AIC. Disturbance index not included in the best model explaining gadwall selection.",Based on presence/absence data for a site - is this still behavioural?,Yes,,,,,,,,
D004,Liam,Habitat selection and waterbody-complex use by wintering Gadwall and Shoveler in south west London: implications for the designation and management of multi-site protected areas,"Briggs, BJD.",2012,Journal for Nature Conservation,Overwinter,Regional,UK,Europe,multi-species,Anas clypeata,Duck,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Index,Behavioural,Habitat selection,Yes,NA,NA,Shovelers preferred sites with low levels of disturbance,Based on presence/absence data for a site - is this still behavioural?,Yes,,,,,,,,
D007,Liam,An eco-compensation policy increases shorebird diversity during the non-farming period for aquaculture,"Dai, WZ.",2021,Wetlands,Overwinter,Regional,China,Asia,multi-species,Multiple,Waders,No,NA,Recreational,Walking,Site,Comminity composition,No,NA,NA,Surveyed shorebirds along transects at farm ponds with experimentally manipulated water levels and control ponds and calculated shorebird richness and diversity. Disturbance measured as approximate built up area within 200m of the pond centre and number of farmers encountered on the transect. Neither disturbance factor influenced the species richness or abundance of shorebirds. Little Egret (not relevant) and Marsh Sandpiper was the dominant species - 36.2% and 18.6% of all shorebirds respectively.,Built up area a proxy for disturbance but number of farmers on the transect perhaps a more direct measure.,Yes,,,,,,,,
D007,Liam,An eco-compensation policy increases shorebird diversity during the non-farming period for aquaculture,"Dai, WZ.",2021,Wetlands,Overwinter,Regional,China,Asia,multi-species,Multiple,Waders,No,NA,Recreational,Walking,Site,Local abundance,No,Neutral,NA,Surveyed shorebirds along transects at farm ponds with experimentally manipulated water levels and control ponds and calculated shorebird richness and diversity. Disturbance measured as approximate built up area within 200m of the pond centre and number of farmers encountered on the transect. Neither disturbance factor influenced the species richness or abundance of shorebirds. Little Egret (not relevant) and Marsh Sandpiper was the dominant species - 36.2% and 18.6% of all shorebirds respectively.,Built up area a proxy for disturbance but number of farmers on the transect perhaps a more direct measure.,Yes,,,,,,,,
D008,Liam,The shorebird community structure at an intertidal mudflat in southern Mozambique,"de Boer, WF.",2002,Ardea,Overwinter,Site,Mozambique,Africa,multi-species,Multiple,Waders,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Index,Site,Local abundance,Yes,Negative,NA,"Overwinter counts of shorebirds were made in two areas of the Inhaca mudflats in Mozambique - Sanco which was accessible to people and Banco which was not over a three year period. Conducted a multivariate analysis of bird community structure - multi-dimensional non-parametric scaling. They also counted the number of people in the count sectors. Contrary to expectation, birds were more abundant in areas with greater human density - probably due to shared habitat features such as presence of benthic organisms. However within Saco, monthly counts allowed comparison of days with and without people. Abundance, particularly of larger bodues species, was higher when people weren't present, suggesting human presence directly impacts large wader abundance. The Banco also had higher mean bird density than the disturbed Saco, but mean bird mass was lower, contrary to expectations. This suggests larger and smaller waders exhibit different responses to human presence with smaller waders selecting areas with lower human disturbance and fleeing before reducing their foraging time.",Complicated picture - hard to tell if effect overall negative or neutral. Would suggest from local responses that human disturbance does have a negative impact overall.,Yes,,,,,,,,
