Paper_ID,Assigned to,Title,Lead author,Year,Journal,Time of year,Spatial_scale,Country,Continent,Taxonomic scope,Species,Taxonomic_group,Quarry Species,Offtake_type,Hunting regime,Population_Model,Comparison,Demographic_impact,Demographic_data_used,Harvest_data_used,Hunting_characteristics,Hunting_Bias,Effect,Synopsis,Carry-over,Discussion_Cat,Effect_Synopsis,Demographic_Direction,Bias_Direction,Hunter_skill,Skill_consequence,Notes,Paper_Retained
M001,Aim<e9>e,Adult survival of common Eiders in Maine,"Allen, RB.",2019,Northeastern Naturalist,Moult,Regional,USA,North America,single-species,Somateria mollissima,Duck,Yes,Direct harvest,recreational hunting,Yes,Annual,Survival,CMR,Bag total,Bag limits,Sex bias,Bias,Overall harvest bag not impacting annual survival especially in female eiders. male survival lower due to harvest bias of male eider,No,Surv,No,None,male,NA,NA,NA,Yes
M002,Aim<e9>e,Demographic response to perturbation: the role of compensatory density dependence in a north american duck under variable harvest regulations and changing habitat,"P<e9>ron, G.",2012,Journal of Animal Ecology,Breeding (carry-over),National,USA,North America,single-species,Aythya americana,Duck,Yes,Direct harvest,recreational hunting,Yes,Annual,Survival,CMR,Bag total,Bag limits,Sex bias,Neutral,"density dependence over harvest bag totals, fluctuate with other environmental conditions",No,DD,No,None,NA,NA,NA,NA,Yes
M002,Aim<e9>e,Demographic response to perturbation: the role of compensatory density dependence in a north american duck under variable harvest regulations and changing habitat,"P<e9>ron, G.",2012,Journal of Animal Ecology,Breeding (carry-over),Regional,USA,North America,single-species,Aythya americana,Duck,Yes,Direct harvest,recreational hunting,Yes,Annual,Productivity,Juv count,Bag total,Bag limits,Sex bias,Neutral,"density dependence over hunting bag annual change, hunting alleviated density dependence with high productivity carry over",Yes (prod),DD,Yes,Positive,NA,NA,NA,NA,Yes
M003,Aim<e9>e,Testing waterfowl hunters' waterfowl identification skills,"Ahlers, AA.",2019,Wildfowl,NA,Regional,USA,North America,multi-species,15 +,Duck,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,Bag total,Shoot duration,Sex bias,Negative,"only 21 % respondend ID sex and species correctly 75% times, scaup and pintail most mis-identified, females misID most, and nearly 50% of respondents miID non-quarry species, greater experience (years and season days) better ID",No,Skill,Yes,NA,NA,species ID,wrong species,"not listing all species, 4 species ID, overall effects same for all",Yes
M004,Aim<e9>e,Assessing hunters' ability to identify shot geese: implications for hunting bag accuracy,"Christensen, TK.",2017,European Journal of Wildlife Research,NA,Regional,Denmark,Europe,multi-species,Anser anser,Geese,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,Bag total,NA,Age bias,Bias,"91% accuracy, most mis-ID with other quarry, no age bias, age/experience no significant effect of accuracy, -6% of harvest bag from mis ID",No,Skill,Yes,NA,No,species ID,wrong species,NA,Yes
M004,Aim<e9>e,Assessing hunters' ability to identify shot geese: implications for hunting bag accuracy,"Christensen, TK.",2017,European Journal of Wildlife Research,NA,Regional,Denmark,Europe,multi-species,Anser albifrons,Geese,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,Bag total,NA,Age bias,Bias,"75% accuracy, poor juvenile ID, most mis-ID with other quarry, no age bias, age/experience no significant effect of accuracy, +57% harvest bag due to misID",No,Skill,Yes,NA,Adult,species ID,wrong species,NA,Yes
M004,Aim<e9>e,Assessing hunters' ability to identify shot geese: implications for hunting bag accuracy,"Christensen, TK.",2017,European Journal of Wildlife Research,NA,Regional,Denmark,Europe,multi-species,Anser brachyrhynchus,Geese,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,Bag total,NA,NA,Bias,"87% accuracy, most mis-ID with other quarry, no age bias, age/experience no significant effect of accuracy, -9% harvest bag due to mis ID",No,Skill,Yes,NA,No,species ID,wrong species,NA,Yes
M004,Aim<e9>e,Assessing hunters' ability to identify shot geese: implications for hunting bag accuracy,"Christensen, TK.",2017,European Journal of Wildlife Research,NA,Regional,Denmark,Europe,multi-species,Anser fabalis,Geese,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,Bag total,NA,Age bias,Bias,"mis-ID mostly other quarry species, 74% accuracy species, , poor age ID, skill/experience non-significant effect, + 104% harvest bag due to misID",No,Skill,Yes,NA,Adult,species ID,wrong species,NA,Yes
M004,Aim<e9>e,Assessing hunters' ability to identify shot geese: implications for hunting bag accuracy,"Christensen, TK.",2017,European Journal of Wildlife Research,NA,Regional,Denmark,Europe,multi-species,Branta canadensi,Geese,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,Bag total,NA,Age bias,Bias,"99% accuracy, most mis-ID with other quarry, no age bias, age/experience no significant effect of accuracy, -1% harvest bag due to misID",No,Skill,Yes,NA,NA,species ID,wrong species,NA,Yes
M006,Aim<e9>e,Determining the subspecies composition of bean goose harvests in Finland using genetic methods,"Honka, J.",2017,European Journal of Wildlife Research,NA,National,Finland,Europe,single-species,Anser fabalis,Geese,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,Bag total,NA,NA,Bias,"Sub-sepcies differences by geographic region,  hunting bag bias for subspecies according to thwere shooting take place",No,HD,Yes,NA,location differences,NA,NA,NA,Yes
